battery_id,global_id,dataset_id,local_id,policy,C1,Q1,C2,initial_capacity,mean_chargetime,mean_IR,mean_Tavg,prediction_test
1,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,13.4086513554808,0.0168063184861228,31.9552510590903,0
2,2,1,2,3_6C-80PER_3_6C,3.6,80,3.6,1.0845895,13.3700453282399,0.0171016934490662,31.5492130949076,1
3,3,1,3,3_6C-80PER_3_6C,3.6,80,3.6,1.0880535,13.3673534835601,0.016982372835034,31.7545236474274,0
4,54,2,8,80PER_3_6C,,80,3.6,1.024101,13.7314586052367,0.0174045610362538,32.1000492411474,0
5,55,2,9,80PER_3_6C,,80,3.6,1.0322267,13.6804953856609,0.0173730390550459,32.1549737009787,1
6,56,2,10,80PER_3_6C,,80,3.6,1.0364138,14.828321327044,0.0174475447896226,32.2245966251458,0
7,71,2,25,4_8C_80PER_4_8C,4.8,80,4.8,1.0734261,12.9231478085242,0.0178100875916031,30.0982203551668,0
8,72,2,26,4_8C_80PER_4_8C,4.8,80,4.8,1.0721645,13.2409229226557,0.0178863115523614,29.5184064262147,0
9,73,2,27,4_8C_80PER_4_8C,4.8,80,4.8,1.0825263,13.1452157864793,0.0182922469518072,32.2842284021125,1
10,95,3,1,5C_67PER_4C_NEWSTRUCTURE,5.0,67,4.0,1.0713712,10.1554366633597,0.0153010837331349,33.1015310495823,1
11,96,3,2,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4.0,1.0687399,10.1429989124294,0.0152176626817326,36.1809017963529,1
12,97,3,3,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6,1.0632137,10.1973217061611,0.0148276764976303,38.7783848292256,0
13,98,3,4,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3,1.0655342,10.1874366906044,0.0151619419335727,37.7013361874169,0
14,99,3,5,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6,1.075265,10.2384849761222,0.0152648863094556,32.9485474141625,1
15,100,3,6,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3,1.0540558,10.1995672108021,0.0152410719250302,35.8915947953535,0
16,101,3,7,3_7C_31PER_5_9C_NEWSTRUCTURE,3.7,31,5.9,1.0630716,10.8382723823823,0.0143967801201201,35.1956998849954,1
17,102,3,8,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80,4.8,1.070919,11.1726831852861,0.0156475541106267,33.488542659486,0
18,103,3,9,5C_67PER_4C_NEWSTRUCTURE,5.0,67,4.0,1.0687144,10.182849490125,0.0152228917122128,34.2778011753314,0
19,104,3,10,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4.0,1.0733707,10.2038060613359,0.0160801557148362,33.8440951926936,0
20,105,3,11,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80,4.8,1.0650008,11.2108420194987,0.0154884690352832,33.4928467555288,0
21,106,3,12,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6,1.0707607,10.2959345772059,0.0156314659215686,35.5207162074213,0
22,107,3,13,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3,1.076943,10.2544309470103,0.0161958683576799,34.2100576161686,0
23,108,3,14,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6,1.0696447,10.2880135787321,0.0151389205361963,35.4451970897155,0
24,109,3,15,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3,1.0777442,10.2485632672112,0.0155812685682614,34.2253189468104,1
25,111,3,17,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80,4.8,1.0643399,11.1423314253717,0.0153314431325596,36.2924566578661,1
26,112,3,18,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4.0,1.069051,10.156982147387,0.0157023014520548,36.3732818978054,0
27,113,3,19,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6,1.0701538,10.2198757714701,0.0151870220279476,36.8258501633071,0
28,114,3,20,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3,1.0738997,10.2056660384171,0.0157107922400347,36.4354554222638,0
29,115,3,21,5C_67PER_4C_NEWSTRUCTURE,5.0,67,4.0,1.0681109,10.1844151334154,0.0153900020837438,34.2488122883073,0
30,116,3,22,3_7C_31PER_5_9C_NEWSTRUCTURE,3.7,31,5.9,1.0686967,10.8033723951577,0.0147235309442283,36.6638177137284,0
31,119,3,25,5C_67PER_4C_NEWSTRUCTURE,5.0,67,4.0,1.0511289,10.1645542677994,0.0156254359247573,36.0629472851473,0
32,120,3,26,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4.0,1.0654705,10.1516542560729,0.0158067213299595,37.0596551133752,0
33,121,3,27,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6,1.0758095,10.2456923677378,0.0158283227020448,37.351300097473,0
34,122,3,28,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3,1.0644526,10.2173661484099,0.0150317367102474,36.7827816190045,0
35,123,3,29,3_7C_31PER_5_9C_NEWSTRUCTURE,3.7,31,5.9,1.0526985,10.9003622808642,0.0142349387518519,37.5017204295249,0
36,125,3,31,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4.0,1.0723398,10.1718277480371,0.0156827995835118,33.1446326677589,0
37,128,3,34,5C_67PER_4C_NEWSTRUCTURE,5.0,67,4.0,1.0629164,10.1144099012732,0.0154549562766952,34.074108795871,0
