battery_id,strategy,dataset_id,prediction_test,n_observed_cycles,SOH_50,SOH_100,SOH_150,SOH_200,SOH_slope_1_50_per100,SOH_slope_50_100_per100,SOH_slope_100_150_per100,SOH_slope_150_200_per100,SOH_slope_50_200_per100,SOH_noise_sd,SOH_noise_mad,SOH_curvature_per100sq,SOH_slope_change_late_minus_early,SOH_capacity_outlier_count,IR_invalid_count,mean_chargetime_observed,chargetime_slope_per100,mean_Tavg_observed,Tavg_slope_per100,mean_IR_observed,IR_slope_per100
1,3_6C-80PER_3_6C,1,0,200,1.005620821,1.004819909,1.003388086,0.9986524264,0.006312741149,-0.002002948663,-0.003030557829,-0.008619981997,-0.003485479324,0.001147593925,0.0001682048291,-0.008098154865,-0.006617033335,1,0,13.38635311,0.000429577465,31.59317025,-0.03267756483,0.01667720023,9.258345029e-05
2,3_6C-80PER_3_6C,1,1,150,0.9973669588,0.996430516,0.9952323908,,0.005813561136,-0.001969645465,-0.002350490773,,-0.002066487187,0.0005104767763,8.130594068e-05,-0.007565721768,,0,1,13.37860158,-9.276530161e-13,31.28961934,-0.1512151628,0.01695187493,0.0001155345455
3,3_6C-80PER_3_6C,1,0,200,0.9979830758,0.9972266687,0.9961013776,0.9949779743,0.005687964576,-0.001654943736,-0.002114920976,-0.002110644922,-0.00208394382,0.000386891164,9.804186747e-05,-0.003841335953,-0.000455701186,0,1,13.37813162,5.6497175e-05,31.42082179,-0.1046795062,0.01682848344,0.0001172984524
4,80PER_3_6C,2,0,200,0.9940997529,0.9867488429,0.9778120229,0.9675278469,-0.0117497494,-0.01457603831,-0.01773264517,-0.02072018062,-0.01760322246,0.001222818288,0.000551657724,-0.005805389249,-0.006144142319,0,0,13.41767052,0.0002666666665,31.93909161,0.06423637015,0.01721341416,0.0001573566401
5,80PER_3_6C,2,1,150,0.9993550281,0.9982711367,0.9962414763,,0.002683634169,-0.002199396723,-0.004146277708,,-0.00297394264,0.0006077732096,0.0004241612678,-0.007191064283,,0,0,13.3825759,-6.741573022e-05,32.05519449,-0.08040362584,0.01729883692,0.00011315
6,80PER_3_6C,2,0,200,0.9990764554,0.9979538121,0.9961663389,0.9934527535,0.00117734634,-0.002450787028,-0.003539984475,-0.00503007804,-0.003517937551,0.00049575605,0.0004008347322,-0.003536092324,-0.002579291011,0,0,13.37610739,3.219328931e-05,32.50758998,-0.08162884379,0.01714674952,9.135691501e-05
7,4_8C_80PER_4_8C,2,0,200,0.9994142613,0.9977931735,0.9946399239,0.989582247,0.005242576542,-0.003132256878,-0.00608952599,-0.01021453324,-0.006394285176,0.0004277199771,0.0001920817881,-0.00921969594,-0.007082276367,0,0,10.05825399,0.008846162795,30.06863134,-0.0395618442,0.01715614308,8.649637053e-05
8,4_8C_80PER_4_8C,2,0,200,0.9992334447,0.9957745271,0.9896091482,0.981340308,0.001844604325,-0.006666952726,-0.01253984979,-0.01613017443,-0.01224762906,0.0004269636342,0.0001318330809,-0.0118367922,-0.009463221707,0,0,10.84242759,0.05821527778,29.61042883,-0.293583901,0.01716511076,-4.155334398e-05
9,4_8C_80PER_4_8C,2,1,150,0.9991187949,0.9951514468,0.9889736927,,0.001936090737,-0.007870192681,-0.01234397298,,-0.01036196662,0.0005858063369,0.0001882018539,-0.01427995946,,0,0,10.04699023,0.008432489452,31.72817184,0.2593831935,0.01754528518,-0.0001520918699
10,5C_67PER_4C_NEWSTRUCTURE,3,1,150,0.9994745788,0.9982306676,0.9971822861,,0.002850202412,-0.002412285073,-0.002344061022,,-0.00234025023,0.0002222241026,0.000108019722,-0.0049725368,,0,0,10.04248103,-0.000457627119,32.2829401,0.2996357864,0.01523868756,5.714583333e-06
11,5_3C_54PER_4C_NEWSTRUCTURE,3,1,150,0.9993518125,0.9979362482,0.9967645348,,0.001089694253,-0.002694923017,-0.002427734101,,-0.002571062073,0.0002753056217,9.577480048e-05,-0.003302514146,,0,0,10.04129774,-6.261657859e-13,34.93854052,0.4078658641,0.01500161491,6.271491228e-05
12,5_6C_19PER_4_6C_NEWSTRUCTURE,3,0,200,0.9992228999,0.9977341678,0.9964181643,0.9941379258,-0.0001709939171,-0.002939301229,-0.002802961825,-0.00474222227,-0.002947250492,0.0001902448507,0.0001045015444,-0.001919901245,-0.001802921041,0,0,10.04343997,-0.0004358010335,37.33867627,1.098648894,0.0145487506,-0.0001464216805
13,5_6C_36PER_4_3C_NEWSTRUCTURE,3,0,200,0.9995116687,0.9981762295,0.9970293212,0.9951664712,0.001323568851,-0.002627230365,-0.002525440403,-0.004029765172,-0.002653630519,0.0002322729579,8.473756062e-05,-0.001871413551,-0.001402534807,0,0,10.04134874,-0.0002669481288,36.31134139,0.4499020211,0.01501792762,3.347483333e-05
14,5_6C_19PER_4_6C_NEWSTRUCTURE,3,1,150,0.9996823945,0.9986472844,0.9976244296,,0.002149419615,-0.001947327741,-0.002440837363,,-0.002098140809,0.0001864278759,8.981962543e-05,-0.00402344055,,0,0,10.04554294,-0.000311827957,32.20692614,0.3023138161,0.01513432691,1.362982456e-05
15,5_6C_36PER_4_3C_NEWSTRUCTURE,3,0,200,0.9994837714,0.9979399729,0.9961804828,0.9935756156,0.0007674567198,-0.003076530462,-0.003730038183,-0.00557217163,-0.00369836592,0.0002313878711,0.000107916869,-0.003152499304,-0.002495641168,0,0,10.0420817,-1.372739006e-05,35.90416732,0.729445939,0.01517998674,-6.515380184e-06
16,3_7C_31PER_5_9C_NEWSTRUCTURE,3,1,150,0.9913429309,0.9818701163,0.9718036077,,-0.01933728108,-0.01893134089,-0.01978557257,,-0.01928872069,0.0002014185169,0.000100919243,-0.0006174831437,,0,0,10.10175204,0.0755464135,34.16561933,0.2251321251,0.01377815134,0.00021234
17,4_8C_80PER_4_8C_NEWSTRUCTURE,3,0,200,0.9995462196,0.9989223887,0.9983499922,0.9974511644,0.0008019310596,-0.001450400174,-0.00140666714,-0.001679003517,-0.001423354007,0.0003570359114,8.866642234e-05,-0.001741583476,-0.0002286033425,0,0,11.04012547,-0.000106088848,32.96613104,0.3035350504,0.01544054327,2.38272219e-05
