battery_id,strategy,selected_model,eol_point,eol_bootstrap_median,eol_ci95_low,eol_ci95_high,eol_ci95_width_ratio,bootstrap_valid_fraction,bootstrap_valid_n,candidate_model_eol_min,candidate_model_eol_max,candidate_model_disagreement_ratio,reliability,reliability_note,parameters_json
1,3_6C-80PER_3_6C,quadratic,1184.59271,1215.060107,1099.287462,1674.61576,0.4734978088,0.9966666667,299,357.3146576,1184.59271,1.298982421,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[1.0060130435292498, 3.726567773559597e-18, 0.0014681032741293404]"
3,3_6C-80PER_3_6C,quadratic,1630.96448,1667.271713,1582.259359,1952.446576,0.2220317266,1,300,543.6739083,1630.96448,0.8922282588,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9979037921299934, 3.041181220839491e-22, 0.0007439865941032677]"
4,80PER_3_6C,quadratic,670.3554071,670.3698687,651.4488419,691.5796066,0.05986361648,1,300,561.0304216,1244.697969,0.9168077076,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[1.0000067676368765, 0.010397532520962332, 0.002899715124367346]"
6,80PER_3_6C,quadratic,1191.042185,1197.543849,1165.613786,1272.756915,0.08946906576,1,300,531.8798227,1191.042185,0.5983235743,moderate_model_sensitivity,candidate-model EOL range is 35%-75% of its median,"[0.999290902077371, 5.715045781901452e-07, 0.0014048124627837617]"
7,4_8C_80PER_4_8C,quadratic,899.6140682,908.3000672,871.126474,1002.403672,0.1445306485,1,300,392.5300679,4230.294481,5.153462663,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9999842030520363, 2.362697053671679e-09, 0.002471059306981637]"
8,4_8C_80PER_4_8C,quadratic,652.5326072,654.4757283,645.112092,669.8939831,0.03786525625,1,300,405.7565568,2121.699975,2.7613005,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[1.000283367892493, 6.516065541681806e-10, 0.004703708935309259]"
12,5_6C_19PER_4_6C_NEWSTRUCTURE,quadratic,1467.929297,1464.397566,1327.494163,1711.065614,0.2619312271,1,300,734.345446,1987.980188,0.8540157518,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9997229397999289, 0.0009718167578682793, 0.0008606643009454623]"
13,5_6C_36PER_4_3C_NEWSTRUCTURE,quadratic,1473.731023,1481.422581,1324.1123,1695.26875,0.2505405651,1,300,692.834024,1861.238386,0.7928206324,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9997499549968922, 0.0005019737093446061, 0.0008856471610383403]"
15,5_6C_36PER_4_3C_NEWSTRUCTURE,quadratic,1154.221977,1156.805773,1124.651193,1236.327426,0.09653844646,1,300,570.1803234,1240.248693,0.5805368311,moderate_model_sensitivity,candidate-model EOL range is 35%-75% of its median,"[0.9996900276190905, 7.211181151778614e-05, 0.0014926697348699525]"
17,4_8C_80PER_4_8C_NEWSTRUCTURE,quadratic,1872.102173,1906.909353,1803.959631,2252.285642,0.2351060949,1,300,712.7090268,2202.138262,0.7955918522,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9996238571307028, 2.4693876133655967e-07, 0.0005695649953694574]"
18,5C_67PER_4C_NEWSTRUCTURE,quadratic,1258.911972,1272.401942,1223.020184,1397.504577,0.1371299328,1,300,577.8209507,1259.407737,0.5414094089,moderate_model_sensitivity,candidate-model EOL range is 35%-75% of its median,"[0.9998176842115165, 8.856863358447234e-11, 0.0012607912663639372]"
19,5_3C_54PER_4C_NEWSTRUCTURE,quadratic,1757.006579,1786.504748,1694.927289,1997.368391,0.1692920785,1,300,579.8300734,1757.006579,0.801983409,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9998210590100024, 2.441234164442596e-13, 0.0006472834168364555]"
20,4_8C_80PER_4_8C_NEWSTRUCTURE,quadratic,1389.944278,1402.743372,1350.44873,1558.958771,0.1486444669,1,300,570.0590976,1389.944278,0.6382468948,moderate_model_sensitivity,candidate-model EOL range is 35%-75% of its median,"[0.9998685258895389, 1.3412521394358792e-08, 0.00103454461386232]"
21,5_6C_19PER_4_6C_NEWSTRUCTURE,quadratic,1175.259634,1182.13579,1100.944269,1276.739451,0.1487098044,1,300,643.1606192,1420.320123,0.6612662264,moderate_model_sensitivity,candidate-model EOL range is 35%-75% of its median,"[0.9999541670600458, 0.0007052166078838869, 0.0013876423063383099]"
22,5_6C_36PER_4_3C_NEWSTRUCTURE,quadratic,1604.324627,1616.921856,1543.818029,1849.316033,0.1889380139,1,300,676.4694087,1893.129485,0.758362775,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9997279519140132, 3.1753636247956236e-05, 0.0007740075740182182]"
23,5_6C_19PER_4_6C_NEWSTRUCTURE,quadratic,1108.843394,1111.665757,1058.922962,1202.084929,0.1287814849,1,300,603.4938305,1273.831317,0.6045375659,moderate_model_sensitivity,candidate-model EOL range is 35%-75% of its median,"[0.999876060478212, 0.00029905838122782946, 0.001598654641481321]"
26,5_3C_54PER_4C_NEWSTRUCTURE,quadratic,1339.096167,1359.886932,1293.790485,1545.138293,0.1848299313,1,300,572.8522009,1339.096167,0.6083678171,moderate_model_sensitivity,candidate-model EOL range is 35%-75% of its median,"[0.9985618030715351, 2.3110285412981476e-09, 0.00110731735387139]"
27,5_6C_19PER_4_6C_NEWSTRUCTURE,quadratic,1738.001087,1730.496714,1481.6068,2158.09832,0.3909233199,1,300,1087.274512,2773.323401,0.9701080755,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[1.0001420606922504, 0.0022498072239722205, 0.0005331319590916348]"
