battery_id,strategy,dataset_id,prediction_test,n_observed_cycles,SOH_50,SOH_100,SOH_150,SOH_200,SOH_slope_1_50_per100,SOH_slope_50_100_per100,SOH_slope_100_150_per100,SOH_slope_150_200_per100,SOH_slope_50_200_per100,SOH_noise_sd,SOH_noise_mad,SOH_curvature_per100sq,SOH_slope_change_late_minus_early,SOH_capacity_outlier_count,IR_invalid_count,mean_chargetime_observed,chargetime_slope_per100,mean_Tavg_observed,Tavg_slope_per100,mean_IR_observed,IR_slope_per100,selected_model,eol_point,eol_bootstrap_median,eol_ci95_low,eol_ci95_high,eol_ci95_width_ratio,bootstrap_valid_fraction,bootstrap_valid_n,candidate_model_eol_min,candidate_model_eol_max,candidate_model_disagreement_ratio,reliability,reliability_note,parameters_json,strategy_code
1,3_6C-80PER_3_6C,1,0,200,1.005620821,1.004819909,1.003388086,0.9986524264,0.006312741149,-0.002002948663,-0.003030557829,-0.008619981997,-0.003485479324,0.001147593925,0.0001682048291,-0.008098154865,-0.006617033335,1,0,13.38635311,0.000429577465,31.59317025,-0.03267756483,0.01667720023,9.258345029e-05,quadratic,1184.59271,1215.060107,1099.287462,1674.61576,0.4734978088,0.9966666667,299,357.3146576,1184.59271,1.298982421,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[1.0060130435292498, 3.726567773559597e-18, 0.0014681032741293404]",S1
3,3_6C-80PER_3_6C,1,0,200,0.9979830758,0.9972266687,0.9961013776,0.9949779743,0.005687964576,-0.001654943736,-0.002114920976,-0.002110644922,-0.00208394382,0.000386891164,9.804186747e-05,-0.003841335953,-0.000455701186,0,1,13.37813162,5.6497175e-05,31.42082179,-0.1046795062,0.01682848344,0.0001172984524,quadratic,1630.96448,1667.271713,1582.259359,1952.446576,0.2220317266,1,300,543.6739083,1630.96448,0.8922282588,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9979037921299934, 3.041181220839491e-22, 0.0007439865941032677]",S1
4,80PER_3_6C,2,0,200,0.9940997529,0.9867488429,0.9778120229,0.9675278469,-0.0117497494,-0.01457603831,-0.01773264517,-0.02072018062,-0.01760322246,0.001222818288,0.000551657724,-0.005805389249,-0.006144142319,0,0,13.41767052,0.0002666666665,31.93909161,0.06423637015,0.01721341416,0.0001573566401,quadratic,670.3554071,670.3698687,651.4488419,691.5796066,0.05986361648,1,300,561.0304216,1244.697969,0.9168077076,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[1.0000067676368765, 0.010397532520962332, 0.002899715124367346]",S2
6,80PER_3_6C,2,0,200,0.9990764554,0.9979538121,0.9961663389,0.9934527535,0.00117734634,-0.002450787028,-0.003539984475,-0.00503007804,-0.003517937551,0.00049575605,0.0004008347322,-0.003536092324,-0.002579291011,0,0,13.37610739,3.219328931e-05,32.50758998,-0.08162884379,0.01714674952,9.135691501e-05,quadratic,1191.042185,1197.543849,1165.613786,1272.756915,0.08946906576,1,300,531.8798227,1191.042185,0.5983235743,moderate_model_sensitivity,candidate-model EOL range is 35%-75% of its median,"[0.999290902077371, 5.715045781901452e-07, 0.0014048124627837617]",S2
7,4_8C_80PER_4_8C,2,0,200,0.9994142613,0.9977931735,0.9946399239,0.989582247,0.005242576542,-0.003132256878,-0.00608952599,-0.01021453324,-0.006394285176,0.0004277199771,0.0001920817881,-0.00921969594,-0.007082276367,0,0,10.05825399,0.008846162795,30.06863134,-0.0395618442,0.01715614308,8.649637053e-05,quadratic,899.6140682,908.3000672,871.126474,1002.403672,0.1445306485,1,300,392.5300679,4230.294481,5.153462663,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9999842030520363, 2.362697053671679e-09, 0.002471059306981637]",S3
8,4_8C_80PER_4_8C,2,0,200,0.9992334447,0.9957745271,0.9896091482,0.981340308,0.001844604325,-0.006666952726,-0.01253984979,-0.01613017443,-0.01224762906,0.0004269636342,0.0001318330809,-0.0118367922,-0.009463221707,0,0,10.84242759,0.05821527778,29.61042883,-0.293583901,0.01716511076,-4.155334398e-05,quadratic,652.5326072,654.4757283,645.112092,669.8939831,0.03786525625,1,300,405.7565568,2121.699975,2.7613005,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[1.000283367892493, 6.516065541681806e-10, 0.004703708935309259]",S3
12,5_6C_19PER_4_6C_NEWSTRUCTURE,3,0,200,0.9992228999,0.9977341678,0.9964181643,0.9941379258,-0.0001709939171,-0.002939301229,-0.002802961825,-0.00474222227,-0.002947250492,0.0001902448507,0.0001045015444,-0.001919901245,-0.001802921041,0,0,10.04343997,-0.0004358010335,37.33867627,1.098648894,0.0145487506,-0.0001464216805,quadratic,1467.929297,1464.397566,1327.494163,1711.065614,0.2619312271,1,300,734.345446,1987.980188,0.8540157518,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9997229397999289, 0.0009718167578682793, 0.0008606643009454623]",S6
13,5_6C_36PER_4_3C_NEWSTRUCTURE,3,0,200,0.9995116687,0.9981762295,0.9970293212,0.9951664712,0.001323568851,-0.002627230365,-0.002525440403,-0.004029765172,-0.002653630519,0.0002322729579,8.473756062e-05,-0.001871413551,-0.001402534807,0,0,10.04134874,-0.0002669481288,36.31134139,0.4499020211,0.01501792762,3.347483333e-05,quadratic,1473.731023,1481.422581,1324.1123,1695.26875,0.2505405651,1,300,692.834024,1861.238386,0.7928206324,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9997499549968922, 0.0005019737093446061, 0.0008856471610383403]",S7
15,5_6C_36PER_4_3C_NEWSTRUCTURE,3,0,200,0.9994837714,0.9979399729,0.9961804828,0.9935756156,0.0007674567198,-0.003076530462,-0.003730038183,-0.00557217163,-0.00369836592,0.0002313878711,0.000107916869,-0.003152499304,-0.002495641168,0,0,10.0420817,-1.372739006e-05,35.90416732,0.729445939,0.01517998674,-6.515380184e-06,quadratic,1154.221977,1156.805773,1124.651193,1236.327426,0.09653844646,1,300,570.1803234,1240.248693,0.5805368311,moderate_model_sensitivity,candidate-model EOL range is 35%-75% of its median,"[0.9996900276190905, 7.211181151778614e-05, 0.0014926697348699525]",S7
17,4_8C_80PER_4_8C_NEWSTRUCTURE,3,0,200,0.9995462196,0.9989223887,0.9983499922,0.9974511644,0.0008019310596,-0.001450400174,-0.00140666714,-0.001679003517,-0.001423354007,0.0003570359114,8.866642234e-05,-0.001741583476,-0.0002286033425,0,0,11.04012547,-0.000106088848,32.96613104,0.3035350504,0.01544054327,2.38272219e-05,quadratic,1872.102173,1906.909353,1803.959631,2252.285642,0.2351060949,1,300,712.7090268,2202.138262,0.7955918522,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9996238571307028, 2.4693876133655967e-07, 0.0005695649953694574]",S9
