battery_id,model,eol_100,eol_150,eol_200,relative_change_100_to_200,relative_change_150_to_200,valid_eol_count,eol_cv
1,exponential,,300.8680275,357.3146576,,0.1579745721,2,0.1212848525
1,linear,,,,,,0,
1,power,,700.4542137,636.8662411,,0.09984509852,2,0.06724414699
1,quadratic,,1563.699042,1184.59271,,0.3200309516,2,0.1950802044
3,exponential,,322.0141945,543.6739083,,0.4077071025,2,0.3621098321
3,linear,,,,,,0,
3,power,866.6324831,731.1951328,1218.623779,0.2888432851,0.3999828777,3,0.2680012142
3,quadratic,4254.38575,1655.795979,1630.96448,1.608509137,0.0152250395,3,0.5997162075
4,exponential,510.6086851,515.5875196,561.0304216,0.08987344451,0.08099899812,3,0.05251703879
4,linear,1499.542853,1360.73572,1244.697969,0.2047443565,0.0932256295,3,0.09324671495
4,power,991.2511248,868.3162926,821.0534048,0.2072918995,0.05756371933,3,0.09832556938
4,quadratic,667.2705617,652.6620767,670.3554071,0.004601805764,0.02639395488,3,0.01424633639
6,exponential,262.94406,429.9343618,531.8798227,0.505632572,0.191670104,3,0.3325697927
6,linear,,,,,,0,
6,power,558.2668048,1033.330488,1101.682084,0.4932596139,0.06204294113,3,0.3296975363
6,quadratic,1229.650167,1202.284885,1191.042185,0.03241529348,0.009439379883,3,0.01644266048
7,exponential,272.2478437,298.7532375,392.5300679,0.3064280523,0.2389035594,3,0.19677211
7,linear,,,4230.294481,,,1,
7,power,568.1087401,526.671993,589.778468,0.03674214837,0.1070003035,3,0.05710406557
7,quadratic,1538.932218,1005.710922,899.6140682,0.7106582399,0.1179359657,3,0.2984226147
8,exponential,228.5250985,314.7927428,405.7565568,0.4367925922,0.2241832263,3,0.2801448392
8,linear,,2986.767444,2121.699975,,0.4077237496,2,0.239482813
8,power,373.829015,495.4235224,590.3190259,0.3667339207,0.1607529138,3,0.2230498037
8,quadratic,737.284743,665.375089,652.5326072,0.1298818402,0.01968098097,3,0.06667689877
12,exponential,292.9828426,661.6124881,734.345446,0.6010285838,0.09904460942,3,0.4203268912
12,linear,,,,,,0,
12,power,731.6915373,2001.392183,1987.980188,0.6319422389,0.006746543406,3,0.4633835611
12,quadratic,988.8052134,1360.576856,1467.929297,0.3263945237,0.07313188827,3,0.1975962313
13,exponential,258.0792171,488.7512699,692.834024,0.6275021028,0.2945622574,3,0.4532574253
13,linear,,,,,,0,
13,power,532.8621367,1349.608839,1861.238386,0.7137055948,0.2748866296,3,0.5369029879
13,quadratic,1143.854064,1245.133551,1473.731023,0.2238379689,0.155114786,3,0.131242124
15,exponential,253.2221064,433.038669,570.1803234,0.5558911875,0.2405233025,3,0.3795415387
15,linear,,,,,,0,
15,power,497.4337983,1036.371042,1240.248693,0.5989241502,0.1643844911,3,0.4150554996
15,quadratic,1064.809044,1108.521201,1154.221977,0.07746597713,0.03959444319,3,0.04030904632
17,exponential,282.228232,500.1346249,712.7090268,0.6040063737,0.2982625363,3,0.4319108063
17,linear,,,,,,0,
17,power,634.2861359,1592.386289,2202.138262,0.711968069,0.2768908673,3,0.5353691008
17,quadratic,1663.345208,1812.003265,1872.102173,0.1115093865,0.03210236538,3,0.06028869756
18,exponential,268.5635113,376.8296742,577.8209507,0.5352132681,0.3478435254,3,0.3848756468
18,linear,,,,,,0,
18,power,552.3560792,790.4609015,1259.407737,0.561416003,0.3723550538,3,0.4147430688
18,quadratic,1379.255746,1234.731257,1258.911972,0.09559347843,0.01920762995,3,0.05996351035
19,exponential,289.0627473,425.065804,579.8300734,0.5014698952,0.2669131467,3,0.3373009839
19,linear,,,,,,0,
19,power,674.0186292,1127.431685,1467.831495,0.5408065356,0.2319065987,3,0.3654426121
19,quadratic,1880.228618,1788.208193,1757.006579,0.0701318028,0.01775839294,3,0.03542405315
20,exponential,277.9306088,376.6514437,570.0590976,0.5124529895,0.3392764972,3,0.3640244792
20,linear,,,,,,0,
20,power,604.1552,810.861132,1284.589377,0.5296900232,0.3687779562,3,0.3876567139
20,quadratic,1598.457125,1378.859181,1389.944278,0.1500152556,0.007975210223,3,0.08497947044
21,exponential,248.8171395,451.8705913,643.1606192,0.6131337459,0.2974218605,3,0.4402304322
21,linear,,,,,,0,
21,power,457.4937508,1043.808954,1420.320123,0.6778939173,0.2650889487,3,0.4982244717
21,quadratic,998.1174113,1025.153193,1175.259634,0.1507260334,0.1277219403,3,0.08950750114
22,exponential,272.1228671,513.5174854,676.4694087,0.5977307125,0.2408858718,3,0.4174190036
22,linear,,,,,,0,
22,power,574.2349061,1549.609607,1893.129485,0.6966742577,0.1814560919,3,0.5109877243
22,quadratic,1424.307165,1545.626391,1604.324627,0.1122076285,0.03658750493,3,0.06021046282
23,exponential,250.9903575,423.2184316,603.4938305,0.584104518,0.298719539,3,0.4138687106
23,linear,,,,,,0,
23,power,466.9431227,925.5339797,1273.831317,0.6334341004,0.2734250075,3,0.4553469647
23,quadratic,1036.962793,1030.993584,1108.843394,0.06482484552,0.07020812045,3,0.04091510816
26,exponential,279.787387,360.0587296,572.8522009,0.5115888766,0.3714631295,3,0.3746452875
26,linear,,,,,,0,
26,power,621.8590486,701.1043197,1259.507727,0.5062681749,0.4433505211,3,0.4037256096
26,quadratic,1604.47981,1322.589332,1339.096167,0.1981811687,0.01232684789,3,0.1112473566
27,exponential,300.1056992,847.7890214,1087.274512,0.7239835056,0.2202622132,3,0.541589567
27,linear,,,,,,0,
27,power,747.3137355,2315.813905,2773.323401,0.7305349476,0.1649679573,3,0.5461683425
27,quadratic,861.3059476,1447.196924,1738.001087,0.5044272675,0.1673210477,3,0.3310619327
28,exponential,323.2870939,849.9707261,1218.541478,0.7346934021,0.3024687779,3,0.5643636955
28,linear,,,,,,0,
28,power,860.709883,2365.960313,3065.805329,0.7192548806,0.2282744469,3,0.5372108826
28,quadratic,849.0327443,1456.930077,1872.162756,0.5464962961,0.2217930457,3,0.3694811152
29,exponential,267.093594,418.7447969,585.2896957,0.5436557385,0.2845512232,3,0.3756257193
29,linear,,,,,,0,
29,power,546.3182573,980.623736,1317.629337,0.5853778888,0.2557666191,3,0.4078052504
29,quadratic,1328.115047,1268.251246,1289.233402,0.03015873278,0.01627490862,3,0.02345169073
30,exponential,522.5261713,996.4302905,1159.486888,0.5493470632,0.1406282376,3,0.3706039065
30,linear,1335.802103,1322.034578,1338.802581,0.002241165461,0.01252462699,3,0.006711841062
30,power,899.7946947,1167.1431,1334.904221,0.3259481237,0.1256727773,3,0.1935239721
30,quadratic,643.9121792,1027.334818,1338.80245,0.5190386908,0.2326464465,3,0.3469034233
31,exponential,4977.926838,298.2726849,439.058859,10.33772098,0.3206544437,3,1.397358858
31,linear,,,,,,0,
31,power,,684.4205296,774.6886383,,0.1165217924,2,0.08749063221
31,quadratic,,1524.693637,1366.523535,,0.1157463426,2,0.07736752004
32,exponential,3952.054605,297.6066813,487.1541975,7.112533208,0.3890914153,3,1.303003829
32,linear,,,,,,0,
32,power,,679.3525942,953.4799484,,0.2875019602,2,0.2374246054
32,quadratic,3918.328054,1496.207883,1426.127053,1.747530836,0.04914066392,3,0.622340997
33,exponential,284.3107831,347.1898992,517.1895476,0.4502773994,0.3286989252,3,0.3146424603
33,linear,,,,,,0,
33,power,642.5190652,678.0045276,1064.436396,0.3963762724,0.3630389471,3,0.2943745911
33,quadratic,1782.013756,1347.062268,1333.204184,0.3366397865,0.01039457024,3,0.1715808351
34,exponential,268.7580226,353.5639304,539.4325033,0.501776365,0.3445631691,3,0.3575093947
34,linear,,,,,,0,
34,power,553.7361948,689.0710852,1103.939468,0.4983998572,0.3758071841,3,0.3664975729
34,quadratic,1388.207544,1180.952328,1192.341307,0.1642702775,0.009551777647,3,0.09292331259
35,exponential,392.5172289,513.8028941,662.2836137,0.4073275847,0.2241950676,3,0.2584045729
35,linear,1065.109269,980.0924692,951.5441771,0.1193482079,0.03000206685,3,0.05914021799
35,power,674.2704675,720.5630471,795.8038365,0.1527177471,0.09454690462,3,0.08400102541
35,quadratic,498.3890031,583.7685839,695.8446053,0.2837639334,0.161064727,3,0.1670888759
36,exponential,276.1635246,368.3571957,526.8595737,0.4758308695,0.3008436895,3,0.3247480293
36,linear,,,,,,0,
36,power,595.8998859,786.0307353,1104.579914,0.4605189915,0.2883894362,3,0.3101062183
36,quadratic,1533.282128,1367.002867,1336.872554,0.1469172012,0.02253790931,3,0.0748928184
37,exponential,257.8368686,442.1081028,718.4308207,0.6411110699,0.3846197991,3,0.4903319248
37,linear,,,,,,0,
37,power,499.1730415,1052.062911,1752.294683,0.7151317947,0.399608456,3,0.570301536
37,quadratic,1147.297343,1142.716871,1358.374276,0.1553893771,0.1587614023,3,0.1013123028
38,exponential,245.7206677,515.402568,847.6795842,0.710125533,0.3919842148,3,0.5622591837
38,linear,,,,,,0,
38,power,520.3466517,1290.133566,2048.505877,0.7459872302,0.3702075351,3,0.594005808
38,quadratic,947.471668,1051.854062,1434.364828,0.339448619,0.2666760632,3,0.2239670662
39,exponential,289.713386,573.7052072,815.7612774,0.6448551873,0.2967241482,3,0.4704124749
39,linear,,,,,,0,
39,power,730.2850711,1653.527615,2163.395868,0.6624357651,0.2356795911,3,0.4792547544
39,quadratic,1010.888495,1238.16242,1517.306409,0.333761138,0.1839733804,3,0.202039756
40,exponential,259.5720314,530.3678682,785.1295024,0.6693895331,0.3244835831,3,0.5005865092
40,linear,,,,,,0,
40,power,574.6747423,1318.862765,1840.025608,0.6876811171,0.2832367335,3,0.5109939991
40,quadratic,914.2933354,1046.853986,1337.512772,0.3164227252,0.2173129051,3,0.1968757401
41,exponential,266.3991315,330.3208156,539.4159525,0.5061341248,0.387632468,3,0.3770581717
41,linear,,,,,,0,
41,power,535.7999841,594.7820127,1056.270568,0.4927436204,0.4369037339,3,0.3909689261
41,quadratic,1390.670157,1070.99427,1105.402145,0.2580671782,0.03112702008,3,0.1475814679
42,exponential,270.8810226,462.005608,726.443642,0.6271135062,0.3640172735,3,0.470275425
42,linear,,,,,,0,
42,power,568.1864613,1244.851365,2012.115976,0.7176174394,0.3813222596,3,0.5665955129
42,quadratic,1392.829483,1394.36183,1584.852944,0.1211616903,0.1201948198,3,0.07577126271
43,exponential,258.7319303,409.3059376,704.8332925,0.6329175522,0.4192868839,3,0.4959134546
43,linear,,,,,,0,
43,power,502.5425164,902.1393518,1652.138078,0.6958229321,0.4539564437,3,0.5727817824
43,quadratic,1164.640184,1128.578111,1297.886244,0.1026638969,0.1304491314,3,0.07450215647
44,exponential,257.2144014,413.3661755,585.1716552,0.5604462397,0.2935984308,3,0.3918946939
44,linear,,,,,,0,
44,power,496.0224881,912.516714,1248.085241,0.6025732282,0.2688666734,3,0.4254530736
44,quadratic,1138.900985,1108.072416,1141.83763,0.002571857979,0.02957094168,3,0.01655832176
45,exponential,4943.921856,309.2328489,451.6298972,9.946843615,0.3152958853,3,1.386044067
45,linear,,,,,,0,
45,power,1293.253982,764.036928,840.7333378,0.5382451536,0.09122560793,3,0.2960492859
45,quadratic,,1801.323493,1586.143608,,0.135662297,2,0.08983417488
46,exponential,303.2826578,328.0494407,517.9571596,0.4144638178,0.3666475411,3,0.3065742297
46,linear,,,,,,0,
46,power,762.8830827,753.7641859,1121.473013,0.3197490496,0.3278802277,3,0.2384811217
46,quadratic,2491.685259,1736.592944,1649.167402,0.5108746725,0.05301192682,3,0.2364584889
47,exponential,319.3719912,334.3632092,464.6579525,0.3126729253,0.2804100146,3,0.2143404738
47,linear,,,,,,0,
47,power,,750.1594015,897.7605533,,0.1644103779,2,0.1266685012
47,quadratic,3354.998742,1730.04059,1580.404512,1.122873427,0.09468213778,3,0.4429776075
48,exponential,295.7265349,360.7802069,555.0564975,0.4672136328,0.3500117402,3,0.3340912604
48,linear,,,,,,0,
48,power,711.6739358,781.9928144,1303.084676,0.4538544202,0.3998910209,3,0.3465492669
48,quadratic,2169.982363,1668.209189,1654.587424,0.3114945342,0.008232726516,3,0.1604161333
49,exponential,290.7795178,397.9362335,530.0122166,0.4513720463,0.2491942241,3,0.2949775423
49,linear,,,,,,0,
49,power,681.5743876,988.1386164,1247.41579,0.4536109027,0.2078514444,3,0.2912965207
49,quadratic,1975.012994,1784.367625,1738.801639,0.1358472122,0.02620539665,3,0.06837428416
