model_family,scope,response,predictor,n_strategies,beta,condition_number
joint_parameter_OLS,all_unadjusted,SOH_150,C1,8,0.41081658961451173,1.9781674914211675
joint_parameter_OLS,all_unadjusted,SOH_150,Q1,8,0.2940533840908019,1.9781674914211675
joint_parameter_OLS,all_unadjusted,SOH_150,C2,8,-0.6669783873538684,1.9781674914211675
joint_parameter_OLS,all_unadjusted,SOH_200,C1,8,0.42323361608819704,1.9781674914211675
joint_parameter_OLS,all_unadjusted,SOH_200,Q1,8,0.243099249912356,1.9781674914211675
joint_parameter_OLS,all_unadjusted,SOH_200,C2,8,-0.6693402043822615,1.9781674914211675
joint_parameter_OLS,all_unadjusted,SOH_slope_50_200_per100,C1,8,0.43313223252806937,1.9781674914211675
joint_parameter_OLS,all_unadjusted,SOH_slope_50_200_per100,Q1,8,0.19753539053662225,1.9781674914211675
joint_parameter_OLS,all_unadjusted,SOH_slope_50_200_per100,C2,8,-0.6646002862832392,1.9781674914211675
joint_parameter_OLS,all_unadjusted,SOH_curvature_per100sq,C1,8,-0.09961028879303863,1.9781674914211675
joint_parameter_OLS,all_unadjusted,SOH_curvature_per100sq,Q1,8,-0.6521059338445818,1.9781674914211675
joint_parameter_OLS,all_unadjusted,SOH_curvature_per100sq,C2,8,-0.11354757302892643,1.9781674914211675
joint_parameter_OLS,all_unadjusted,eol_point,C1,8,0.11822088888207641,1.9781674914211675
joint_parameter_OLS,all_unadjusted,eol_point,Q1,8,-0.1287997794086766,1.9781674914211675
joint_parameter_OLS,all_unadjusted,eol_point,C2,8,-0.5101987116408209,1.9781674914211675
joint_parameter_OLS,all_batch_adjusted,SOH_150,C1,8,1.245768808252953,10.098423496792202
joint_parameter_OLS,all_batch_adjusted,SOH_150,Q1,8,0.6587225495683072,10.098423496792202
joint_parameter_OLS,all_batch_adjusted,SOH_150,C2,8,0.14109399421664437,10.098423496792202
joint_parameter_OLS,all_batch_adjusted,SOH_200,C1,8,1.2569508469793207,10.098423496792202
joint_parameter_OLS,all_batch_adjusted,SOH_200,Q1,8,0.678881034061767,10.098423496792202
joint_parameter_OLS,all_batch_adjusted,SOH_200,C2,8,0.15969726757388814,10.098423496792202
joint_parameter_OLS,all_batch_adjusted,SOH_slope_50_200_per100,C1,8,1.271733326397142,10.098423496792202
joint_parameter_OLS,all_batch_adjusted,SOH_slope_50_200_per100,Q1,8,0.6827957750924107,10.098423496792202
joint_parameter_OLS,all_batch_adjusted,SOH_slope_50_200_per100,C2,8,0.18380671292165515,10.098423496792202
