scope,response,predictor,requested_bootstrap_samples,valid_bootstrap_samples,valid_fraction,beta_median,beta_ci95_low,beta_ci95_high,positive_fraction,same_sign_fraction
all_batch_adjusted,SOH_200,C1,1000,230,0.23,0.8943351439621714,-1.9150524582880402,2.994255854729836,0.691304347826087,0.691304347826087
all_batch_adjusted,SOH_200,C2,1000,230,0.23,0.04257627676387489,-2.4859890214224425,1.5219933487448343,0.591304347826087,0.591304347826087
all_batch_adjusted,SOH_200,Q1,1000,230,0.23,0.536990028108719,-1.8283668351515336,1.9037870508883254,0.7521739130434782,0.7521739130434782
all_batch_adjusted,SOH_200,dataset_2,1000,230,0.23,-1.0278690090385834,-3.49614455742304,2.1608105607080104,0.2217391304347826,0.7782608695652173
all_batch_adjusted,SOH_200,dataset_3,1000,230,0.23,-0.7555708717789636,-3.151546432892852,1.953769941068888,0.30434782608695654,0.6956521739130435
all_batch_adjusted,SOH_slope_50_200_per100,C1,1000,226,0.226,0.9794165067938436,-1.6785242100468742,3.597382131216796,0.7743362831858407,0.7743362831858407
all_batch_adjusted,SOH_slope_50_200_per100,C2,1000,226,0.226,0.07037349662011966,-3.082197992300552,2.609909446285698,0.6283185840707964,0.6283185840707964
all_batch_adjusted,SOH_slope_50_200_per100,Q1,1000,226,0.226,0.5623456807597027,-1.8206813270604596,2.414997432957801,0.7876106194690266,0.7876106194690266
all_batch_adjusted,SOH_slope_50_200_per100,dataset_2,1000,226,0.226,-1.1402179294642534,-3.7586297372124235,2.2860998623930833,0.14601769911504425,0.8539823008849557
all_batch_adjusted,SOH_slope_50_200_per100,dataset_3,1000,226,0.226,-0.7797563749803902,-3.3990936733448414,1.926800560146686,0.22566371681415928,0.7743362831858407
all_batch_adjusted,eol_point,C1,1000,216,0.216,0.9449843164324876,-4.333512553931202,6.571375796609098,0.7777777777777778,0.7777777777777778
all_batch_adjusted,eol_point,C2,1000,216,0.216,0.3838354755247594,-4.114148025135073,4.865072288177382,0.7268518518518519,0.7268518518518519
all_batch_adjusted,eol_point,Q1,1000,216,0.216,0.6101319521502832,-2.9686933363930272,4.949845816634641,0.7962962962962963,0.7962962962962963
all_batch_adjusted,eol_point,dataset_2,1000,216,0.216,-1.5634868846494463,-7.296184076971241,3.6454635359744967,0.12962962962962962,0.8703703703703703
all_batch_adjusted,eol_point,dataset_3,1000,216,0.216,-0.9174826343367406,-5.7563257163628245,4.086858917490095,0.26851851851851855,0.7314814814814815
all_unadjusted,SOH_200,C1,1000,946,0.946,0.3099718779043418,-0.7772124686248769,1.1796710495272245,0.7970401691331924,0.7970401691331924
all_unadjusted,SOH_200,C2,1000,946,0.946,-0.5729973280639489,-1.3962287658010852,0.3986951523502094,0.12367864693446089,0.8763213530655392
all_unadjusted,SOH_200,Q1,1000,946,0.946,0.14256782755313552,-0.8766730765555423,1.1626943920541861,0.6078224101479915,0.6078224101479915
all_unadjusted,SOH_slope_50_200_per100,C1,1000,952,0.952,0.3372019966992098,-0.6696409027179415,1.3073371921235568,0.8434873949579832,0.8434873949579832
all_unadjusted,SOH_slope_50_200_per100,C2,1000,952,0.952,-0.5894481368311313,-1.3080035834689503,0.5539379818541059,0.13025210084033614,0.8697478991596639
all_unadjusted,SOH_slope_50_200_per100,Q1,1000,952,0.952,0.07872909766312203,-0.9136461197512529,1.3552834091045014,0.5588235294117647,0.5588235294117647
all_unadjusted,eol_point,C1,1000,951,0.951,0.14198429921482902,-1.5122512054099189,2.0165818705580434,0.6088328075709779,0.6088328075709779
all_unadjusted,eol_point,C2,1000,951,0.951,-0.46657886697269163,-1.9169129702182943,1.3656946671961623,0.24500525762355416,0.7549947423764458
all_unadjusted,eol_point,Q1,1000,951,0.951,-0.0870838538269309,-1.3580253596710046,1.8724212552086217,0.45320715036803366,0.5467928496319664
dataset3_only,SOH_200,C1,1000,751,0.751,0.8191749618181742,-1.5979130407745186,3.527540844840342,0.7217043941411452,0.7217043941411452
dataset3_only,SOH_200,C2,1000,751,0.751,0.0698166494623822,-2.4153352417391787,1.7846490066135692,0.6125166444740346,0.6125166444740346
dataset3_only,SOH_200,Q1,1000,751,0.751,0.49918270568951406,-1.4513854256198022,4.179069842680022,0.7350199733688415,0.7350199733688415
dataset3_only,SOH_slope_50_200_per100,C1,1000,744,0.744,0.9173571526940998,-2.1503586023406345,3.762805297986135,0.7956989247311828,0.7956989247311828
dataset3_only,SOH_slope_50_200_per100,C2,1000,744,0.744,0.12034575093991629,-2.585214908928438,2.3975289185795097,0.6841397849462365,0.6841397849462365
dataset3_only,SOH_slope_50_200_per100,Q1,1000,744,0.744,0.5226953849300697,-2.0024466222356816,3.782419343687753,0.7903225806451613,0.7903225806451613
dataset3_only,eol_point,C1,1000,726,0.726,1.1169556648121584,-6.108341359862496,7.368814177969096,0.8044077134986226,0.8044077134986226
dataset3_only,eol_point,C2,1000,726,0.726,0.5482504992727905,-7.310907021430958,7.425154790196611,0.721763085399449,0.721763085399449
dataset3_only,eol_point,Q1,1000,726,0.726,0.7919236889784552,-4.493787422308127,5.504904190480744,0.8071625344352618,0.8071625344352618
