scope,method,parameter_1,parameter_2,correlation
all_parameterized_strategies,pearson,C1,C1,1.0
all_parameterized_strategies,pearson,C1,Q1,-0.3413699082232185
all_parameterized_strategies,pearson,C1,C2,-0.23157931180788538
all_parameterized_strategies,pearson,Q1,C1,-0.3413699082232185
all_parameterized_strategies,pearson,Q1,Q1,1.0
all_parameterized_strategies,pearson,Q1,C2,-0.38058285452170815
all_parameterized_strategies,pearson,C2,C1,-0.23157931180788538
all_parameterized_strategies,pearson,C2,Q1,-0.38058285452170815
all_parameterized_strategies,pearson,C2,C2,1.0
all_parameterized_strategies,spearman,C1,C1,1.0
all_parameterized_strategies,spearman,C1,Q1,-0.567944518073514
all_parameterized_strategies,spearman,C1,C2,-0.10975609756097561
all_parameterized_strategies,spearman,Q1,C1,-0.567944518073514
all_parameterized_strategies,spearman,Q1,Q1,1.0
all_parameterized_strategies,spearman,Q1,C2,-0.2098925392880378
all_parameterized_strategies,spearman,C2,C1,-0.10975609756097561
all_parameterized_strategies,spearman,C2,Q1,-0.2098925392880378
all_parameterized_strategies,spearman,C2,C2,1.0
dataset3_only,pearson,C1,C1,1.0
dataset3_only,pearson,C1,Q1,-0.0858174360537993
dataset3_only,pearson,C1,C2,-0.8228346456692917
dataset3_only,pearson,Q1,C1,-0.0858174360537993
dataset3_only,pearson,Q1,Q1,1.0
dataset3_only,pearson,Q1,C2,-0.32755669254337455
dataset3_only,pearson,C2,C1,-0.8228346456692917
dataset3_only,pearson,C2,Q1,-0.32755669254337455
dataset3_only,pearson,C2,C2,1.0
dataset3_only,spearman,C1,C1,1.0
dataset3_only,spearman,C1,Q1,-0.3768511731740915
dataset3_only,spearman,C1,C2,-0.5
dataset3_only,spearman,Q1,C1,-0.3768511731740915
dataset3_only,spearman,Q1,Q1,1.0
dataset3_only,spearman,Q1,C2,-0.28988551782622424
dataset3_only,spearman,C2,C1,-0.5
dataset3_only,spearman,C2,Q1,-0.28988551782622424
dataset3_only,spearman,C2,C2,1.0
