response,model,predictors,n,k_including_intercept,fit_r_squared,AICc,loo_rmse,loo_mae,normalized_loo_rmse
SOH_150,C1_Q1_C2,C1+Q1+C2,8,4,0.8938149728200754,-74.83589653336563,0.009817995349939457,0.0075044576947854436,1.3044121325457356
SOH_150,phase_exposure,phase1_exposure+phase2_exposure,8,3,0.3491312709464709,-69.66423094722275,0.0418361246158283,0.021464908426310714,5.5583188403036115
SOH_150,shared_p_stress,soc_weighted_stress,8,2,0.34705472231276235,-75.23874816665717,0.015522128914977108,0.01045329795756847,2.0622594081550436
SOH_200,C1_Q1_C2,C1+Q1+C2,8,4,0.8710555292304569,-68.96472643788331,0.01156614609105806,0.009338017724504502,1.1732399787735739
SOH_200,phase_exposure,phase1_exposure+phase2_exposure,8,3,0.28531748936765744,-64.59840736747086,0.05446098010771103,0.028759323433875814,5.524381124232695
SOH_200,shared_p_stress,soc_weighted_stress,8,2,0.28940196270838847,-70.24425921919651,0.020193402478916777,0.014245247742717695,2.0483665785656058
SOH_slope_50_200_per100,C1_Q1_C2,C1+Q1+C2,8,4,0.8431549704138557,-77.32168880663892,0.005974160637127725,0.004928998810591105,1.126796551601086
SOH_slope_50_200_per100,phase_exposure,phase1_exposure+phase2_exposure,8,3,0.2317750052089279,-73.94442688366254,0.029356587533564193,0.0157678252544232,5.536995673336856
SOH_slope_50_200_per100,shared_p_stress,soc_weighted_stress,8,2,0.24379113367187022,-79.67054717147604,0.010789062224121645,0.007845616577742836,2.03494329121266
SOH_curvature_per100sq,C1_Q1_C2,C1+Q1+C2,8,4,0.3421099393904239,-76.77766051621302,0.006008066334375331,0.004904112827467858,2.243250815306656
SOH_curvature_per100sq,phase_exposure,phase1_exposure+phase2_exposure,8,3,0.33058008194526756,-85.97200419198194,0.004644105247700915,0.0033932010939206917,1.7339843309766263
SOH_curvature_per100sq,shared_p_stress,soc_weighted_stress,8,2,0.1809737602663255,-89.95836756265476,0.0036539968877917304,0.0025869957316707656,1.3643044269948166
eol_point,C1_Q1_C2,C1+Q1+C2,8,4,0.27918134044699217,107.65520141903245,405.1077023164488,241.584105844247,1.5610401551163333
eol_point,phase_exposure,phase1_exposure+phase2_exposure,8,3,0.03662386377051341,100.64231872795646,669.6469411877894,479.31117685934476,2.580414440326775
eol_point,shared_p_stress,soc_weighted_stress,8,2,0.0545122828526049,94.89237451704888,320.081844294737,270.39367989335494,1.2334019052480758
