scope,response,n_strategies,n_predictors,stress_standardized_beta,stress_standard_error,stress_p_descriptive_only,spearman_rho_unadjusted,spearman_exact_p,fit_r_squared,loo_rmse,loo_mae,condition_number
all_unadjusted,SOH_150,8,1,-0.5891135054577812,0.32988515114790196,0.12437160378547407,-0.6347419188140272,0.09990079365079366,0.34705472231275525,0.015522128914977108,0.01045329795756847,1.0
all_unadjusted,SOH_200,8,1,-0.5379609304665078,0.34414096852201154,0.1690359010539259,-0.5868368683374968,0.13412698412698412,0.289401962708391,0.020193402478916777,0.014245247742717695,1.0
all_unadjusted,SOH_slope_50_200_per100,8,1,-0.493752097384781,0.35501381811795474,0.21367565192602342,-0.5509080804800991,0.1625,0.24379113367187033,0.010789062224121645,0.007845616577742836,1.0
all_unadjusted,SOH_curvature_per100sq,8,1,0.42541010832645415,0.3694649824935317,0.2933663230968656,0.754504545005353,0.03819444444444445,0.1809737602663255,0.0036539968877917304,0.0025869957316707656,1.0
all_unadjusted,eol_point,8,1,-0.23347865609645108,0.3969650944242233,0.5778766620198956,-0.05988131309566294,0.8987103174603175,0.05451228285260468,320.081844294737,270.39367989335494,1.0
all_batch_adjusted,SOH_150,8,3,-2.4554896840891485,0.41478523786760685,0.0040783390581006496,-0.6347419188140272,0.09990079365079366,0.9062441247489816,0.021058471737472776,0.014282627258810826,7.025637920914444
all_batch_adjusted,SOH_200,8,3,-2.4608293487913824,0.407341095055297,0.003786312392278367,-0.5868368683374968,0.13412698412698412,0.9095791963686992,0.027292873987547046,0.01848065294409497,7.025637920914444
all_batch_adjusted,SOH_slope_50_200_per100,8,3,-2.4505690768103237,0.39611969722449086,0.0034696590962660077,-0.5509080804800991,0.1625,0.9144923863517679,0.014510969204072197,0.009790941901599574,7.025637920914444
all_batch_adjusted,SOH_curvature_per100sq,8,3,0.3893829805788095,0.10219857980466183,0.018939123625886838,0.754504545005353,0.03819444444444445,0.9943083048522712,0.0028038565057856677,0.0016007789445179534,7.025637920914444
all_batch_adjusted,eol_point,8,3,-1.4852153097036203,0.434514912299764,0.02682694813844079,-0.05988131309566294,0.8987103174603175,0.8971128159643742,289.9131290213147,223.82765950241583,7.025637920914444
dataset3_only,SOH_150,6,1,-0.9473937208529178,0.1600352599339154,0.0040783390581006496,-0.8285714285714286,0.058333333333333334,0.8975548623115366,0.00865746384190644,0.005946693770645384,1.0000000000000009
dataset3_only,SOH_200,6,1,-0.9493287489241429,0.15714239280515752,0.003786312392278364,-0.7142857142857143,0.1361111111111111,0.9012250735338784,0.011053383565641678,0.007647714075170953,1.0000000000000009
dataset3_only,SOH_slope_50_200_per100,6,1,-0.9515117913679896,0.15380613681488742,0.003469659096266008,-0.7142857142857143,0.1361111111111111,0.9053746891123206,0.005779981480590448,0.004007124337119273,1.0000000000000009
dataset3_only,SOH_curvature_per100sq,6,1,0.8854249525657171,0.23239118602799771,0.01893912362588682,0.6,0.24166666666666667,0.7839773466260023,0.0004518062845638728,0.000387488702203234,1.0000000000000009
dataset3_only,eol_point,6,1,-0.8631068055449882,0.2525107137439548,0.02682694813844079,-0.4857142857142857,0.35555555555555557,0.7449533577780741,140.86912440297797,135.09812989413987,1.0000000000000009
