scope,p,response,n,k_including_intercept,fit_r_squared,AICc,loo_rmse,loo_mae,normalized_loo_rmse,selected_shared_p
all_parameterized,1.0,SOH_200,8.0,2.0,0.14298817686805054,-68.74550087586323,0.04621253157845003,0.024061134011540905,4.687679814980963,False
all_parameterized,1.0,SOH_slope_50_200_per100,8.0,2.0,0.11420965753339207,-78.40524579080025,0.024158680195222663,0.012905168870577976,4.556609570561897,False
all_parameterized,1.0,eol_point,8.0,2.0,0.03564573805152049,95.05043708976771,454.5907637051419,350.7288501558388,1.7517179560668983,False
dataset3_only,1.0,SOH_200,6.0,2.0,0.9027446551036984,-60.219920394260754,0.011062977799990038,0.007583769836895756,1.0157574788639268,False
dataset3_only,1.0,SOH_slope_50_200_per100,6.0,2.0,0.9072687495052936,-68.02640792135242,0.005772285433708688,0.00396810496526894,0.9918552805591607,False
dataset3_only,1.0,eol_point,6.0,2.0,0.7571708558155934,62.492436342987446,133.2549828004199,127.69640628178017,0.7001431240988385,False
all_parameterized,1.05,SOH_200,8.0,2.0,0.14592265744119204,-68.77294055355065,0.04484382786962476,0.023565282441665267,4.548842046752274,False
all_parameterized,1.05,SOH_slope_50_200_per100,8.0,2.0,0.11675446103179166,-78.42826221714164,0.023452206847952333,0.012648829559181111,4.423360436523711,False
all_parameterized,1.05,eol_point,8.0,2.0,0.03607112910265886,95.04690739186563,445.9338568628342,346.64831738983116,1.7183594710944565,False
dataset3_only,1.05,SOH_200,6.0,2.0,0.902574510528258,-60.20943279063118,0.011066036823000029,0.007589672374732644,1.0160383458742916,False
dataset3_only,1.05,SOH_slope_50_200_per100,6.0,2.0,0.9070857039480072,-68.01457597902946,0.005774448345805034,0.003971462417690805,0.9922269350465874,False
dataset3_only,1.05,eol_point,6.0,2.0,0.7566206669124813,62.50601543501078,133.5977010160406,128.06380950311348,0.7019438207566862,False
all_parameterized,1.1,SOH_200,8.0,2.0,0.14889899402656748,-68.80086809190416,0.043545973239289396,0.02309430374762471,4.4171910260096725,False
all_parameterized,1.1,SOH_slope_50_200_per100,8.0,2.0,0.1193383268379562,-78.45169989129182,0.022782428655152096,0.01240537300622132,4.297032437692438,False
all_parameterized,1.1,eol_point,8.0,2.0,0.03649993274037033,95.0433478010653,437.83048944051666,342.77133356369524,1.6871339923746815,False
dataset3_only,1.1,SOH_200,6.0,2.0,0.9024147264094527,-60.19960046227844,0.011068803881083878,0.0075951996780339774,1.0162924058565075,False
dataset3_only,1.1,SOH_slope_50_200_per100,6.0,2.0,0.9069134190215058,-68.00346087171235,0.0057764359189464345,0.003974611881804449,0.992568460935845,False
dataset3_only,1.1,eol_point,6.0,2.0,0.7560937280692197,62.51899194923319,133.92655112390167,128.41397157475035,0.703671652144597,False
all_parameterized,1.15,SOH_200,8.0,2.0,0.15191709736825632,-68.82928744310315,0.042313929565622875,0.022646415813389068,4.292215698691427,False
all_parameterized,1.15,SOH_slope_50_200_per100,8.0,2.0,0.12196123468223852,-78.47556214532038,0.02214673904537092,0.012173877350535248,4.177133944213955,False
all_parameterized,1.15,eol_point,8.0,2.0,0.036932092240042236,95.03975874934203,430.23874276279304,339.08348036697174,1.6578799906767818,False
dataset3_only,1.15,SOH_200,6.0,2.0,0.9022648302821012,-60.19039121694354,0.011071296290630077,0.00760037461275385,1.016521248730706,False
dataset3_only,1.15,SOH_slope_50_200_per100,6.0,2.0,0.9067513896767428,-67.99302616738392,0.005778258639147675,0.003977566039920193,0.9928816600451658,False
dataset3_only,1.15,eol_point,6.0,2.0,0.755588489475481,62.53140776841107,134.2423701773741,128.74804720992532,0.7053310162756878,False
all_parameterized,1.2,SOH_200,8.0,2.0,0.15497685047565168,-68.85820240856056,0.04114312528648316,0.02222000153745568,4.173452337344308,False
all_parameterized,1.2,SOH_slope_50_200_per100,8.0,2.0,0.12462313958945559,-78.49985217137585,0.021542772670659967,0.011953506050815943,4.063218823807264,False
all_parameterized,1.2,eol_point,8.0,2.0,0.037367547939963,95.03614069356198,423.1205437534061,335.5716723136465,1.6304507553839847,False
dataset3_only,1.2,SOH_200,6.0,2.0,0.9021243826894922,-60.18177527389396,0.01107352994406628,0.007605217928256136,1.0167263336747447,False
dataset3_only,1.2,SOH_slope_50_200_per100,6.0,2.0,0.9065991468950159,-67.98323822718672,0.005779926128180685,0.003980336404544263,0.9931681856894118,False
dataset3_only,1.2,eol_point,6.0,2.0,0.755103537819479,62.543300936113354,134.54592968626588,129.06708723514691,0.706925966786647,False
all_parameterized,1.25,SOH_200,8.0,2.0,0.15807810808769296,-68.88761663159318,0.04002940259082845,0.021813590164921653,4.060479184357785,False
all_parameterized,1.25,SOH_slope_50_200_per100,8.0,2.0,0.12732397133793594,-78.52457301513974,0.020968378116657534,0.011743498238516543,3.9548812945674143,False
all_parameterized,1.25,eol_point,8.0,2.0,0.037806237238418805,95.03249411557859,416.4412403390111,332.2240066830476,1.6047127583563905,False
