predictor,response,n_strategies,spearman_rho,exact_permutation_p,bootstrap_valid_n,rho_ci95_low,rho_ci95_high,bootstrap_positive_fraction,bootstrap_same_sign_fraction
C1,SOH_150,8,-0.19278507708475195,0.6517857142857143,2000,-1.0,0.7777777777777778,0.34,0.66
C1,SOH_200,8,-0.16868694244915797,0.6928571428571428,2000,-0.9805868811123314,0.8,0.3345,0.6615
C1,SOH_slope_50_200_per100,8,-0.10844160586017297,0.7976190476190477,2000,-0.9058323366327846,0.8259611726714678,0.4245,0.571
C1,SOH_curvature_per100sq,8,0.13253974049576697,0.7559523809523809,2000,-0.7948514288830507,0.8828194792672666,0.621,0.621
C1,eol_point,8,0.22893227903814295,0.5815476190476191,2000,-0.5891292460879983,0.848144648817185,0.728,0.728
Q1,SOH_150,8,0.5855400437691198,0.1386904761904762,1999,-0.19037974683544304,1.0,0.9299649824912456,0.9299649824912456
Q1,SOH_200,8,0.5611425419454065,0.16101190476190477,1999,-0.2491020830224699,1.0,0.9234617308654327,0.9234617308654327
Q1,SOH_slope_50_200_per100,8,0.5611425419454065,0.16101190476190477,1999,-0.2514202301003936,1.0,0.9154577288644322,0.9154577288644322
Q1,SOH_curvature_per100sq,8,-0.4635525346505532,0.25476190476190474,1998,-1.0,0.42521562658548984,0.13763763763763764,0.8588588588588588
Q1,eol_point,8,0.1951800145897066,0.6523809523809524,1997,-0.7304048903301812,0.8822665767598178,0.6459689534301453,0.6459689534301453
C2,SOH_150,8,-0.6988459044322258,0.0623015873015873,2000,-1.0,0.1283881477532739,0.0425,0.957
C2,SOH_200,8,-0.6988459044322258,0.0623015873015873,2000,-1.0,0.13284494246256598,0.044,0.9555
C2,SOH_slope_50_200_per100,8,-0.5663061639364588,0.1498015873015873,2000,-1.0,0.3031726523860627,0.095,0.9025
C2,SOH_curvature_per100sq,8,0.3614720195339099,0.3771825396825397,2000,-0.6038810848771178,0.9813067629253163,0.7755,0.7755
C2,eol_point,8,-0.3494229522161129,0.39384920634920634,2000,-0.9240506329113927,0.6729827111199312,0.206,0.787
phase1_exposure,SOH_150,8,0.44312171690790575,0.27271825396825394,2000,-0.5162947731409796,1.0,0.839,0.839
phase1_exposure,SOH_200,8,0.39521666643137543,0.33214285714285713,2000,-0.5032342373975981,0.9746835443037977,0.814,0.814
phase1_exposure,SOH_slope_50_200_per100,8,0.45509797952703834,0.258234126984127,2000,-0.452054794520548,1.0,0.8575,0.8575
phase1_exposure,SOH_curvature_per100sq,8,-0.37126414119311024,0.3626984126984127,2000,-1.0,0.5555555555555556,0.181,0.81
phase1_exposure,eol_point,8,0.15569141404872364,0.7156746031746032,2000,-0.7506944444444444,0.8987341772151901,0.5935,0.5935
phase2_exposure,SOH_150,8,-0.6343350474165464,0.10416666666666667,1999,-1.0,0.13989092759813318,0.060530265132566284,0.9384692346173087
phase2_exposure,SOH_200,8,-0.6099375455928332,0.12232142857142857,1997,-1.0,0.20649029316786696,0.06209313970956434,0.9344016024036054
phase2_exposure,SOH_slope_50_200_per100,8,-0.6099375455928332,0.12232142857142857,1998,-1.0,0.23076923076923078,0.06756756756756757,0.92992992992993
phase2_exposure,SOH_curvature_per100sq,8,0.5855400437691198,0.1386904761904762,2000,-0.28235590556747464,1.0,0.919,0.919
phase2_exposure,eol_point,8,-0.21957751641341994,0.6166666666666667,2000,-0.9753086419753085,0.6202531645569621,0.318,0.6685
soc_weighted_stress,SOH_150,8,-0.6347419188140272,0.09990079365079366,2000,-1.0,0.23659216219693144,0.0625,0.936
soc_weighted_stress,SOH_200,8,-0.5868368683374968,0.13412698412698412,2000,-1.0,0.276778830568679,0.074,0.9225
soc_weighted_stress,SOH_slope_50_200_per100,8,-0.5509080804800991,0.1625,2000,-0.9746835443037977,0.2820512820512821,0.0705,0.9245
soc_weighted_stress,SOH_curvature_per100sq,8,0.754504545005353,0.03819444444444445,2000,0.02736395703071724,1.0,0.976,0.976
soc_weighted_stress,eol_point,8,-0.05988131309566294,0.8987103174603175,2000,-0.9047619047619049,0.8518518518518517,0.439,0.551
