battery_id,strategy,strategy_code,scheme,estimated_eol,actual200_quadratic_reference,absolute_difference_from_reference,relative_difference_from_reference
1,3_6C-80PER_3_6C,S1,quadratic_150,1553.0549381062642,1184.59271,368.4622281062643,0.3110454969001661
1,3_6C-80PER_3_6C,S1,quadratic_predicted_200,1480.64622437018,1184.59271,296.0535143701802,0.24992008803614893
1,3_6C-80PER_3_6C,S1,group_constrained_quadratic,1482.8604400871134,1184.59271,298.2677300871135,0.2517892669516036
3,3_6C-80PER_3_6C,S1,quadratic_150,1648.0811980260419,1630.96448,17.11671802604178,0.01049484414647815
3,3_6C-80PER_3_6C,S1,quadratic_predicted_200,1552.2057322068247,1630.96448,78.75874779317542,0.04828967691140362
3,3_6C-80PER_3_6C,S1,group_constrained_quadratic,1534.3378926730045,1630.96448,96.6265873269956,0.059245059295831876
4,80PER_3_6C,S2,quadratic_150,668.6188089040537,670.3554071,1.7365981959462715,0.0025905634198714164
4,80PER_3_6C,S2,quadratic_predicted_200,732.4639817559295,670.3554071,62.10857465592949,0.09265021807553567
4,80PER_3_6C,S2,group_constrained_quadratic,734.3346710545663,670.3554071,63.97926395456636,0.09544081136205751
6,80PER_3_6C,S2,quadratic_150,1199.8864046465271,1191.042185,8.844219646527108,0.0074256141032713364
6,80PER_3_6C,S2,quadratic_predicted_200,1200.4687384396752,1191.042185,9.426553439675217,0.007914542035868543
6,80PER_3_6C,S2,group_constrained_quadratic,1195.7784887286666,1191.042185,4.7363037286665985,0.003976604513522415
7,4_8C_80PER_4_8C,S3,quadratic_150,1004.0160003262743,899.6140682,104.40193212627423,0.11605191138814411
7,4_8C_80PER_4_8C,S3,quadratic_predicted_200,973.127765122082,899.6140682,73.51369692208198,0.08171692675857375
7,4_8C_80PER_4_8C,S3,group_constrained_quadratic,956.9781488506766,899.6140682,57.364080650676556,0.06376521074804214
8,4_8C_80PER_4_8C,S3,quadratic_150,665.2278909632475,652.5326072,12.695283763247517,0.019455401344191273
8,4_8C_80PER_4_8C,S3,quadratic_predicted_200,677.3769283630345,652.5326072,24.844321163034465,0.03807368534369613
8,4_8C_80PER_4_8C,S3,group_constrained_quadratic,678.0184437250666,652.5326072,25.48583652506659,0.039056801520502754
12,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,quadratic_150,1391.085920176434,1467.929297,76.8433768235659,0.052348145772831395
12,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,quadratic_predicted_200,1638.9788337721045,1467.929297,171.0495367721046,0.11652437015984198
