C1,Q1,C2,phase1_ideal_minutes,phase2_ideal_minutes,T_ideal_physical,T_ideal_as_written_minus,nearest_observed_distance_normalized,nearest_observed_index,inside_rectangle,inside_convex_hull,inside_trust_region,inside_main_domain,predicted_charge_time,predicted_charge_time_se,predicted_SOH200,predicted_SOH200_se,predicted_slope50_200,predicted_slope50_200_se,predicted_degradation_rate,predicted_degradation_rate_se,predicted_EOL,predicted_EOL_se,stress_p,soc_weighted_stress,pareto_rank,normalized_time,normalized_degradation,distance_to_ideal,recommendation_type,omitted_strategy
5.0,28.0,4.9,3.3600000000000003,6.36734693877551,9.727346938775511,-3.00734693877551,0.3826513837107855,2,True,True,True,True,9.985162445131486,0.4800550371431245,0.9927786252187871,0.0009384952752269775,-0.004279092958578148,0.0004851564903998596,0.004279092958578148,0.0004851564903998596,1359.79409489092,49.537294131434805,2.0,24.356500000000004,39,0.14278411684162634,0.5287458189938409,0.5476855348881425,fast_charge,S4
4.85,55.0,4.85,6.804123711340207,3.0927835051546393,9.896907216494846,3.7113402061855676,0.41152234714075303,5,True,True,True,True,10.15472272285082,0.4800550371431245,0.9957582540281044,0.0006619073303800752,-0.0025815302488800063,0.00035143715288282046,0.0025815302488800063,0.00035143715288282046,1504.4863653788898,65.80936722788066,2.0,23.522499999999994,120,0.3235400678502031,0.2854069054302716,0.4314339777669325,knee,S4
4.75,60.0,4.8,7.578947368421052,2.5,10.078947368421051,5.078947368421052,0.32892325121282556,5,True,True,True,True,10.336762874777026,0.4800550371431245,0.9975189595346109,0.0005416659409561147,-0.0015511696104910052,0.0002954438049611621,0.0015511696104910052,0.0002954438049611621,1665.9125795837267,101.95224955449521,2.0,22.681874999999998,237,0.5175999103189269,0.1377087751097552,0.535605614145698,longevity,S4
5.0,28.0,4.9,3.3600000000000003,6.36734693877551,9.727346938775511,-3.00734693877551,0.3826513837107855,2,True,True,True,True,9.98989061256545,0.47681108629081514,0.9921698371509893,0.0007587891704769033,-0.004655223671749966,0.0003803027451917454,0.004655223671749966,0.0003803027451917454,1328.7979531747533,54.92875031347914,2.0,24.356500000000004,39,0.14278411684162634,0.5347324125403365,0.5534673044032971,fast_charge,S5
4.85,55.0,4.85,6.804123711340207,3.0927835051546393,9.896907216494846,3.7113402061855676,0.41152234714075303,5,True,True,True,True,10.159450890284784,0.47681108629081514,0.9953572915423008,0.0005090242745471556,-0.002842853274998174,0.0002627605152094722,0.002842853274998174,0.0002627605152094722,1460.0206749589331,68.28361817496072,2.0,23.522499999999994,120,0.3235400678502031,0.29131864977420674,0.4353673520267465,knee,S5
4.75,60.0,4.8,7.578947368421052,2.5,10.078947368421051,5.078947368421052,0.32892325121282556,5,True,True,True,True,10.34149104221099,0.47681108629081514,0.9972586225983432,0.000413691875164584,-0.001729286376368041,0.0002199954311137337,0.001729286376368041,0.0002199954311137337,1605.402579903526,103.34335537128372,2.0,22.681874999999998,237,0.5175999103189269,0.14175898505381007,0.5366612311371556,longevity,S5
5.0,28.0,4.9,3.3600000000000003,6.36734693877551,9.727346938775511,-3.00734693877551,0.3826513837107855,2,True,True,True,True,9.98565259067186,0.4797392572504925,0.9931062652449826,0.0006445106033813435,-0.00416303917666671,0.00038147593002922783,0.00416303917666671,0.00038147593002922783,1364.1805161509017,45.140326536743174,2.0,24.356500000000004,39,0.14278411684162634,0.523525706770654,0.5426476478083693,fast_charge,S6
4.85,55.0,4.85,6.804123711340207,3.0927835051546393,9.896907216494846,3.7113402061855676,0.41152234714075303,5,True,True,True,True,10.155212868391194,0.4797392572504925,0.9960258868708559,0.00044394604812966434,-0.002484877630448922,0.00027206715820632697,0.002484877630448922,0.00027206715820632697,1510.6240631701949,59.726040387299086,2.0,23.522499999999994,120,0.3235400678502031,0.28029662145700457,0.4280705216488579,knee,S6
4.75,60.0,4.8,7.578947368421052,2.5,10.078947368421051,5.078947368421052,0.32892325121282556,5,True,True,True,True,10.3372530203174,0.4797392572504925,0.9977189980929138,0.000355892535433669,-0.0014771319793569072,0.00022588826858397322,0.0014771319793569072,0.00022588826858397322,1674.1437088472182,92.44923515208427,2.0,22.681874999999998,237,0.5175999103189269,0.13423615815038753,0.5347233053805838,longevity,S6
5.0,28.0,4.9,3.3600000000000003,6.36734693877551,9.727346938775511,-3.00734693877551,0.3826513837107855,2,True,True,True,True,9.986538791304245,0.47915633279622777,0.9923617312373597,0.0009283071472156175,-0.004529445841826892,0.0004975821369663146,0.004529445841826892,0.0004975821369663146,1316.2279874389978,46.232301597623064,2.0,24.356500000000004,39,0.14278411684162634,0.5331337844781975,0.5519229440549543,fast_charge,S7
4.85,55.0,4.85,6.804123711340207,3.0927835051546393,9.896907216494846,3.7113402061855676,0.41152234714075303,5,True,True,True,True,10.156099069023579,0.47915633279622777,0.9954873485326734,0.0006142434738662491,-0.002757077989519942,0.0003392194619226457,0.002757077989519942,0.0003392194619226457,1447.7303438606218,56.952667582920505,2.0,23.522499999999994,120,0.3235400678502031,0.28973466322859964,0.43430904961870653,knee,S7
4.75,60.0,4.8,7.578947368421052,2.5,10.078947368421051,5.078947368421052,0.32892325121282556,5,True,True,True,True,10.338139220949785,0.47915633279622777,0.9973450703082609,0.000496730585274292,-0.0016716309863288145,0.0002827035363639956,0.0016716309863288145,0.0002827035363639956,1593.5759064415186,86.17043135693564,2.0,22.681874999999998,237,0.5175999103189269,0.14067032176255137,0.5363746886150957,longevity,S7
5.0,28.0,4.9,3.3600000000000003,6.36734693877551,9.727346938775511,-3.00734693877551,0.3826513837107855,2,True,True,True,True,9.971102738028417,0.4871402497772748,0.9940697215071479,0.0010403223998995009,-0.0036049793088903026,0.0005597291006013529,0.0036049793088903026,0.0005597291006013529,1389.5461038814178,96.1105701743121,2.0,24.356500000000004,39,0.14278411684162634,0.6497606652985648,0.6652640274293182,fast_charge,S8
4.85,54.0,4.8,6.680412371134023,3.2500000000000004,9.930412371134024,3.430412371134022,0.42704111562382635,5,True,True,True,True,10.17416817038693,0.4871402497772748,0.9957063537742747,0.0005548556910261346,-0.0026319128515443295,0.00030102844906182,0.0026319128515443295,0.00030102844906182,1476.587881576083,75.23473900664901,2.0,23.365687499999996,142,0.3592574904208282,0.37817166180473366,0.5216126438417932,knee,S8
4.75,60.0,4.8,7.578947368421052,2.5,10.078947368421051,5.078947368421052,0.32892325121282556,5,True,True,True,True,10.322703167673957,0.4871402497772748,0.9965641589286559,0.0008747234602203548,-0.002118239118014027,0.00047730385400764454,0.002118239118014027,0.00047730385400764454,1539.8198657228133,154.56564053121636,2.0,22.681874999999998,237,0.5175999103189269,0.23480207347162288,0.5683675578960631,longevity,S8
5.0,28.0,4.9,3.3600000000000003,6.36734693877551,9.727346938775511,-3.00734693877551,0.3826513837107855,2,True,True,True,True,9.787979736731486,0.03978254463474077,0.9926548743921844,0.0009747052158160159,-0.004383573627774954,0.0005209746834146063,0.004383573627774954,0.0005209746834146063,1322.4770875907668,50.83945724195362,2.0,24.356500000000004,39,0.14278411684162634,0.534184656200305,0.5529381076956816,fast_charge,S9
4.85,55.0,4.85,6.804123711340207,3.0927835051546393,9.896907216494846,3.7113402061855676,0.41152234714075303,5,True,True,True,True,9.95754001445082,0.03978254463474077,0.9956526642469978,0.0007393910971036607,-0.002673986966470888,0.00040730952953147803,0.002673986966470888,0.00040730952953147803,1437.9564764515112,70.84928327287656,2.0,23.522499999999994,120,0.3235400678502031,0.2907754714274461,0.435004080772086,knee,S9
