C1,Q1,C2,phase1_ideal_minutes,phase2_ideal_minutes,T_ideal_physical,T_ideal_as_written_minus,nearest_observed_distance_normalized,nearest_observed_index,inside_rectangle,inside_convex_hull,inside_trust_region,inside_main_domain,predicted_charge_time,predicted_charge_time_se,predicted_SOH200,predicted_SOH200_se,predicted_slope50_200,predicted_slope50_200_se,predicted_degradation_rate,predicted_degradation_rate_se,predicted_EOL,predicted_EOL_se,stress_p,soc_weighted_stress
3.7,31.0,5.9,5.027027027027027,4.983050847457626,10.010077874484654,0.04397617956940092,0.0,4,True,True,True,True,10.233785421447967,0.432879390839616,0.9693940951350245,0.007417880088670263,-0.016840595294306315,0.0036556178017763618,0.016840595294306315,0.0036556178017763618,1036.0929396608503,80.9017257355046,2.0,26.626000000000005
3.75,32.0,5.85,5.12,4.9230769230769225,10.043076923076923,0.19692307692307764,0.040666774057927624,4,True,True,True,True,10.266784470040236,0.432879390839616,0.9771895611233674,0.0046785552461458685,-0.012761129960823795,0.002344207290081171,0.012761129960823795,0.002344207290081171,1092.3934959677936,72.18412783430684,2.0,26.158499999999997
3.75,33.0,5.85,5.28,4.82051282051282,10.10051282051282,0.45948717948718,0.04959860275627205,4,True,True,True,True,10.324220367476133,0.432879390839616,0.9805323343392989,0.0036190372535463704,-0.010988848964270648,0.0018296167966041475,0.010988848964270648,0.0018296167966041475,1124.0002218194772,67.31782231865535,2.0,25.906499999999998
3.8,32.0,5.8,5.052631578947368,4.96551724137931,10.018148820326678,0.08711433756805853,0.07621621327524834,4,True,True,True,True,10.24185636728999,0.432879390839616,0.9798662614928317,0.003823635706332877,-0.01134327385144433,0.001929386615723017,0.01134327385144433,0.001929386615723017,1117.2144786607184,68.35544689067534,2.0,25.96
3.8,33.0,5.8,5.210526315789474,4.862068965517241,10.072595281306715,0.34845735027223323,0.0813335481158549,4,True,True,True,True,10.296302828270028,0.432879390839616,0.9826866227142894,0.0029821110029304497,-0.009837703391138725,0.001517625083749501,0.009837703391138725,0.001517625083749501,1147.9790845482328,63.70308642164721,2.0,25.72
3.8,34.0,5.8,5.36842105263158,4.758620689655173,10.127041742286753,0.609800362976407,0.0892125039121422,4,True,True,True,True,10.350749289250066,0.432879390839616,0.985111903935246,0.0023164275799617247,-0.00853196434111475,0.0011889329304299963,0.00853196434111475,0.0011889329304299963,1179.5908518299912,59.12830743125532,2.0,25.48
3.8,35.0,5.8,5.526315789473684,4.655172413793103,10.181488203266788,0.8711433756805809,0.09919720551254382,4,True,True,True,True,10.405195750230101,0.432879390839616,0.9871974484945647,0.0017963499463411897,-0.007399533470751193,0.000929881296198134,0.007399533470751193,0.000929881296198134,1212.0731086913324,54.79080944529217,2.0,25.24
3.85,32.0,5.75,4.987012987012987,5.0086956521739125,9.9957086391869,-0.02168266516092565,0.1128455534004368,4,True,True,True,True,10.219416186150212,0.432879390839616,0.9821729009379784,0.003130376102974241,-0.010112909797606479,0.0015904526167381191,0.010112909797606479,0.0015904526167381191,1141.9529884867122,64.6023853519203,2.0,25.7665
3.85,33.0,5.75,5.142857142857143,4.904347826086957,10.0472049689441,0.2385093167701866,0.1163630259375665,4,True,True,True,True,10.270912515907414,0.432879390839616,0.9845540302974825,0.0024642135248819845,-0.008833314138844665,0.0012621634320542962,0.008833314138844665,0.0012621634320542962,1171.8061543452404,60.228690349683745,2.0,25.538500000000003
3.85,34.0,5.75,5.298701298701299,4.8,10.098701298701299,0.49870129870129887,0.1220003221737823,4,True,True,True,True,10.322408845664611,0.432879390839616,0.9866171170519074,0.001935570699110939,-0.007715626880601682,0.0009994460059641029,0.007715626880601682,0.0009994460059641029,1202.4397477001396,56.02826450762574,2.0,25.310499999999998
3.85,35.0,5.7,5.454545454545454,4.7368421052631575,10.19138755980861,0.7177033492822966,0.14701339655655,4,True,True,True,True,10.415095106771924,0.432879390839616,0.9905302332228404,0.0010989746356358313,-0.0055671861627798695,0.0005786459122805771,0.0055671861627798695,0.0005786459122805771,1279.6777373980797,47.84466159612199,2.0,24.76046875
3.85,35.0,5.75,5.454545454545454,4.695652173913044,10.150197628458498,0.7588932806324102,0.1294808608935334,4,True,True,True,True,10.373905175421811,0.432879390839616,0.9884046415050809,0.0015220932976414846,-0.006739361605954349,0.000792327286140025,0.006739361605954349,0.000792327286140025,1233.8741706447718,52.181006662784554,2.0,25.0825
3.85,36.0,5.75,5.61038961038961,4.591304347826087,10.201693958215696,1.0190852625635225,0.13850631027869584,4,True,True,True,True,10.425401505179009,0.432879390839616,0.9899534099530582,0.0012052519730445753,-0.005886624062913446,0.0006324908265671638,0.005886624062913446,0.0006324908265671638,1266.1303586281526,48.93528015711246,2.0,24.8545
3.85,37.0,5.75,5.766233766233766,4.48695652173913,10.253190287972895,1.2792772444946356,0.14879580826881567,4,True,True,True,True,10.476897834936208,0.432879390839616,0.9912953125497986,0.0009693211939121466,-0.005141784175441123,0.0005128107605273727,0.005141784175441123,0.0005128107605273727,1299.2297943980386,46.61063126974239,2.0,24.6265
3.9,31.0,5.75,4.76923076923077,5.113043478260869,9.88227424749164,-0.3438127090300993,0.13157894736842105,4,True,True,True,True,10.105981794454953,0.432879390839616,0.9773872702654709,0.004613717352473606,-0.012656737938408776,0.00231285571508336,0.012656737938408776,0.00231285571508336,1094.1065246907024,71.9187429319776,2.0,26.144656250000004
3.9,33.0,5.7,5.0769230769230775,4.947368421052631,10.024291497975709,0.12955465587044657,0.15243242655049652,4,True,True,True,True,10.247999044939021,0.432879390839616,0.9861766267208822,0.0020441788500652146,-0.007955034322369313,0.0010535997827575948,0.007955034322369313,0.0010535997827575948,1195.4510396464418,56.953594110417136,2.0,25.362
3.9,34.0,5.7,5.230769230769232,4.842105263157895,10.072874493927127,0.38866396761133704,0.1567780898889651,4,True,True,True,True,10.29658204089044,0.432879390839616,0.9879322676885314,0.0016268088778535336,-0.006998127236712076,0.0008449314190985508,0.006998127236712076,0.0008449314190985508,1225.037751081282,53.20406616224661,2.0,25.146
