recommendation_type,existing_strategy_code,existing_strategy,delta_time_vs_observed_mean_minutes,delta_SOH200_vs_observed_median,delta_degradation_rate_vs_observed_median,delta_EOL_vs_existing_quadratic_median_cycles,delta_time_proxy_to_proxy_minutes,delta_SOH200_proxy_to_proxy,delta_degradation_rate_proxy_to_proxy,delta_EOL_proxy_to_proxy_cycles,comparison_status
fast_charge,S4,5C_67PER_4C_NEWSTRUCTURE,-0.09211326426117594,-0.0025623619242319817,0.0013472486952506883,-22.90155675867709,-0.2626530612244906,-0.0029565605604492395,0.0016860547685553563,-130.11228427516767,candidate is surrogate-predicted; existing strategy metrics are observed/model summaries
fast_charge,S5,5_3C_54PER_4C_NEWSTRUCTURE,-0.0916799742611758,-0.0026341302242319786,0.0015067896232506882,-86.57970425867711,-0.2858606083943016,-0.0008507321560711212,0.0004803637915250735,-30.01037028881592,candidate is surrogate-predicted; existing strategy metrics are observed/model summaries
fast_charge,S6,5_6C_19PER_4_6C_NEWSTRUCTURE,-0.0918985614040313,-0.0011176112242319292,0.0007977270022506882,6.34316474132288,-0.2648890860692106,-0.0028305945322963932,0.0016131386088750863,-122.6458157872014,candidate is surrogate-predicted; existing strategy metrics are observed/model summaries
fast_charge,S7,5_6C_36PER_4_3C_NEWSTRUCTURE,-0.0919092742611749,-0.0015717443242320162,0.0008295189182506882,-134.18367425867723,-0.26933080208827676,-0.0003383814238453464,0.00019066865874125573,-11.419720622825707,candidate is surrogate-predicted; existing strategy metrics are observed/model summaries
fast_charge,S8,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.18248967426117524,0.02670890187576802,-0.014179460741749313,322.22382109132286,-0.282730935709143,0.023260466440743532,-0.012459945211055628,303.4544090804725,candidate is surrogate-predicted; existing strategy metrics are observed/model summaries
fast_charge,S9,4_8C_80PER_4_8C_NEWSTRUCTURE,-1.0880268062611762,-0.004134928124231996,0.002380957029250688,-309.6200532586772,-0.2726530612244886,-0.004135556303895838,0.0023748176187697576,-215.24299458889686,candidate is surrogate-predicted; existing strategy metrics are observed/model summaries
knee,S4,5C_67PER_4C_NEWSTRUCTURE,0.07744701345815841,0.0004354014117919913,-0.0003626820133052376,109.70801328390439,-0.09309278350515626,4.120277557473351e-05,-2.3875940000569595e-05,2.497285767413814,candidate is surrogate-predicted; existing strategy metrics are observed/model summaries
knee,S5,5_3C_54PER_4C_NEWSTRUCTURE,0.07788030345815855,0.0003636331117919944,-0.0002031410853052377,46.02986578390437,-0.11630033067496726,0.002147031179952852,-0.0012295669170308524,102.59919975376556,candidate is surrogate-predicted; existing strategy metrics are observed/model summaries
knee,S6,5_6C_19PER_4_6C_NEWSTRUCTURE,0.07766171631530305,0.0018801521117920439,-0.0009122037063052377,138.95273478390436,-0.09532880834987623,0.0001671688037275798,-9.67920996808396e-05,9.963754255380081,candidate is surrogate-predicted; existing strategy metrics are observed/model summaries
knee,S7,5_6C_36PER_4_3C_NEWSTRUCTURE,0.07765100345815945,0.001426019011791957,-0.0008804117903052377,-1.5741042160957477,-0.0997705243689424,0.0026593819121786266,-0.0015192620498146701,121.18984941975577,candidate is surrogate-predicted; existing strategy metrics are observed/model summaries
knee,S8,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.012929396541840887,0.029706665211791994,-0.015889391450305237,454.83339113390434,-0.11317065798980863,0.026258229776767505,-0.014169875919611552,436.06397912305397,candidate is surrogate-predicted; existing strategy metrics are observed/model summaries
knee,S9,4_8C_80PER_4_8C_NEWSTRUCTURE,-0.9184665285418419,-0.0011371647882080227,0.0006710263206947623,-177.01048321609574,-0.10309278350515427,-0.0011377929678718646,0.0006648869102138318,-82.63342454631538,candidate is surrogate-predicted; existing strategy metrics are observed/model summaries
longevity,S4,5C_67PER_4C_NEWSTRUCTURE,0.259487165384364,0.0022204389268919433,-0.0014115510384503426,256.65901598197206,0.08894736842104933,0.0018262402906746855,-0.0010727449651456746,149.44828846548148,candidate is surrogate-predicted; existing strategy metrics are observed/model summaries
longevity,S5,5_3C_54PER_4C_NEWSTRUCTURE,0.25992045538436415,0.0021486706268919464,-0.0012520101104503427,192.98086848197204,0.06573982125123834,0.003932068695052804,-0.0022784359421759576,249.55020245183323,candidate is surrogate-predicted; existing strategy metrics are observed/model summaries
longevity,S6,5_6C_19PER_4_6C_NEWSTRUCTURE,0.25970186824150865,0.003665189626891996,-0.0019610727314503425,285.90373748197203,0.08671134357632937,0.0019522063188275318,-0.0011456611248259446,156.91475695344775,candidate is surrogate-predicted; existing strategy metrics are observed/model summaries
longevity,S7,5_6C_36PER_4_3C_NEWSTRUCTURE,0.25969115538436505,0.003211056526891909,-0.0019292808154503427,145.37689848197192,0.08226962755726319,0.004444419427278579,-0.002568131074959775,268.14085211782344,candidate is surrogate-predicted; existing strategy metrics are observed/model summaries
longevity,S8,3_7C_31PER_5_9C_NEWSTRUCTURE,0.1691107553843647,0.031491702726891946,-0.016938260475450342,601.784393831972,0.06886949393639696,0.028043267291867457,-0.015218744944756658,583.0149818211216,candidate is surrogate-predicted; existing strategy metrics are observed/model summaries
longevity,S9,4_8C_80PER_4_8C_NEWSTRUCTURE,-0.7364263766156363,0.0006478727268919293,-0.00037784270445034266,-30.059480518028067,0.07894736842105132,0.0006472445472280874,-0.0003839821149312732,64.31757815175229,candidate is surrogate-predicted; existing strategy metrics are observed/model summaries
