battery_id,strategy,dataset_id,requested_samples,valid_samples,valid_fraction,a_median,a_ci95_low,a_ci95_high,d1_median,d1_ci95_low,d1_ci95_high,d2_median,d2_ci95_low,d2_ci95_high,R100_median,R100_ci95_low,R100_ci95_high,R200_median,R200_ci95_low,R200_ci95_high,A_median,A_ci95_low,A_ci95_high,quadratic_eol_median,quadratic_eol_ci95_low,quadratic_eol_ci95_high,d1_boundary_fraction,d2_boundary_fraction,d1_d2_correlation
1,3_6C-80PER_3_6C,1,300,300,1.0,1.0060480321529037,1.0055319147147013,1.00661115366103,3.8395369273580883e-07,1.8676187267798832e-25,0.001571747242994653,0.0013664607670648287,0.0007421263669663493,0.0016397101985303481,0.0029230008673936077,0.002504207667403529,0.0033307006950669704,0.005594271724219184,0.004306096766720521,0.00655884079412873,0.0027329215341296573,0.0014842527339326986,0.0032794203970606963,1225.8660479402927,1121.0456458130122,1578.2217685929572,0.4166666666666667,0.0,-0.9027365505942968
3,3_6C-80PER_3_6C,1,300,300,1.0,0.9979330321884414,0.9977653174833885,0.9981265257741809,3.151316464443379e-05,1.0653346801844131e-11,0.0006024258772439499,0.0007111360241422664,0.00044934219734063763,0.0008016219804446421,0.001491360090558907,0.0013698682300247458,0.0016277814978435034,0.0028879955144512194,0.0023937731786800045,0.0032117062580639425,0.0014222720482845329,0.0008986843946812753,0.0016032439608892842,1664.6995742901602,1571.3121527202716,2032.6995010639498,0.19,0.0,-0.9324120462270225
4,80PER_3_6C,2,300,300,1.0,0.9999546162342328,0.99964901874236,1.0001954154420345,0.010420366081289226,0.009738604228428748,0.011015492697329697,0.0028947072182475943,0.0026152055484820647,0.0032039212321455543,0.01619767887224846,0.01602605324187575,0.016337350709855807,0.02199108325011604,0.021401486885931974,0.022626434495098078,0.005789414436495189,0.005230411096964129,0.0064078424642911086,670.5622383950405,652.066834253657,689.4554455240506,0.0,0.0,-0.9682015600320766
6,80PER_3_6C,2,300,300,1.0,0.9993104701894577,0.9991898967484211,0.9994696403355557,5.5160152361694625e-06,3.927873483826982e-13,0.00037168043576156295,0.0013842651694331424,0.0012117822316728315,0.0014575890425373528,0.002812160995528278,0.002703388816604341,0.0029472767047704217,0.0055636762628770275,0.005256575614083281,0.005833658528499997,0.002768530338866285,0.002423564463345663,0.0029151780850747056,1199.043556760816,1169.3933807038834,1266.4451185776597,0.09,0.0,-0.8829601007906495
7,4_8C_80PER_4_8C,2,300,300,1.0,0.9999947704709495,0.9996120771810866,1.0003160475843036,1.2507574326268913e-06,1.3823947214606721e-22,0.0011715240770149601,0.0023952472359462106,0.001924256977513263,0.0026455029433489173,0.004940237115966075,0.004618262423498784,0.005329653231064241,0.009671669907082797,0.00876345208499251,0.010582112110011924,0.004790494471892421,0.003848513955026526,0.005291005886697835,911.8852546319389,869.7998536920243,990.3875062880702,0.3466666666666667,0.0,-0.899030888210709
8,4_8C_80PER_4_8C,2,300,300,1.0,1.0002968453487808,1.0001086942687962,1.000486990643093,1.3244975523937011e-06,1.4064037150753789e-21,0.0006023258839408127,0.004676670107559055,0.004421048744391449,0.004796412348405143,0.00941409744520821,0.009238713691828935,0.009595375461380957,0.018727032433007527,0.018233875102968398,0.01919075048400477,0.00935334021511811,0.008842097488782898,0.009592824696810286,654.1816343308371,646.2270829169146,667.0400547538087,0.25333333333333335,0.0,-0.8867026000605815
12,5_6C_19PER_4_6C_NEWSTRUCTURE,3,300,300,1.0,0.9997512958734913,0.9995227175940432,1.0000091832384146,0.0009576975393383566,0.0004577115736280222,0.0015106950167601012,0.0008710118958252149,0.0005883506622071728,0.0011044431166194575,0.0027015024883506314,0.0025672066338720094,0.0028165222898809393,0.004438459392295309,0.003870832369161586,0.004950785001685343,0.0017420237916504298,0.0011767013244143457,0.002208886233238915,1460.7130887619724,1321.7687073938605,1716.137339670387,0.0,0.0,-0.9697212265509112
13,5_6C_36PER_4_3C_NEWSTRUCTURE,3,300,300,1.0,0.9997740261687029,0.999546549895851,1.000000640368854,0.0005466651950345729,6.946523077480813e-07,0.0010234260576242559,0.0008726466979414847,0.0006339147839724507,0.0011177563638360376,0.0022772915929193905,0.0021590343030724744,0.0024171252878705794,0.0040201024218999935,0.0035208848835986137,0.004522233717551288,0.0017452933958829694,0.0012678295679449014,0.002235512727672075,1482.2435458609584,1336.1055061740392,1695.905306575186,0.016666666666666666,0.0,-0.9649587346309436
15,5_6C_36PER_4_3C_NEWSTRUCTURE,3,300,300,1.0,0.9997152412785054,0.99959069106189,0.9999089466323615,5.447667911115196e-05,2.71014862214539e-21,0.0005140112896342319,0.0014875312121178765,0.0012628645843606367,0.0015710695007449878,0.0030651525975989354,0.0029479934110932847,0.003169252358642281,0.0060172163633595895,0.0055964614750803,0.006284297115262999,0.002975062424235753,0.0025257291687212735,0.0031421390014899756,1156.3884568474264,1127.589430295577,1236.3501409967316,0.16666666666666666,0.0,-0.9373473385851666
17,4_8C_80PER_4_8C_NEWSTRUCTURE,3,300,300,1.0,0.9996312031189781,0.9995053478740731,0.999751103200584,2.269072132045492e-05,2.621648632112334e-18,0.00044258495561149937,0.0005444222138845188,0.000350877050792729,0.0006197319432232137,0.0011496294644768612,0.001042735812949551,0.001258902043188312,0.002222520665525856,0.00185335097911054,0.0024889974082407218,0.0010888444277690377,0.000701754101585458,0.0012394638864464274,1913.4494340287806,1791.321741982151,2324.077647687858,0.21333333333333335,0.0,-0.9191638556240426
18,5C_67PER_4C_NEWSTRUCTURE,3,300,300,1.0,0.9998604017837943,0.9996996642759836,1.0000860599111607,6.893107163241339e-07,8.591888469742988e-24,0.0005284110478002318,0.001237205284162708,0.0010208079652821464,0.0013290337020890573,0.0025294600569981582,0.0023837854300613887,0.0026832421641996844,0.004971760606971786,0.004552601810596971,0.005329436328725507,0.002474410568325416,0.002041615930564293,0.0026580674041781147,1270.2885376011118,1226.6116225008332,1378.607086417419,0.3333333333333333,0.0,-0.8752371574200221
19,5_3C_54PER_4C_NEWSTRUCTURE,3,300,300,1.0,0.9998359207507659,0.9997164883955578,0.9999427142724957,6.190453165712843e-07,5.2591442732023055e-11,0.00033066702256892837,0.0006265847062910724,0.0004995734537544112,0.000687185791210156,0.0012919396104602173,0.0011950606583960408,0.0013958180091550876,0.002533810267221549,0.002267239799650034,0.002748772973931523,0.0012531694125821448,0.0009991469075088224,0.001374371582420312,1784.6657465740461,1705.3675561556304,1970.7352188260504,0.17666666666666667,0.0,-0.8749076284155188
