battery_id,strategy,strategy_code,dataset_id,prediction_test,a,d1,d2,R100,R200,A,quadratic_eol,d1_lower_boundary,d2_lower_boundary,a_lower_boundary,a_upper_boundary,physical_parameter_status,SOH_slope_1_50_per100,SOH_slope_50_100_per100,SOH_slope_100_150_per100,SOH_slope_150_200_per100,SOH_slope_50_200_per100,SOH_150,SOH_200,mean_chargetime_observed,mean_Tavg_observed,mean_IR_observed,reliability,quadratic_fit_rmse,quadratic_fit_status
1,3_6C-80PER_3_6C,S1,1,0,1.0060130435292498,3.726567773559597e-18,0.0014681032741293404,0.0029362065482586848,0.005872413096517365,0.002936206548258681,1184.592709541797,True,False,False,False,physical,0.006312741149,-0.002002948663,-0.003030557829,-0.008619981997,-0.003485479324,1.003388086,0.9986524264,13.38635311,31.59317025,0.01667720023,high_model_sensitivity,0.001000064249,ok
3,3_6C-80PER_3_6C,S1,1,0,0.9979037921299934,3.041181220839491e-22,0.0007439865941032677,0.0014879731882065355,0.002975946376413071,0.0014879731882065355,1630.9644804673558,True,False,False,False,physical,0.005687964576,-0.001654943736,-0.002114920976,-0.002110644922,-0.00208394382,0.9961013776,0.9949779743,13.37813162,31.42082179,0.01682848344,high_model_sensitivity,0.0006639198909,ok
4,80PER_3_6C,S2,2,0,1.0000067676368765,0.010397532520962332,0.002899715124367346,0.016196962769697024,0.021996393018431717,0.005799430248734692,670.3554070700999,False,False,False,False,physical,-0.0117497494,-0.01457603831,-0.01773264517,-0.02072018062,-0.01760322246,0.9778120229,0.9675278469,13.41767052,31.93909161,0.01721341416,high_model_sensitivity,9.524760204e-05,ok
6,80PER_3_6C,S2,2,0,0.999290902077371,5.715045781901452e-07,0.0014048124627837617,0.0028101964301457134,0.005619821355713237,0.0028096249255675234,1191.0421851580425,False,False,False,False,physical,0.00117734634,-0.002450787028,-0.003539984475,-0.00503007804,-0.003517937551,0.9961663389,0.9934527535,13.37610739,32.50758998,0.01714674952,moderate_model_sensitivity,0.0002806529043,ok
7,4_8C_80PER_4_8C,S3,2,0,0.9999842030520363,2.362697053671679e-09,0.002471059306981637,0.004942120976660328,0.009884239590623602,0.004942118613963274,899.6140681831477,True,False,False,False,physical,0.005242576542,-0.003132256878,-0.00608952599,-0.01021453324,-0.006394285176,0.9946399239,0.989582247,10.05825399,30.06863134,0.01715614308,high_model_sensitivity,0.0008399529949,ok
8,4_8C_80PER_4_8C,S3,2,0,1.000283367892493,6.516065541681806e-10,0.004703708935309259,0.009407418522225071,0.01881483639284359,0.009407417870618518,652.532607188647,True,False,False,False,physical,0.001844604325,-0.006666952726,-0.01253984979,-0.01613017443,-0.01224762906,0.9896091482,0.981340308,10.84242759,29.61042883,0.01716511076,high_model_sensitivity,0.0005329548391,ok
12,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,3,0,0.9997229397999289,0.0009718167578682793,0.0008606643009454623,0.002693145359759204,0.004414473961650128,0.0017213286018909245,1467.929297130451,False,False,False,False,physical,-0.0001709939171,-0.002939301229,-0.002802961825,-0.00474222227,-0.002947250492,0.9964181643,0.9941379258,10.04343997,37.33867627,0.0145487506,high_model_sensitivity,0.0002297046841,ok
13,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,3,0,0.9997499549968922,0.0005019737093446061,0.0008856471610383403,0.0022732680314212867,0.004044562353497967,0.0017712943220766805,1473.7310232233795,False,False,False,False,physical,0.001323568851,-0.002627230365,-0.002525440403,-0.004029765172,-0.002653630519,0.9970293212,0.9951664712,10.04134874,36.31134139,0.01501792762,high_model_sensitivity,0.0001955754414,ok
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,3,0,0.9996900276190905,7.211181151778614e-05,0.0014926697348699525,0.0030574512812576913,0.006042790750997596,0.002985339469739905,1154.221977383044,False,False,False,False,physical,0.0007674567198,-0.003076530462,-0.003730038183,-0.00557217163,-0.00369836592,0.9961804828,0.9935756156,10.0420817,35.90416732,0.01517998674,moderate_model_sensitivity,0.000200759658,ok
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,3,0,0.9996238571307028,2.4693876133655967e-07,0.0005695649953694574,0.0011393769295002514,0.002278506920239166,0.0011391299907389147,1872.1021731022938,False,False,False,False,physical,0.0008019310596,-0.001450400174,-0.00140666714,-0.001679003517,-0.001423354007,0.9983499922,0.9974511644,11.04012547,32.96613104,0.01544054327,high_model_sensitivity,0.0003342825065,ok
