parameter,comparison,median_relative_change,q25_relative_change,q75_relative_change,finite_n
d1,100_vs_200,0.14252150214810155,0.002000135641822651,0.9999999997628554,40
d1,150_vs_200,0.0560680084255617,0.0022289481870615313,0.6135783988422403,40
d2,100_vs_200,0.4298386817706509,0.23648737247498258,0.996134944705295,40
d2,150_vs_200,0.09504479473181841,0.039542685831780826,0.3843585942810465,40
R100,100_vs_200,0.2648189440185661,0.14914755235559263,0.5277866147083486,40
R100,150_vs_200,0.06272729004131948,0.03436462800559917,0.11257710643716298,40
A,100_vs_200,0.4298386817706509,0.23648737247498258,0.996134944705295,40
A,150_vs_200,0.09504479473181841,0.039542685831780826,0.3843585942810465,40
eol_cycle,100_vs_200,0.16427027718498743,0.1115093866193595,0.33663978660301,37
eol_cycle,150_vs_200,0.051076295405882,0.019562643127578206,0.1405254190966345,40
