battery_id,strategy,strategy_code,dataset_id,prediction_test,a,d1,d2,R100,R200,A,quadratic_eol,d1_lower_boundary,d2_lower_boundary,a_lower_boundary,a_upper_boundary,physical_parameter_status,SOH_slope_1_50_per100,SOH_slope_50_100_per100,SOH_slope_100_150_per100,SOH_slope_150_200_per100,SOH_slope_50_200_per100,SOH_150,SOH_200,mean_chargetime_observed,mean_Tavg_observed,mean_IR_observed,reliability,quadratic_fit_rmse,quadratic_fit_status,C1,Q1,C2,mean_chargetime,SOH_150_feature,SOH_200_feature,SOH_slope_1_50_per100_feature,SOH_slope_50_100_per100_feature,SOH_slope_100_150_per100_feature,SOH_slope_150_200_per100_feature,SOH_slope_50_200_per100_feature,initial_capacity,IR0,IR_mean_1_50,IR_delta_early,IR_slope_1_50_per100,Tavg0,Tavg_mean_1_50,Tavg_delta_early,Tavg_slope_1_50_per100,chargetime0,chargetime_mean_1_50,chargetime_delta_early,chargetime_slope_1_50_per100
1,3_6C-80PER_3_6C,S1,1,0,1.0060130435292498,3.726567773559597e-18,0.0014681032741293404,0.0029362065482586848,0.005872413096517365,0.002936206548258681,1184.592709541797,True,False,False,False,physical,0.006312741149,-0.002002948663,-0.003030557829,-0.008619981997,-0.003485479324,1.003388086,0.9986524264,13.38635311,31.59317025,0.01667720023,high_model_sensitivity,0.001000064249,ok,3.6,80,3.6,13.38635311,1.003388086,0.9986524264,0.006312741149,-0.002002948663,-0.003030557829,-0.008619981997,-0.003485479324,1.0706892,0.0166426245,0.0166591054,-3.0360499999999846e-05,-5.1115151515150735e-05,31.911114974999997,31.616020144999997,-0.30205955499999604,-0.4553981904761951,13.383304169999999,13.3839792336,-0.0006783399999985562,0.0009090909090887903
3,3_6C-80PER_3_6C,S1,1,0,0.9979037921299934,3.041181220839491e-22,0.0007439865941032677,0.0014879731882065355,0.002975946376413071,0.0014879731882065355,1630.9644804673558,True,False,False,False,physical,0.005687964576,-0.001654943736,-0.002114920976,-0.002110644922,-0.00208394382,0.9961013776,0.9949779743,13.37813162,31.42082179,0.01682848344,high_model_sensitivity,0.0006639198909,ok,3.6,80,3.6,13.37813162,0.9961013776,0.9949779743,0.005687964576,-0.001654943736,-0.002114920976,-0.002110644922,-0.00208394382,1.0880535,0.016708031999999998,0.01674246159,4.093900000000372e-05,0.00013964761904763394,31.880072285,31.526384621000002,-0.47590755999999956,-1.0712727777777729,13.34142167,13.378518766799997,0.00010332999999995707,-0.0001818181818166815
4,80PER_3_6C,S2,2,0,1.0000067676368765,0.010397532520962332,0.002899715124367346,0.016196962769697024,0.021996393018431717,0.005799430248734692,670.3554070700999,False,False,False,False,physical,-0.0117497494,-0.01457603831,-0.01773264517,-0.02072018062,-0.01760322246,0.9778120229,0.9675278469,13.41767052,31.93909161,0.01721341416,high_model_sensitivity,9.524760204e-05,ok,,80,3.6,13.41767052,0.9778120229,0.9675278469,-0.0117497494,-0.01457603831,-0.01773264517,-0.02072018062,-0.01760322246,1.024101,0.017004166,0.017075093319999998,8.729550000000086e-05,0.00033602105263158105,32.081710685000004,31.8910240958,-0.03016715500000089,-0.7311203999999805,13.4257225,13.393139633199999,-0.02716916499999833,0.0008125000000025473
6,80PER_3_6C,S2,2,0,0.999290902077371,5.715045781901452e-07,0.0014048124627837617,0.0028101964301457134,0.005619821355713237,0.0028096249255675234,1191.0421851580425,False,False,False,False,physical,0.00117734634,-0.002450787028,-0.003539984475,-0.00503007804,-0.003517937551,0.9961663389,0.9934527535,13.37610739,32.50758998,0.01714674952,moderate_model_sensitivity,0.0002806529043,ok,,80,3.6,13.37610739,0.9961663389,0.9934527535,0.00117734634,-0.002450787028,-0.003539984475,-0.00503007804,-0.003517937551,1.0364138,0.016955936499999998,0.0170657419,0.00015227100000000243,0.00045118749999999846,32.82010905,32.592820388,-0.2503983949999977,-0.9278664583333077,13.34169,13.3769153002,-0.0001833349999991185,9.80588235342887e-05
7,4_8C_80PER_4_8C,S3,2,0,0.9999842030520363,2.362697053671679e-09,0.002471059306981637,0.004942120976660328,0.009884239590623602,0.004942118613963274,899.6140681831477,True,False,False,False,physical,0.005242576542,-0.003132256878,-0.00608952599,-0.01021453324,-0.006394285176,0.9946399239,0.989582247,10.05825399,30.06863134,0.01715614308,high_model_sensitivity,0.0008399529949,ok,4.8,80,4.8,10.05825399,0.9946399239,0.989582247,0.005242576542,-0.003132256878,-0.00608952599,-0.01021453324,-0.006394285176,1.0734261,0.017259342499999997,0.0170860938,-0.00016389899999999513,-0.00014082608695652259,30.077418780000002,30.121281660999998,0.026503155000000334,-0.31661652380952615,10.050365,10.0538488994,9.833500000056006e-05,-0.0002027027026998298
8,4_8C_80PER_4_8C,S3,2,0,1.000283367892493,6.516065541681806e-10,0.004703708935309259,0.009407418522225071,0.01881483639284359,0.009407417870618518,652.532607188647,True,False,False,False,physical,0.001844604325,-0.006666952726,-0.01253984979,-0.01613017443,-0.01224762906,0.9896091482,0.981340308,10.84242759,29.61042883,0.01716511076,high_model_sensitivity,0.0005329548391,ok,4.8,80,4.8,10.84242759,0.9896091482,0.981340308,0.001844604325,-0.006666952726,-0.01253984979,-0.01613017443,-0.01224762906,1.0721645,0.0175116185,0.01725345448,-0.0003567930000000011,-0.0006017800000000002,30.880048115,30.306248893000003,-1.4249235600000034,-2.534568833333329,10.0083275,10.0491569334,0.04213666500000102,0.00010257692307865578
12,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,3,0,0.9997229397999289,0.0009718167578682793,0.0008606643009454623,0.002693145359759204,0.004414473961650128,0.0017213286018909245,1467.929297130451,False,False,False,False,physical,-0.0001709939171,-0.002939301229,-0.002802961825,-0.00474222227,-0.002947250492,0.9964181643,0.9941379258,10.04343997,37.33867627,0.0145487506,high_model_sensitivity,0.0002297046841,ok,5.6,19,4.6,10.04343997,0.9964181643,0.9941379258,-0.0001709939171,-0.002939301229,-0.002802961825,-0.00474222227,-0.002947250492,1.0632137,0.014769454500000001,0.01465480806,-0.00013130250000000128,-0.0002962181818181858,36.142940155000005,36.551433501,0.6551372149999963,1.3951034374999782,10.043783335,10.0435820004,-0.0002841700000004721,-0.00022549999999575769
13,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,3,0,0.9997499549968922,0.0005019737093446061,0.0008856471610383403,0.0022732680314212867,0.004044562353497967,0.0017712943220766805,1473.7310232233795,False,False,False,False,physical,0.001323568851,-0.002627230365,-0.002525440403,-0.004029765172,-0.002653630519,0.9970293212,0.9951664712,10.04134874,36.31134139,0.01501792762,high_model_sensitivity,0.0001955754414,ok,5.6,36,4.3,10.04134874,0.9970293212,0.9951664712,0.001323568851,-0.002627230365,-0.002525440403,-0.004029765172,-0.002653630519,1.0655342,0.014962209,0.014985715539999998,4.8837999999998966e-05,0.00010490000000003621,36.1256288,35.9997567414,-0.15808459500000538,-0.26047050000030936,10.04148,10.0416812668,-0.0001499999999996504,-0.0013333333333420683
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,3,0,0.9996900276190905,7.211181151778614e-05,0.0014926697348699525,0.0030574512812576913,0.006042790750997596,0.002985339469739905,1154.221977383044,False,False,False,False,physical,0.0007674567198,-0.003076530462,-0.003730038183,-0.00557217163,-0.00369836592,0.9961804828,0.9935756156,10.0420817,35.90416732,0.01517998674,moderate_model_sensitivity,0.000200759658,ok,5.6,36,4.3,10.0420817,0.9961804828,0.9935756156,0.0007674567198,-0.003076530462,-0.003730038183,-0.00557217163,-0.00369836592,1.0540558,0.015312695000000001,0.015190126100000001,-0.0001274459999999998,-0.00014289230769231579,35.20264205,35.345879611799994,0.21276802999999944,0.7670766399999991,10.0420975,10.0421005996,1.4999999999432134e-05,0.00027378571429029615
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,3,0,0.9996238571307028,2.4693876133655967e-07,0.0005695649953694574,0.0011393769295002514,0.002278506920239166,0.0011391299907389147,1872.1021731022938,False,False,False,False,physical,0.0008019310596,-0.001450400174,-0.00140666714,-0.001679003517,-0.001423354007,0.9983499922,0.9974511644,11.04012547,32.96613104,0.01544054327,high_model_sensitivity,0.0003342825065,ok,4.8,80,4.8,11.04012547,0.9983499922,0.9974511644,0.0008019310596,-0.001450400174,-0.00140666714,-0.001679003517,-0.001423354007,1.070919,0.0154661525,0.015424359340000002,-6.220799999999936e-05,-0.00013741428571428495,32.652684914999995,32.744174913799995,0.1736549400000058,0.38552918181816215,11.038144165,11.040512399399997,0.0011999999999989797,-0.0009133600000055254
