feature_1,feature_2,spearman_rho
initial_capacity,initial_capacity,1.0
initial_capacity,IR0,0.22889305816135083
initial_capacity,IR_delta_early,0.006191369606003753
initial_capacity,IR_slope_1_50_per100,-0.08574108818011257
initial_capacity,Tavg0,-0.25365853658536586
initial_capacity,Tavg_mean_1_50,-0.2401500938086304
initial_capacity,Tavg_delta_early,0.025140712945590993
initial_capacity,Tavg_slope_1_50_per100,-0.07936210131332083
initial_capacity,chargetime0,-0.09662288930581614
initial_capacity,chargetime_mean_1_50,-0.02851782363977486
initial_capacity,chargetime_delta_early,-0.010225620349914354
initial_capacity,chargetime_slope_1_50_per100,-0.1924953095684803
IR0,initial_capacity,0.22889305816135083
IR0,IR0,1.0
IR0,IR_delta_early,-0.08799249530956849
IR0,IR_slope_1_50_per100,-0.006566604127579738
IR0,Tavg0,-0.6611632270168856
IR0,Tavg_mean_1_50,-0.6656660412757974
IR0,Tavg_delta_early,-0.42645403377110697
IR0,Tavg_slope_1_50_per100,-0.501125703564728
IR0,chargetime0,0.06022514071294559
IR0,chargetime_mean_1_50,0.18836772983114447
IR0,chargetime_delta_early,-0.06932782971180465
IR0,chargetime_slope_1_50_per100,0.028893058161350845
IR_delta_early,initial_capacity,0.006191369606003753
IR_delta_early,IR0,-0.08799249530956849
IR_delta_early,IR_delta_early,1.0
IR_delta_early,IR_slope_1_50_per100,0.7780487804878049
IR_delta_early,Tavg0,0.18424015009380862
IR_delta_early,Tavg_mean_1_50,0.1771106941838649
IR_delta_early,Tavg_delta_early,-0.06360225140712945
IR_delta_early,Tavg_slope_1_50_per100,-0.0825515947467167
IR_delta_early,chargetime0,0.15816135084427768
IR_delta_early,chargetime_mean_1_50,0.05590994371482176
IR_delta_early,chargetime_delta_early,-0.04540550687484905
IR_delta_early,chargetime_slope_1_50_per100,0.28836772983114445
IR_slope_1_50_per100,initial_capacity,-0.08574108818011257
IR_slope_1_50_per100,IR0,-0.006566604127579738
IR_slope_1_50_per100,IR_delta_early,0.7780487804878049
IR_slope_1_50_per100,IR_slope_1_50_per100,1.0
IR_slope_1_50_per100,Tavg0,0.1399624765478424
IR_slope_1_50_per100,Tavg_mean_1_50,0.12120075046904315
IR_slope_1_50_per100,Tavg_delta_early,-0.21894934333958724
IR_slope_1_50_per100,Tavg_slope_1_50_per100,-0.26210131332082554
IR_slope_1_50_per100,chargetime0,0.1827392120075047
IR_slope_1_50_per100,chargetime_mean_1_50,0.10093808630393997
IR_slope_1_50_per100,chargetime_delta_early,-0.00478446456739112
IR_slope_1_50_per100,chargetime_slope_1_50_per100,0.23639774859287055
Tavg0,initial_capacity,-0.25365853658536586
Tavg0,IR0,-0.6611632270168856
Tavg0,IR_delta_early,0.18424015009380862
Tavg0,IR_slope_1_50_per100,0.1399624765478424
Tavg0,Tavg0,1.0
Tavg0,Tavg_mean_1_50,0.9977485928705441
Tavg0,Tavg_delta_early,0.45234521575984993
Tavg0,Tavg_slope_1_50_per100,0.574108818011257
Tavg0,chargetime0,-0.36923076923076925
Tavg0,chargetime_mean_1_50,-0.4712945590994371
Tavg0,chargetime_delta_early,0.08630798827450646
Tavg0,chargetime_slope_1_50_per100,0.00450281425891182
Tavg_mean_1_50,initial_capacity,-0.2401500938086304
Tavg_mean_1_50,IR0,-0.6656660412757974
Tavg_mean_1_50,IR_delta_early,0.1771106941838649
Tavg_mean_1_50,IR_slope_1_50_per100,0.12120075046904315
Tavg_mean_1_50,Tavg0,0.9977485928705441
Tavg_mean_1_50,Tavg_mean_1_50,1.0
Tavg_mean_1_50,Tavg_delta_early,0.48836772983114446
Tavg_mean_1_50,Tavg_slope_1_50_per100,0.6065666041275798
Tavg_mean_1_50,chargetime0,-0.3729831144465291
Tavg_mean_1_50,chargetime_mean_1_50,-0.4733583489681051
