predictor,VIF,condition_number
initial_capacity,2.0074789741229377,744.3231127434436
IR0,3.6017107042697027,744.3231127434436
IR_delta_early,18.805039988292666,744.3231127434436
IR_slope_1_50_per100,26.248649212680313,744.3231127434436
Tavg0,5471.124490843449,744.3231127434436
Tavg_mean_1_50,6150.212399432511,744.3231127434436
Tavg_delta_early,78.00537782122453,744.3231127434436
Tavg_slope_1_50_per100,31.615844841936738,744.3231127434436
chargetime0,60127.707228180145,744.3231127434436
chargetime_mean_1_50,59641.236175528116,744.3231127434436
chargetime_delta_early,23.221866726240567,744.3231127434436
chargetime_slope_1_50_per100,16.929181814171894,744.3231127434436
