response,predictor,standardized_beta,alpha,iteration
R100,E1,-0.11917269713601694,10.0,0
R100,E2,0.14157570380599926,10.0,0
A,E1,-0.21801704653855805,10.0,0
A,E2,0.2090311293029426,10.0,0
R100,E1,-0.1075061224286063,10.0,1
R100,E2,0.1386865486365663,10.0,1
A,E1,0.12573241823765843,10.0,1
A,E2,-0.15575994929702539,10.0,1
R100,E1,-0.1635801520166814,10.0,2
R100,E2,0.18149894092292768,10.0,2
A,E1,-0.16299144209598285,10.0,2
A,E2,0.1640775828701689,10.0,2
R100,E1,-0.1340393887245883,10.0,3
R100,E2,0.16547526474630525,10.0,3
A,E1,-0.1279114612875859,10.0,3
A,E2,0.10974665765595742,10.0,3
R100,E1,-0.2496523282722018,10.0,4
R100,E2,0.24683373005181913,10.0,4
A,E1,-0.17557402695500135,10.0,4
A,E2,0.17376232488588855,10.0,4
R100,E1,-0.23861751370799172,10.0,5
R100,E2,0.24413190201532736,10.0,5
A,E1,-0.09743386223370676,10.0,5
A,E2,0.09840688493561603,10.0,5
R100,E1,-0.21948118413276385,10.0,6
R100,E2,0.23037885310608955,10.0,6
A,E1,-0.021699869641496054,10.0,6
A,E2,0.03342219334520387,10.0,6
R100,E1,-0.23829885615441573,10.0,8
R100,E2,0.24300194763260752,10.0,8
A,E1,-0.009883280251718092,10.0,8
A,E2,0.02013730775581041,10.0,8
R100,E1,-0.18385130328410354,10.0,9
R100,E2,0.19568118983042426,10.0,9
A,E1,-0.15292902057636323,10.0,9
A,E2,0.143053292748482,10.0,9
R100,E1,-0.15216040487797983,10.0,10
R100,E2,0.18103926129481493,10.0,10
A,E1,0.018368724167394823,10.0,10
A,E2,-0.0509622745755091,10.0,10
R100,E1,-0.25248659384777705,10.0,11
R100,E2,0.258220173239973,10.0,11
A,E1,0.2314118071035424,10.0,11
A,E2,-0.23360995206646723,10.0,11
R100,E1,-0.23087124961518704,10.0,12
R100,E2,0.23701072800769057,10.0,12
A,E1,-0.11260451151016723,10.0,12
A,E2,0.11574233236027831,10.0,12
R100,E1,-0.23211274138013563,10.0,13
R100,E2,0.22861818780319193,10.0,13
A,E1,-0.03542547041228445,10.0,13
A,E2,0.034699436679405636,10.0,13
R100,E1,-0.24941008769935144,10.0,14
R100,E2,0.2439388209858558,10.0,14
A,E1,-0.24733721679464854,10.0,14
A,E2,0.2429306287641184,10.0,14
R100,E1,-0.1572252024884725,10.0,15
R100,E2,0.1763551402831096,10.0,15
A,E1,-0.07070830697286745,10.0,15
A,E2,0.05343819392253456,10.0,15
R100,E1,-0.24707036262644758,10.0,16
R100,E2,0.24199331962060872,10.0,16
A,E1,0.2615983794946116,10.0,16
A,E2,-0.2605021117967899,10.0,16
R100,E1,-0.2232613110912463,10.0,17
R100,E2,0.2196078802288226,10.0,17
A,E1,0.22601209538276454,10.0,17
A,E2,-0.22431086059238012,10.0,17
