response,predictor,standardized_beta,alpha,iteration
R100,C1,-0.2227153006670095,10.0,0
R100,Q1,-0.14502173661987874,10.0,0
R100,C2,0.2664150629580378,10.0,0
A,C1,0.1657542935748079,10.0,0
A,Q1,-0.30803838437250686,10.0,0
A,C2,-0.09834308464017312,10.0,0
R100,C1,-0.27508459175685596,10.0,1
R100,Q1,-0.044190305053943044,10.0,1
R100,C2,0.26564537143657435,10.0,1
A,C1,0.2456256736225308,10.0,1
A,Q1,0.07553141131153565,10.0,1
A,C2,-0.2658429811914101,10.0,1
R100,C1,-0.22938310799873982,10.0,2
R100,Q1,-0.1755136640913352,10.0,2
R100,C2,0.23318453798024055,10.0,2
A,C1,-0.003468323366506765,10.0,2
A,Q1,-0.23523655817902447,10.0,2
A,C2,-0.042433158376358054,10.0,2
R100,C1,0.18083989412507456,10.0,4
R100,Q1,-0.2716765229145999,10.0,4
R100,C2,0.025121737299820944,10.0,4
A,C1,0.09748109807593655,10.0,4
A,Q1,-0.19949859346857676,10.0,4
A,C2,-0.06709495695485838,10.0,4
R100,C1,-0.23158001660400154,10.0,5
R100,Q1,-0.19213765270959543,10.0,5
R100,C2,0.22808081293141996,10.0,5
A,C1,-0.04453794479211882,10.0,5
A,Q1,-0.1301520222423928,10.0,5
A,C2,0.013056678482858384,10.0,5
R100,C1,-0.2573854771463056,10.0,6
R100,Q1,-0.1229705801296304,10.0,6
R100,C2,0.24717314277156788,10.0,6
A,C1,-0.17418862975739702,10.0,6
A,Q1,0.08835263480014549,10.0,6
A,C2,0.09717690847577647,10.0,6
R100,C1,0.2591542053990996,10.0,8
R100,Q1,-0.2517506025696377,10.0,8
R100,C2,-0.10527862662364927,10.0,8
A,C1,0.09072844148999509,10.0,8
A,Q1,-0.026891917218194852,10.0,8
A,C2,-0.3337603421204193,10.0,8
R100,C1,-0.27713576719941824,10.0,10
R100,Q1,-0.06323326323389619,10.0,10
R100,C2,0.25339642880910207,10.0,10
A,C1,0.22767511537947183,10.0,10
A,Q1,-0.0812217819533438,10.0,10
A,C2,-0.16057381028065484,10.0,10
R100,C1,-0.23996617401459058,10.0,12
R100,Q1,-0.1813811798545341,10.0,12
R100,C2,0.22833401260393185,10.0,12
A,C1,-0.07922941990585691,10.0,12
A,Q1,-0.13650013720695206,10.0,12
A,C2,0.02730211301395283,10.0,12
R100,C1,0.17807957775369762,10.0,13
R100,Q1,-0.2310770772923818,10.0,13
R100,C2,0.13952040367281382,10.0,13
A,C1,0.018980190620736425,10.0,13
A,Q1,-0.04061548066172426,10.0,13
A,C2,-0.01123439100920578,10.0,13
