model,p,predictor,VIF,condition_number
raw_parameters,,C1,5.509676273228443,4.751916091881557
raw_parameters,,Q1,1.9931656853902169,4.751916091881557
raw_parameters,,C2,6.12642435098927,4.751916091881557
separate_phase_exposure,1.0,E1,477.9883488694116,43.703007584199064
separate_phase_exposure,1.0,E2,477.9883488694116,43.703007584199064
summed_stress_benchmark,1.0,stress_sum_benchmark,1.0,1.0000000000000089
separate_phase_exposure,1.5,E1,167.33081194040003,25.83257147931838
separate_phase_exposure,1.5,E2,167.33081194040315,25.83257147931838
summed_stress_benchmark,1.5,stress_sum_benchmark,1.0,1.0000000000000036
separate_phase_exposure,2.0,E1,82.0205215488107,18.057658194071898
separate_phase_exposure,2.0,E2,82.0205215488107,18.057658194071898
summed_stress_benchmark,2.0,stress_sum_benchmark,1.0,1.0000000000000004
separate_phase_exposure,2.5,E1,48.82164925779902,13.902568943480697
separate_phase_exposure,2.5,E2,48.82164925779902,13.902568943480697
summed_stress_benchmark,2.5,stress_sum_benchmark,1.0,1.0000000000000004
separate_phase_exposure,3.0,E1,32.84464777351068,11.374131236194495
separate_phase_exposure,3.0,E2,32.84464777351068,11.374131236194495
summed_stress_benchmark,3.0,stress_sum_benchmark,1.0,1.000000000000001
