battery_id,strategy,strategy_code,model,MAE,RMSE,MaxAE,cycle200_abs_error,trend_sign_match,model_RMSE_mean
1,3_6C-80PER_3_6C,S1,adaptive_ensemble,0.001858793720579861,0.002912164474890749,0.00903288263867208,0.003256553445046606,True,0.0003613168770037458
1,3_6C-80PER_3_6C,S1,individual_quadratic,0.0020415711764023613,0.003075014432549502,0.009287980437137078,0.003523679339286989,True,0.0005139258875932585
1,3_6C-80PER_3_6C,S1,policy_informed_quadratic,0.002465279207900317,0.0034519458634230415,0.009699534699999957,0.004452560089711621,True,0.000596795289142928
3,3_6C-80PER_3_6C,S1,adaptive_ensemble,0.00021981273228980359,0.000278197314022211,0.0006205351939442272,0.0006205351939442272,True,0.0003613168770037458
3,3_6C-80PER_3_6C,S1,individual_quadratic,0.00013030163063451727,0.00015262451072881237,0.0003040276400868569,0.000245901118841263,True,0.0005139258875932585
3,3_6C-80PER_3_6C,S1,policy_informed_quadratic,0.0004483372046338352,0.0004949143403742253,0.000819875997231323,0.0005109800119995622,True,0.000596795289142928
4,80PER_3_6C,S2,adaptive_ensemble,0.0009159177511916972,0.0012562013402851254,0.004179066270710408,0.0011425849549665523,True,0.0003613168770037458
4,80PER_3_6C,S2,individual_quadratic,0.0005103875148355463,0.0008695488401979039,0.0035036629118815332,0.00038640004938805816,True,0.0005139258875932585
4,80PER_3_6C,S2,policy_informed_quadratic,0.0005103840947425309,0.0008695164695415182,0.003504438277666222,0.00038839090261633125,True,0.000596795289142928
6,80PER_3_6C,S2,adaptive_ensemble,0.0002564907639896563,0.00033180052928367563,0.0007953247870733371,0.0007953247870733371,True,0.0003613168770037458
6,80PER_3_6C,S2,individual_quadratic,0.0002541049820662122,0.0003287656766111201,0.0007392783754927024,0.0007392783754927024,True,0.0005139258875932585
6,80PER_3_6C,S2,policy_informed_quadratic,0.00029093238768655103,0.00036624191367335714,0.0009125047059725944,0.0009125047059725944,True,0.000596795289142928
7,4_8C_80PER_4_8C,S3,adaptive_ensemble,0.000959897516592203,0.0011005169723026747,0.00200485244794113,0.00200485244794113,True,0.0003613168770037458
7,4_8C_80PER_4_8C,S3,individual_quadratic,0.0013177063706073654,0.0014316567658993295,0.0023166614845623323,0.0023166614845623323,True,0.0005139258875932585
7,4_8C_80PER_4_8C,S3,policy_informed_quadratic,0.0017659142537272876,0.0019402862913000113,0.0031062968366520893,0.0031062968366520893,True,0.000596795289142928
8,4_8C_80PER_4_8C,S3,adaptive_ensemble,0.0009223879228268373,0.0010701199087765109,0.0021621807221080536,0.0019539607576863904,True,0.0003613168770037458
8,4_8C_80PER_4_8C,S3,individual_quadratic,0.0005173357306623805,0.0005460448906001075,0.0009472857949366364,0.0006944338311667408,True,0.0005139258875932585
8,4_8C_80PER_4_8C,S3,policy_informed_quadratic,0.0008252267164662985,0.0008634802784580382,0.0014239891793721426,0.0011785207952121901,True,0.000596795289142928
12,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,adaptive_ensemble,0.0001948231909585929,0.0002307806882187825,0.0005103623454316697,0.00043700742664087855,True,0.0003613168770037458
12,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,individual_quadratic,0.00022593174694980124,0.0002587397506391113,0.0004605054877604431,6.490487811561252e-05,True,0.0005139258875932585
12,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,policy_informed_quadratic,0.00037083066645742457,0.0003848147683287136,0.0005417332137624964,0.00031954806473299957,True,0.000596795289142928
13,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,adaptive_ensemble,0.0001327396576594686,0.00017499019363160582,0.00041006781012342675,9.637285797392536e-06,True,0.0003613168770037458
13,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,individual_quadratic,0.0004729456439219759,0.000485807938708838,0.0006983116137343481,0.0006458177758540407,True,0.0005139258875932585
13,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,policy_informed_quadratic,0.0004641817781769775,0.0004770738264391317,0.0006862409980659123,0.0006325709439927163,True,0.000596795289142928
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,adaptive_ensemble,0.00018561726648995248,0.000216073688431843,0.0004032453510813827,0.0004032453510813827,True,0.0003613168770037458
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,individual_quadratic,0.00027361975346096746,0.0002932541031090838,0.0004840708085553924,0.00027980502888358405,True,0.0005139258875932585
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,policy_informed_quadratic,0.00022673426893948356,0.0002487031856830173,0.00042980119754432167,0.00020623177471779108,True,0.000596795289142928
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,adaptive_ensemble,0.00017656447790084684,0.0002992997817437911,0.0012585970373107935,0.0009151522846756466,True,0.0003613168770037458
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,individual_quadratic,0.00019081272413582262,0.00030132689497515153,0.0012209819464340521,0.0008624310555968018,True,0.0005139258875932585
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,policy_informed_quadratic,0.00015383954019352998,0.000310165886003497,0.0013357693967381845,0.0011085552217766637,True,0.000596795289142928
18,5C_67PER_4C_NEWSTRUCTURE,S4,adaptive_ensemble,9.965049288411798e-05,0.00011604714470056033,0.00021174458070416513,0.0001585385091326108,True,0.0003613168770037458
18,5C_67PER_4C_NEWSTRUCTURE,S4,individual_quadratic,0.00019354472893710507,0.0002239195790717816,0.0004533874003436189,0.0004533874003436189,True,0.0005139258875932585
