C1,Q1,C2,phase1_ideal_minutes,phase2_ideal_minutes,T_ideal_physical,T_ideal_as_written_minus,nearest_observed_distance_normalized,nearest_observed_index,inside_rectangle,inside_convex_hull,inside_trust_region,inside_main_domain,predicted_R100_raw,predicted_A_raw,predicted_d1,predicted_d2,predicted_R100,predicted_R200,predicted_A,predicted_a_ref,predicted_SOH200,predicted_eol_a1,projection_applied,predicted_charge_time,charge_time_model,nearest_strategy,nearest_strategy_code,bootstrap_valid_n,eol_median,eol_p10,eol_p90,eol_ci95_low,eol_ci95_high,eol_a_distribution_median,eol_a_distribution_p10,bootstrap_valid_iterations,life_interval_width_ratio,risk_grade
3.7,31.0,5.9,5.027027027027027,4.983050847457626,10.010077874484654,0.04397617956940092,0.0,0,True,True,True,True,0.011383276511821933,0.0016999739812332971,0.009683302530588637,0.0008499869906166486,0.011383276511821933,0.013083250493055231,0.0016999739812332971,1.0,0.9772334469763562,1066.6731690913286,False,10.233881351590824,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1078.6858,885.65027,1604.4486,855.76025,1771.8267,1077.5562,883.5231,1000,0.6663649,moderate_model_uncertainty
3.75,32.0,5.85,5.12,4.9230769230769225,10.043076923076923,0.19692307692307764,0.040666774057927624,0,True,True,True,True,0.011123565630287614,0.0017053522254038965,0.009418213404883717,0.0008526761127019483,0.011123565630287614,0.01282891785569151,0.0017053522254038965,1.0,0.9777528687394248,1075.7811341925283,False,10.266880400183092,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1088.1628,895.3703,1598.374,865.7596,1761.3059,1086.6909,893.3204,1000,0.64604646,moderate_model_uncertainty
3.75,33.0,5.85,5.28,4.82051282051282,10.10051282051282,0.45948717948718,0.04959860275627205,0,True,True,True,True,0.011084593391911118,0.0017033612200872531,0.009381232171823866,0.0008516806100436266,0.011084593391911118,0.012787954611998373,0.0017033612200872531,1.0,0.9778308132161778,1077.6318579708054,False,10.32431629761899,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1090.4028,897.55347,1599.4135,867.07324,1763.1453,1088.6426,894.78015,1000,0.6436704,moderate_model_uncertainty
3.8,32.0,5.8,5.052631578947368,4.96551724137931,10.018148820326678,0.08711433756805853,0.07621621327524834,0,True,True,True,True,0.010902826987129792,0.0017127214748911396,0.009190105512238653,0.0008563607374455698,0.010902826987129792,0.012615548462020933,0.0017127214748911396,1.0,0.9781943460257404,1083.1065199228692,False,10.241952297432848,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1096.3354,903.3782,1593.2002,873.5944,1746.4733,1095.07,901.6046,1000,0.6292071,moderate_model_uncertainty
3.8,33.0,5.8,5.210526315789474,4.862068965517241,10.072595281306715,0.34845735027223323,0.0813335481158549,0,True,True,True,True,0.010863854748753296,0.001710730469574496,0.0091531242791788,0.000855365234787248,0.010863854748753296,0.012574585218327793,0.001710730469574496,1.0,0.9782722905024934,1084.9742650051535,False,10.296398758412884,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1098.12,905.9809,1593.6674,875.1716,1749.14,1096.9731,903.4502,1000,0.62623984,moderate_model_uncertainty
3.8,34.0,5.8,5.36842105263158,4.758620689655173,10.127041742286753,0.609800362976407,0.0892125039121422,0,True,True,True,True,0.0108248825103768,0.0017087394642578526,0.009116143046118949,0.0008543697321289263,0.0108248825103768,0.012533621974634654,0.0017087394642578526,1.0,0.9783502349792463,1086.8477584723137,False,10.350845219392923,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1100.3477,907.767,1594.1078,877.5712,1751.8181,1098.9528,905.0343,1000,0.623749,moderate_model_uncertainty
3.8,35.0,5.8,5.526315789473684,4.655172413793103,10.181488203266788,0.8711433756805809,0.09919720551254382,0,True,True,True,True,0.010785910272000303,0.001706748458941209,0.009079161813059095,0.0008533742294706045,0.010785910272000303,0.012492658730941512,0.001706748458941209,1.0,0.9784281794559994,1088.7270244686881,False,10.405291680372958,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1102.663,910.0049,1594.5387,880.547,1754.5073,1100.6836,906.8634,1000,0.6208006,moderate_model_uncertainty
3.85,32.0,5.75,4.987012987012987,5.0086956521739125,9.9957086391869,-0.02168266516092565,0.1128455534004368,0,True,True,True,True,0.01068208834397197,0.0017200907243783824,0.008961997619593588,0.0008600453621891912,0.01068208834397197,0.012402179068350352,0.0017200907243783824,1.0,0.978635823312056,1090.4771280359373,False,10.21951211629307,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1105.0396,911.82214,1584.5201,881.54553,1729.2113,1103.0603,910.3252,1000,0.6087547,moderate_model_uncertainty
3.85,33.0,5.75,5.142857142857143,4.904347826086957,10.0472049689441,0.2385093167701866,0.1163630259375665,0,True,True,True,True,0.010643116105595474,0.001718099719061739,0.008925016386533735,0.0008590498595308695,0.010643116105595474,0.012361215824657212,0.001718099719061739,1.0,0.978713767788809,1092.3619310425859,False,10.27100844605027,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1107.147,914.28815,1586.655,883.64594,1731.8042,1104.7617,912.0273,1000,0.6072969,moderate_model_uncertainty
3.85,34.0,5.75,5.298701298701299,4.8,10.098701298701299,0.49870129870129887,0.1220003221737823,0,True,True,True,True,0.010604143867218977,0.0017161087137450954,0.008888035153473882,0.0008580543568725477,0.010604143867218977,0.012320252580964072,0.0017161087137450954,1.0,0.978791712265562,1094.2525300230445,False,10.322504775807468,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1109.1338,916.4404,1588.4453,885.3023,1734.4077,1106.6152,913.82275,1000,0.60588264,moderate_model_uncertainty
