bootstrap_iteration,recommendation_type,C1,Q1,C2,predicted_charge_time,_life
0,fast_charge,5.2,58.0,4.55,9.817210070512763,1391.9559326171875
0,ideal_point_compromise,5.05,67.0,4.4,9.956926789437404,1415.707275390625
0,longevity,5.0,67.0,4.0,10.213803477106172,1434.65380859375
1,fast_charge,5.2,58.0,4.55,9.817210070512763,1389.8760986328125
1,ideal_point_compromise,5.1,64.0,4.25,10.012038771223818,1431.9202880859375
1,longevity,5.0,67.0,4.0,10.213803477106172,1467.8345947265625
2,fast_charge,5.2,58.0,4.55,9.817210070512763,1162.650146484375
2,ideal_point_compromise,5.05,67.0,4.4,9.956926789437404,1200.3814697265625
2,longevity,5.0,67.0,4.0,10.213803477106172,1230.614990234375
3,fast_charge,5.2,58.0,4.55,9.817210070512763,1405.576904296875
3,ideal_point_compromise,4.2,29.0,5.55,9.880174133476826,1598.40234375
3,longevity,3.7,31.0,5.9,10.233881351590824,1756.07763671875
4,fast_charge,5.2,58.0,4.55,9.817210070512763,1220.028076171875
4,ideal_point_compromise,5.35,50.0,4.35,9.969211147102948,1269.68115234375
4,longevity,5.3,54.0,4.0,10.237011024275983,1330.4542236328125
5,fast_charge,5.2,58.0,4.55,9.817210070512763,1321.8878173828125
5,ideal_point_compromise,5.1,64.0,4.25,10.012038771223818,1391.1036376953125
5,longevity,5.0,67.0,4.0,10.213803477106172,1439.823974609375
6,fast_charge,5.2,58.0,4.55,9.817210070512763,1391.2406005859375
6,ideal_point_compromise,5.15,23.0,4.9,9.883006964326299,1415.84521484375
6,longevity,5.6,19.0,4.6,10.216039501950892,1422.8297119140625
7,fast_charge,5.2,58.0,4.55,9.817210070512763,1248.3621826171875
7,ideal_point_compromise,5.2,59.0,4.2,10.031495784798476,1296.363037109375
7,longevity,5.3,54.0,4.0,10.237011024275983,1329.7633056640625
8,fast_charge,5.2,58.0,4.55,9.817210070512763,1404.6510009765625
8,ideal_point_compromise,4.2,29.0,5.55,9.880174133476826,1504.2578125
8,longevity,3.7,31.0,5.9,10.233881351590824,1570.880859375
9,fast_charge,5.2,58.0,4.55,9.817210070512763,1388.372802734375
9,ideal_point_compromise,5.2,59.0,4.2,10.031495784798476,1416.764892578125
9,longevity,5.3,54.0,4.0,10.237011024275983,1436.462890625
10,fast_charge,5.2,58.0,4.55,9.817210070512763,1309.798828125
10,ideal_point_compromise,5.2,59.0,4.2,10.031495784798476,1364.49169921875
10,longevity,5.3,54.0,4.0,10.237011024275983,1398.209228515625
11,fast_charge,5.2,58.0,4.55,9.817210070512763,1361.6282958984375
11,ideal_point_compromise,5.25,56.0,4.25,10.012038771223818,1394.8892822265625
11,longevity,5.3,54.0,4.0,10.237011024275983,1423.730224609375
12,fast_charge,5.2,58.0,4.55,9.817210070512763,1162.352294921875
12,ideal_point_compromise,5.05,67.0,4.4,9.956926789437404,1222.4266357421875
12,longevity,5.0,67.0,4.0,10.213803477106172,1276.1734619140625
13,fast_charge,5.2,58.0,4.55,9.817210070512763,1295.6304931640625
13,ideal_point_compromise,5.3,53.0,4.3,9.991245337571288,1339.8782958984375
13,longevity,5.3,54.0,4.0,10.237011024275983,1386.6767578125
14,fast_charge,5.2,58.0,4.55,9.817210070512763,1513.3896484375
14,ideal_point_compromise,4.2,29.0,5.55,9.880174133476826,1558.7769775390625
14,longevity,3.7,31.0,5.9,10.233881351590824,1596.8739013671875
15,fast_charge,5.2,58.0,4.55,9.817210070512763,1477.658203125
15,ideal_point_compromise,5.45,41.0,4.45,9.995991911288213,1504.139892578125
15,longevity,5.6,36.0,4.3,10.220481217969958,1520.92724609375
16,fast_charge,5.2,58.0,4.55,9.817210070512763,1328.8470458984375
16,ideal_point_compromise,5.1,64.0,4.25,10.012038771223818,1404.50439453125
16,longevity,5.0,67.0,4.0,10.213803477106172,1460.382080078125
17,fast_charge,5.2,58.0,4.55,9.817210070512763,1372.68212890625
17,ideal_point_compromise,5.2,59.0,4.2,10.031495784798476,1403.5596923828125
17,longevity,5.3,54.0,4.0,10.237011024275983,1420.99072265625
18,fast_charge,5.2,58.0,4.55,9.817210070512763,1225.775146484375
18,ideal_point_compromise,5.3,53.0,4.3,9.991245337571288,1261.6636962890625
18,longevity,5.3,54.0,4.0,10.237011024275983,1298.9197998046875
19,fast_charge,5.2,58.0,4.55,9.817210070512763,1410.5167236328125
19,ideal_point_compromise,5.1,64.0,4.25,10.012038771223818,1427.8114013671875
19,longevity,5.0,67.0,4.0,10.213803477106172,1441.9603271484375
20,fast_charge,5.2,58.0,4.55,9.817210070512763,1332.7232666015625
20,ideal_point_compromise,5.05,67.0,4.4,9.956926789437404,1362.0828857421875
20,longevity,5.0,67.0,4.0,10.213803477106172,1378.0042724609375
21,fast_charge,5.2,58.0,4.55,9.817210070512763,1440.6690673828125
21,ideal_point_compromise,5.1,64.0,4.25,10.012038771223818,1490.9521484375
21,longevity,5.0,67.0,4.0,10.213803477106172,1524.130859375
22,fast_charge,5.2,58.0,4.55,9.817210070512763,1365.2066650390625
22,ideal_point_compromise,4.05,30.0,5.65,9.97798243482495,1403.6409912109375
22,longevity,3.7,31.0,5.9,10.233881351590824,1425.837646484375
23,fast_charge,5.2,58.0,4.55,9.817210070512763,1386.0587158203125
23,ideal_point_compromise,5.1,64.0,4.25,10.012038771223818,1419.60009765625
23,longevity,5.0,67.0,4.0,10.213803477106172,1440.9376220703125
24,fast_charge,5.2,58.0,4.55,9.817210070512763,1364.028076171875
24,ideal_point_compromise,5.2,59.0,4.2,10.031495784798476,1414.564453125
24,longevity,5.3,54.0,4.0,10.237011024275983,1441.9390869140625
25,fast_charge,5.2,58.0,4.55,9.817210070512763,1381.2774658203125
25,ideal_point_compromise,4.95,71.0,4.7,9.97880025337954,1432.3658447265625
25,longevity,4.8,80.0,4.8,10.22380347710617,1472.1353759765625
26,fast_charge,5.2,58.0,4.55,9.817210070512763,1246.1768798828125
26,ideal_point_compromise,5.1,64.0,4.25,10.012038771223818,1283.989013671875
26,longevity,5.0,67.0,4.0,10.213803477106172,1309.3907470703125
27,fast_charge,5.2,58.0,4.55,9.817210070512763,1362.0926513671875
27,ideal_point_compromise,5.1,64.0,4.25,10.012038771223818,1385.0164794921875
27,longevity,5.0,67.0,4.0,10.213803477106172,1403.7816162109375
28,fast_charge,5.2,58.0,4.55,9.817210070512763,1094.450927734375
28,ideal_point_compromise,5.15,23.0,4.9,9.883006964326299,1183.92822265625
28,longevity,5.6,19.0,4.6,10.216039501950892,1271.0390625
29,fast_charge,5.2,58.0,4.55,9.817210070512763,1493.0069580078125
29,ideal_point_compromise,4.2,29.0,5.55,9.880174133476826,1592.1392822265625
29,longevity,3.7,31.0,5.9,10.233881351590824,1648.23046875
30,fast_charge,5.2,58.0,4.55,9.817210070512763,1335.07421875
30,ideal_point_compromise,5.05,67.0,4.4,9.956926789437404,1362.6123046875
30,longevity,5.0,67.0,4.0,10.213803477106172,1376.6505126953125
31,fast_charge,5.2,58.0,4.55,9.817210070512763,1270.8974609375
31,ideal_point_compromise,5.3,53.0,4.3,9.991245337571288,1298.32275390625
31,longevity,5.3,54.0,4.0,10.237011024275983,1325.96826171875
32,fast_charge,5.2,58.0,4.55,9.817210070512763,1373.6341552734375
32,ideal_point_compromise,4.05,30.0,5.65,9.97798243482495,1509.206787109375
32,longevity,3.7,31.0,5.9,10.233881351590824,1586.84619140625
33,fast_charge,5.2,58.0,4.55,9.817210070512763,1274.1339111328125
33,ideal_point_compromise,5.1,64.0,4.25,10.012038771223818,1305.032470703125
33,longevity,5.0,67.0,4.0,10.213803477106172,1326.1212158203125
34,fast_charge,5.2,58.0,4.55,9.817210070512763,1184.8582763671875
34,ideal_point_compromise,5.2,59.0,4.2,10.031495784798476,1235.318115234375
34,longevity,5.3,54.0,4.0,10.237011024275983,1268.4510498046875
35,fast_charge,5.2,58.0,4.55,9.817210070512763,1401.562744140625
35,ideal_point_compromise,5.1,64.0,4.25,10.012038771223818,1446.0068359375
35,longevity,5.0,67.0,4.0,10.213803477106172,1477.0902099609375
36,fast_charge,5.2,58.0,4.55,9.817210070512763,1335.1455078125
36,ideal_point_compromise,5.1,64.0,4.25,10.012038771223818,1375.81689453125
36,longevity,5.0,67.0,4.0,10.213803477106172,1401.946044921875
37,fast_charge,5.2,58.0,4.55,9.817210070512763,1371.915771484375
37,ideal_point_compromise,4.95,72.0,4.6,9.994554465248461,1390.450439453125
37,longevity,4.8,80.0,4.8,10.22380347710617,1400.45556640625
38,fast_charge,5.2,58.0,4.55,9.817210070512763,1464.950927734375
38,ideal_point_compromise,5.4,34.0,4.65,9.93706512585169,1501.0941162109375
38,longevity,5.6,19.0,4.6,10.216039501950892,1530.8963623046875
39,fast_charge,5.2,58.0,4.55,9.817210070512763,1343.5018310546875
39,ideal_point_compromise,5.2,59.0,4.2,10.031495784798476,1381.716796875
39,longevity,5.3,54.0,4.0,10.237011024275983,1403.6173095703125
40,fast_charge,5.2,58.0,4.55,9.817210070512763,1335.61962890625
40,ideal_point_compromise,5.1,64.0,4.25,10.012038771223818,1360.5748291015625
40,longevity,5.0,67.0,4.0,10.213803477106172,1377.1337890625
41,fast_charge,5.2,58.0,4.55,9.817210070512763,1285.000244140625
41,ideal_point_compromise,5.2,59.0,4.2,10.031495784798476,1340.80029296875
41,longevity,5.3,54.0,4.0,10.237011024275983,1371.9117431640625
42,fast_charge,5.2,58.0,4.55,9.817210070512763,1192.4393310546875
42,ideal_point_compromise,5.2,59.0,4.2,10.031495784798476,1246.8309326171875
42,longevity,5.3,54.0,4.0,10.237011024275983,1284.896240234375
43,fast_charge,5.2,58.0,4.55,9.817210070512763,1398.287353515625
43,ideal_point_compromise,5.1,64.0,4.25,10.012038771223818,1431.8037109375
43,longevity,5.0,67.0,4.0,10.213803477106172,1451.823974609375
44,fast_charge,5.2,58.0,4.55,9.817210070512763,1374.6845703125
44,ideal_point_compromise,5.05,67.0,4.4,9.956926789437404,1413.838623046875
44,longevity,5.0,67.0,4.0,10.213803477106172,1447.7415771484375
45,fast_charge,5.2,58.0,4.55,9.817210070512763,1157.4500732421875
45,ideal_point_compromise,5.1,64.0,4.25,10.012038771223818,1212.553955078125
45,longevity,5.0,67.0,4.0,10.213803477106172,1250.3043212890625
46,fast_charge,5.2,58.0,4.55,9.817210070512763,1292.0184326171875
46,ideal_point_compromise,4.2,29.0,5.55,9.880174133476826,1315.9437255859375
46,longevity,3.7,31.0,5.9,10.233881351590824,1321.03759765625
47,fast_charge,5.2,58.0,4.55,9.817210070512763,1360.59326171875
47,ideal_point_compromise,5.05,67.0,4.4,9.956926789437404,1384.50732421875
47,longevity,5.0,67.0,4.0,10.213803477106172,1404.5252685546875
48,fast_charge,5.2,58.0,4.55,9.817210070512763,1179.4578857421875
48,ideal_point_compromise,5.05,67.0,4.4,9.956926789437404,1233.08837890625
48,longevity,5.0,67.0,4.0,10.213803477106172,1275.1451416015625
49,fast_charge,5.2,58.0,4.55,9.817210070512763,1515.4964599609375
49,ideal_point_compromise,4.2,29.0,5.55,9.880174133476826,1650.1085205078125
49,longevity,3.7,31.0,5.9,10.233881351590824,1744.51513671875
50,fast_charge,5.2,58.0,4.55,9.817210070512763,1370.7940673828125
50,ideal_point_compromise,5.05,67.0,4.4,9.956926789437404,1393.293701171875
50,longevity,5.0,67.0,4.0,10.213803477106172,1410.869140625
51,fast_charge,5.2,58.0,4.55,9.817210070512763,1279.5523681640625
51,ideal_point_compromise,5.1,64.0,4.25,10.012038771223818,1364.0355224609375
51,longevity,5.0,67.0,4.0,10.213803477106172,1445.699951171875
52,fast_charge,5.2,58.0,4.55,9.817210070512763,1346.28955078125
52,ideal_point_compromise,4.95,72.0,4.6,9.994554465248461,1361.7103271484375
52,longevity,4.8,80.0,4.8,10.22380347710617,1368.9716796875
