C1,Q1,C2,phase1_ideal_minutes,phase2_ideal_minutes,T_ideal_physical,T_ideal_as_written_minus,nearest_observed_distance_normalized,nearest_observed_index,inside_rectangle,inside_convex_hull,inside_trust_region,inside_main_domain,predicted_R100_raw,predicted_A_raw,predicted_d1,predicted_d2,predicted_R100,predicted_R200,predicted_A,predicted_a_ref,predicted_SOH200,predicted_eol_a1,projection_applied,predicted_charge_time,charge_time_model,eol_median,pareto_rank,normalized_time,normalized_life_harm,distance_to_ideal,recommendation_type,omitted_strategy_code
5.2,58.0,4.55,6.692307692307692,2.901098901098901,9.593406593406593,3.7912087912087906,0.301438246295025,3,True,True,True,True,0.002280782970088416,0.001866262657939996,0.0004145203121484202,0.000933131328969998,0.002280782970088416,0.0041470456280284125,0.001866262657939996,1.0,0.9954384340598231,1441.965775180449,False,9.817210070512763,physical_offset,1441.965775180449,1,0.0,1.0,1.0,fast_charge,S8
4.2,29.0,5.55,4.142857142857142,5.513513513513514,9.656370656370656,-1.3706563706563717,0.32289406221235334,0,True,True,True,True,0.0019712625558933015,0.0017120967110595862,0.00025916584483371536,0.0008560483555297931,0.0019712625558933015,0.0036833592669528875,0.0017120967110595862,1.0,0.9960574748882134,1513.4390461270068,False,9.880174133476826,physical_offset,1513.4390461270068,6,0.15111207760984927,0.4212502770177201,0.44753397176870385,ideal_point_compromise,S8
3.7,31.0,5.9,5.027027027027027,4.983050847457626,10.010077874484654,0.04397617956940092,0.0,0,True,True,True,True,0.0017282474981428746,0.0016181391351257608,0.0001101083630171138,0.0008090695675628804,0.0017282474981428746,0.0033463866332686353,0.0016181391351257608,1.0,0.9965435050037142,1565.461766812649,False,10.233881351590824,physical_offset,1565.461766812649,14,1.0,0.0,1.0,longevity,S8
5.2,58.0,4.55,6.692307692307692,2.901098901098901,9.593406593406593,3.7912087912087906,0.301438246295025,3,True,True,True,True,0.0049031940337783695,0.0019471919855427093,0.0029560020482356604,0.0009735959927713547,0.0049031940337783695,0.0068503860193210794,0.0019471919855427093,1.0,0.9901936119324433,1289.470831654054,False,9.817210070512763,physical_offset,1289.470831654054,1,0.0,1.0,1.0,fast_charge,S9
5.2,59.0,4.2,6.8076923076923075,3.0,9.807692307692307,3.8076923076923075,0.14341910450935358,3,True,True,True,True,0.004136445403981757,0.0019661414090649983,0.0021703039949167585,0.0009830707045324991,0.004136445403981757,0.006102586813046755,0.0019661414090649983,1.0,0.9917271091920365,1320.2195432827696,False,10.031495784798476,physical_offset,1320.2195432827696,15,0.5104459919988104,0.39232511238818313,0.6437966329191619,ideal_point_compromise,S9
5.3,54.0,4.0,6.113207547169813,3.9000000000000004,10.013207547169813,2.2132075471698123,0.0,3,True,True,True,True,0.0036241893877297575,0.001982400036460394,0.0016417893512693633,0.000991200018230197,0.0036241893877297575,0.005606589424190152,0.001982400036460394,1.0,0.9927516212245405,1340.07142788662,False,10.237011024275983,physical_offset,1340.07142788662,26,1.0,0.0,1.0,longevity,S9
5.2,58.0,4.55,6.692307692307692,2.901098901098901,9.593406593406593,3.7912087912087906,0.301438246295025,3,True,True,True,True,0.004253948883570451,0.001792116518480294,0.0024618323650901566,0.000896058259240147,0.004253948883570451,0.006046065402050745,0.001792116518480294,1.0,0.9914921022328591,1362.919291007924,False,9.817210070512763,physical_offset,1362.919291007924,1,0.0,1.0,1.0,fast_charge,S4
5.1,64.0,4.25,7.529411764705882,2.2588235294117647,9.788235294117648,5.270588235294118,0.15000602368692595,2,True,True,True,True,0.003592057161045125,0.001784727332151076,0.0018073298288940492,0.000892363666075538,0.003592057161045125,0.005376784493196202,0.001784727332151076,1.0,0.9928158856779098,1399.2313479666225,False,10.012038771223818,physical_offset,1399.2313479666225,15,0.4912555213274003,0.3985228588285958,0.632576047794708,ideal_point_compromise,S4
5.0,67.0,4.0,8.040000000000001,1.9500000000000002,9.990000000000002,6.090000000000001,0.0,2,True,True,True,True,0.003146573881499287,0.0017829561183093968,0.00136361776318989,0.0008914780591546984,0.003146573881499287,0.004929529999808684,0.0017829561183093968,1.0,0.9937068522370014,1423.2907573083376,False,10.213803477106172,physical_offset,1423.2907573083376,28,1.0,0.0,1.0,longevity,S4
5.2,58.0,4.55,6.692307692307692,2.901098901098901,9.593406593406593,3.7912087912087906,0.301438246295025,3,True,True,True,True,0.004255140597735664,0.0018443204235787747,0.0024108201741568896,0.0009221602117893873,0.004255140597735664,0.0060994610213144385,0.0018443204235787747,1.0,0.9914897188045286,1347.7654687601516,False,9.817210070512763,physical_offset,1347.7654687601516,1,0.0,1.0,1.0,fast_charge,S5
