C1,Q1,C2,phase1_ideal_minutes,phase2_ideal_minutes,T_ideal_physical,T_ideal_as_written_minus,nearest_observed_distance_normalized,nearest_observed_index,inside_rectangle,inside_convex_hull,inside_trust_region,inside_main_domain,predicted_R100_raw,predicted_A_raw,predicted_d1,predicted_d2,predicted_R100,predicted_R200,predicted_A,predicted_a_ref,predicted_SOH200,predicted_eol_a1,projection_applied,predicted_charge_time,charge_time_model,nearest_strategy,nearest_strategy_code,bootstrap_valid_n,eol_median,eol_p10,eol_p90,eol_ci95_low,eol_ci95_high,eol_a_distribution_median,eol_a_distribution_p10,bootstrap_valid_iterations,life_interval_width_ratio,risk_grade,pareto_rank,front_type
5.2,58.0,4.55,6.692307692307692,2.901098901098901,9.593406593406593,3.7912087912087906,0.301438246295025,3,True,True,True,True,0.004029106940430245,0.0018555697039191461,0.002173537236511099,0.0009277848519595731,0.004029106940430245,0.005884676644349392,0.0018555697039191461,1.0,0.9919417861191395,1355.750095772514,False,9.817210070512763,physical_offset,5_3C_54PER_4C_NEWSTRUCTURE,S5,1000,1354.2705,1239.7183,1473.3835,1173.3287,1528.3927,1350.5742,1229.6055,1000,0.17253959,supported_model_region,1,p10_robust_life
5.25,55.0,4.5,6.285714285714286,3.3333333333333335,9.619047619047619,2.952380952380952,0.2649780053117279,3,True,True,True,True,0.0039252850124019125,0.0018689119693563198,0.0020563730430455925,0.0009344559846781599,0.0039252850124019125,0.005794196981758232,0.0018689119693563198,1.0,0.9921494299751962,1357.0719010257349,False,9.842851096153789,physical_offset,5_3C_54PER_4C_NEWSTRUCTURE,S5,1000,1354.2957,1244.5458,1468.9526,1181.8684,1518.1426,1350.6533,1234.992,1000,0.16570005,supported_model_region,2,p10_robust_life
5.2,58.0,4.5,6.692307692307692,2.933333333333333,9.625641025641025,3.7589743589743585,0.2762645110059046,3,True,True,True,True,0.003922360220594121,0.0018594779100465006,0.00206288231054762,0.0009297389550232503,0.003922360220594121,0.005781838130640621,0.0018594779100465006,1.0,0.9921552795588118,1359.9279131876342,False,9.849444502747195,physical_offset,5_3C_54PER_4C_NEWSTRUCTURE,S5,1000,1358.1824,1245.5474,1472.7516,1178.0626,1524.2588,1354.4102,1235.4414,1000,0.1672855,supported_model_region,3,p10_robust_life
5.15,61.0,4.5,7.106796116504854,2.533333333333333,9.640129449838188,4.573462783171521,0.29182114923371744,2,True,True,True,True,0.00391943542878633,0.0018500438507366816,0.0020693915780496484,0.0009250219253683408,0.00391943542878633,0.005769479279523012,0.0018500438507366816,1.0,0.9921611291424274,1362.8038646339232,False,9.863932926944358,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1361.6737,1246.8245,1478.7561,1181.324,1529.4758,1356.8169,1234.8672,1000,0.17032835,supported_model_region,4,p10_robust_life
5.25,55.0,4.45,6.285714285714286,3.3707865168539324,9.656500802568218,2.914927768860353,0.23886282373391643,3,True,True,True,True,0.0038185382925657882,0.0018728201754836743,0.001945718117082114,0.0009364100877418372,0.0038185382925657882,0.0056913584680494626,0.0018728201754836743,1.0,0.9923629234148684,1361.2389813783489,False,9.880304279674387,physical_offset,5_3C_54PER_4C_NEWSTRUCTURE,S5,1000,1357.919,1250.1272,1469.0593,1187.6301,1517.7366,1353.5149,1240.7214,1000,0.16122621,supported_model_region,5,p10_robust_life
5.2,58.0,4.45,6.692307692307692,2.9662921348314604,9.658599827139152,3.7260155574762313,0.2513248601004078,3,True,True,True,True,0.003815613500757997,0.0018633861161738553,0.0019522273845841416,0.0009316930580869277,0.003815613500757997,0.0056789996169318525,0.0018633861161738553,1.0,0.992368772998484,1364.1114280567747,False,9.882403304245322,physical_offset,5_3C_54PER_4C_NEWSTRUCTURE,S5,1000,1361.8271,1251.8071,1472.937,1184.4576,1522.2616,1358.0449,1241.3307,1000,0.16237734,supported_model_region,6,p10_robust_life
5.15,61.0,4.45,7.106796116504854,2.561797752808989,9.668593869313842,4.544998363695865,0.26833130343522266,2,True,True,True,True,0.0038126887089502057,0.0018539520568640361,0.0019587366520861698,0.0009269760284320181,0.0038126887089502057,0.0056666407658142424,0.0018539520568640361,1.0,0.9923746225820995,1367.0039528047257,False,9.892397346420012,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1364.3733,1252.1898,1477.993,1184.773,1523.4855,1361.5458,1240.2644,1000,0.1654996,supported_model_region,7,p10_robust_life
5.1,64.0,4.45,7.529411764705882,2.157303370786517,9.686715135492399,5.3721083939193655,0.24755397507870008,2,True,True,True,True,0.0038097639171424166,0.0018445179975542171,0.0019652459195881994,0.0009222589987771086,0.0038097639171424166,0.005654281914696633,0.0018445179975542171,1.0,0.9923804721657152,1369.9167942031359,False,9.910518612598569,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1367.4847,1254.8643,1485.1218,1187.5413,1530.1622,1363.56,1242.3062,1000,0.16838035,supported_model_region,8,p10_robust_life
5.2,58.0,4.4,6.692307692307692,2.9999999999999996,9.692307692307692,3.692307692307692,0.22669656397681465,3,True,True,True,True,0.003708866780921873,0.0018672943223012098,0.0018415724586206632,0.0009336471611506049,0.003708866780921873,0.0055761611032230825,0.0018672943223012098,1.0,0.9925822664381563,1368.300552706137,False,9.916111169413862,physical_offset,5_3C_54PER_4C_NEWSTRUCTURE,S5,1000,1364.2345,1257.4418,1471.7734,1191.1134,1520.015,1360.8629,1245.971,1000,0.15710764,supported_model_region,9,p10_robust_life
5.15,61.0,4.4,7.106796116504854,2.590909090909091,9.697705207413945,4.515887025595763,0.2454156376795293,2,True,True,True,True,0.003705941989114082,0.0018578602629913908,0.001848081726122691,0.0009289301314956954,0.003705941989114082,0.005563802252105472,0.0018578602629913908,1.0,0.9925881160217719,1371.209665787673,False,9.921508684520115,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1367.4396,1257.5745,1478.9758,1190.4491,1521.7059,1363.8158,1246.8104,1000,0.16190943,supported_model_region,10,p10_robust_life
5.1,64.0,4.4,7.529411764705882,2.1818181818181817,9.711229946524064,5.347593582887701,0.2225086905980756,2,True,True,True,True,0.0037030171973062927,0.0018484262036815716,0.001854590993624721,0.0009242131018407858,0.0037030171973062927,0.005551443400987864,0.0018484262036815716,1.0,0.9925939656053874,1374.1392360805771,False,9.935033423630234,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1370.277,1259.9175,1483.5054,1192.6055,1526.1073,1366.9429,1249.7109,1000,0.16316985,supported_model_region,11,p10_robust_life
5.2,58.0,4.35,6.692307692307692,3.03448275862069,9.726790450928382,3.6578249336870017,0.20249326034351078,3,True,True,True,True,0.003602120061085747,0.0018712025284285643,0.0017309175326571827,0.0009356012642142822,0.003602120061085747,0.005473322589514312,0.0018712025284285643,1.0,0.9927957598778285,1372.4951992603394,False,9.950593928034552,physical_offset,5_3C_54PER_4C_NEWSTRUCTURE,S5,1000,1367.945,1262.3531,1472.4291,1197.8271,1516.9011,1365.3672,1251.586,1000,0.15357046,supported_model_region,12,p10_robust_life
5.15,61.0,4.35,7.106796116504854,2.620689655172414,9.727485771677268,4.48610646133244,0.2232510326589797,2,True,True,True,True,0.003599195269277956,0.0018617684691187453,0.0017374268001592108,0.0009308842345593727,0.003599195269277956,0.0054609637383967015,0.0018617684691187453,1.0,0.9928016094614441,1375.4209148396494,False,9.951289248783437,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1370.1555,1263.7576,1478.2714,1197.3134,1523.6589,1366.9283,1251.9418,1000,0.15656164,supported_model_region,13,p10_robust_life
5.1,64.0,4.35,7.529411764705882,2.206896551724138,9.73630831643002,5.322515212981744,0.1977935938227549,2,True,True,True,True,0.003596270477470167,0.0018523344098089263,0.0017439360676612407,0.0009261672049044632,0.003596270477470167,0.005448604887279093,0.0018523344098089263,1.0,0.9928074590450596,1378.3672281458798,False,9.96011179353619,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1373.301,1264.6554,1483.6337,1198.46,1529.4073,1370.0947,1254.2849,1000,0.15945394,supported_model_region,14,p10_robust_life
5.15,61.0,4.3,7.106796116504854,2.6511627906976747,9.757958907202529,4.455633325807179,0.20208476810536308,2,True,True,True,True,0.003492448549441832,0.0018656766752460998,0.001626771874195732,0.0009328383376230499,0.003492448549441832,0.0053581252246879315,0.0018656766752460998,1.0,0.9930151029011163,1379.63761102983,False,9.981762384308698,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1373.9216,1269.3364,1477.1584,1204.3876,1521.5905,1369.772,1258.4219,1000,0.15126193,supported_model_region,15,p10_robust_life
5.1,64.0,4.3,7.529411764705882,2.2325581395348837,9.761969904240766,5.296853625170998,0.17354980747387339,2,True,True,True,True,0.0034895237576340428,0.0018562426159362808,0.001633281141697762,0.0009281213079681404,0.0034895237576340428,0.005345766373570324,0.0018562426159362808,1.0,0.993020952484732,1382.600680587912,False,9.985773381346936,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1377.283,1271.0208,1483.1788,1205.405,1526.6196,1372.8501,1259.3507,1000,0.15404102,supported_model_region,16,p10_robust_life
5.1,64.0,4.25,7.529411764705882,2.2588235294117647,9.788235294117648,5.270588235294118,0.15000602368692595,2,True,True,True,True,0.003382777037797919,0.0018601508220636353,0.0015226262157342835,0.0009300754110318177,0.003382777037797919,0.005242927859861554,0.0018601508220636353,1.0,0.9932344459244041,1386.8395034221169,False,10.012038771223818,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1379.7466,1276.7089,1480.5762,1212.3198,1524.8486,1376.2676,1264.0642,1000,0.14775707,supported_model_region,17,p10_robust_life
5.2,59.0,4.2,6.8076923076923075,3.0,9.807692307692307,3.8076923076923075,0.14341910450935358,3,True,True,True,True,0.0032429076632008794,0.0018809361414939844,0.001361971521706895,0.0009404680707469922,0.0032429076632008794,0.005123843804694864,0.0018809361414939844,1.0,0.9935141846735982,1387.6742313103657,False,10.031495784798476,physical_offset,5_3C_54PER_4C_NEWSTRUCTURE,S5,1000,1379.1783,1282.6348,1471.7317,1217.6278,1518.6289,1376.5109,1272.3624,1000,0.13710839,supported_model_region,18,p10_robust_life
5.2,59.0,4.15,6.8076923076923075,3.0361445783132526,9.84383688600556,3.771547729379055,0.1253849835861616,3,True,True,True,True,0.003136160943364755,0.001884844347621339,0.0012513165957434161,0.0009424221738106695,0.003136160943364755,0.005021005290986094,0.001884844347621339,1.0,0.9937276781132706,1391.8978480129817,False,10.06764036311173,physical_offset,5_3C_54PER_4C_NEWSTRUCTURE,S5,1000,1382.1044,1288.2075,1472.947,1224.2778,1516.2865,1379.9669,1276.7175,1000,0.13366538,supported_model_region,19,p10_robust_life
5.15,61.0,4.1,7.106796116504854,2.780487804878049,9.887283921382902,4.326308311626805,0.13666597484470594,2,True,True,True,True,0.0030654616700973346,0.001881309499755518,0.0011841521703418166,0.000940654749877759,0.0030654616700973346,0.004946771169852853,0.001881309499755518,1.0,0.9938690766598054,1396.5570827742224,False,10.111087398489072,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1386.7482,1292.3253,1478.1184,1228.5929,1520.1531,1384.8596,1280.0612,1000,0.13397753,supported_model_region,20,p10_robust_life
5.05,65.0,4.05,7.722772277227723,2.2222222222222223,9.944994499449946,5.500550055005501,0.049598602756271766,2,True,True,True,True,0.003030809843398622,0.0018703315978965216,0.0011604782455021004,0.0009351657989482608,0.003030809843398622,0.004901141441295144,0.0018703315978965216,1.0,0.9939383803132028,1401.6841860652821,False,10.168797976556116,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1393.4801,1296.3059,1486.6569,1232.8788,1527.9888,1390.7596,1284.301,1000,0.13660112,supported_model_region,21,p10_robust_life
5.0,67.0,4.0,8.040000000000001,1.9500000000000002,9.990000000000002,6.090000000000001,0.0,2,True,True,True,True,0.0029601105701312033,0.0018667967500307007,0.0010933138201005025,0.0009333983750153504,0.0029601105701312033,0.004826907320161904,0.0018667967500307007,1.0,0.9940797788597375,1406.4039485304568,False,10.213803477106172,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1398.6031,1298.8763,1493.8721,1237.1501,1532.0469,1396.4336,1289.143,1000,0.13942178,supported_model_region,22,p10_robust_life
5.3,54.0,4.0,6.113207547169813,3.9000000000000004,10.013207547169813,2.2132075471698123,0.0,3,True,True,True,True,0.0027827981290954678,0.0019134460793063972,0.0008693520497890705,0.0009567230396531986,0.0027827981290954678,0.004696244208401865,0.0019134460793063972,1.0,0.9944344037418091,1401.1253124289913,False,10.237011024275983,physical_offset,5_3C_54PER_4C_NEWSTRUCTURE,S5,1000,1386.1372,1299.9148,1471.4485,1242.282,1514.7819,1383.188,1284.0548,1000,0.123749435,supported_model_region,23,p10_robust_life
