C1,Q1,C2,phase1_ideal_minutes,phase2_ideal_minutes,T_ideal_physical,T_ideal_as_written_minus,nearest_observed_distance_normalized,nearest_observed_index,inside_rectangle,inside_convex_hull,inside_trust_region,inside_main_domain,exposure_p,E1,E2,stress_sum_benchmark,predicted_R100_raw,predicted_A_raw,predicted_d1,predicted_d2,predicted_R100,predicted_R200,predicted_A,predicted_a_ref,predicted_SOH200,predicted_eol_a1,projection_applied,predicted_charge_time,charge_time_model,eol_median,pareto_rank,p,normalized_time,normalized_life_harm,distance_to_ideal,recommendation_type,normalized_loso_rmse
5.2,58.0,4.55,6.692307692307692,2.901098901098901,9.593406593406593,3.7912087912087906,0.301438246295025,3,True,True,True,True,1.0,3.77,1.25125,5.02125,0.003945604515260867,0.0018394086852859335,0.0021061958299749333,0.0009197043426429668,0.003945604515260867,0.0057850132005468,0.0018394086852859335,1.0,0.9921087909694782,1364.5913856511083,False,9.817210070512763,physical_offset,1364.5913856511083,1,1.0,0.0,1.0,1.0,fast_charge,1.3015692693505023
4.95,72.0,4.6,8.727272727272727,1.0434782608695652,9.770750988142291,7.683794466403161,0.18577593196275055,1,True,True,True,True,1.0,4.455,0.45999999999999985,4.915,0.0028767550605497305,0.001820902669634719,0.0010558523909150114,0.0009104513348173595,0.0028767550605497305,0.004697657730184449,0.001820902669634719,1.0,0.9942464898789006,1425.2798582387127,False,9.994554465248461,physical_offset,1425.2798582387127,16,1.0,0.43617134921482464,0.36305528948837823,0.5674985366513033,ideal_point_compromise,1.3015692693505023
4.8,80.0,4.8,10.0,0.0,10.0,10.0,0.0,1,True,True,True,True,1.0,4.8,0.0,4.8,0.002292183638071633,0.0018109217270976734,0.00048126191097395965,0.0009054608635488367,0.002292183638071633,0.004103105365169306,0.0018109217270976734,1.0,0.9954156327238567,1459.8719831441886,False,10.22380347710617,physical_offset,1459.8719831441886,27,1.0,1.0,0.0,1.0,longevity,1.3015692693505023
5.2,58.0,4.55,6.692307692307692,2.901098901098901,9.593406593406593,3.7912087912087906,0.301438246295025,3,True,True,True,True,1.5,8.5969227052475,2.6690074670886554,11.265930172336155,0.0037789012831633668,0.0018437872350179016,0.0019351140481454652,0.0009218936175089508,0.0037789012831633668,0.0056226885181812685,0.0018437872350179016,1.0,0.9924421974336733,1371.6858337148683,False,9.817210070512763,physical_offset,1371.6858337148683,1,1.5,0.0,1.0,1.0,fast_charge,1.3041231298606712
4.95,72.0,4.6,8.727272727272727,1.0434782608695652,9.770750988142291,7.683794466403161,0.18577593196275055,1,True,True,True,True,1.5,9.911749278003354,0.9865900871182516,10.898339365121606,0.0027158176946417254,0.0018324016121020182,0.0008834160825397072,0.0009162008060510091,0.0027158176946417254,0.004548219306743743,0.0018324016121020182,1.0,0.9945683646107165,1430.048905707438,False,9.994554465248461,physical_offset,1430.048905707438,16,1.5,0.43617134921482464,0.35590930078354677,0.5629537070311498,ideal_point_compromise,1.3041231298606712
4.8,80.0,4.8,10.0,0.0,10.0,10.0,0.0,1,True,True,True,True,1.5,10.516273104099188,0.0,10.516273104099188,0.002148400144592834,0.001826618572949364,0.0003217815716434701,0.000913309286474682,0.002148400144592834,0.003975018717542198,0.001826618572949364,1.0,0.9957031997108143,1462.2989601946783,False,10.22380347710617,physical_offset,1462.2989601946783,27,1.5,1.0,0.0,1.0,longevity,1.3041231298606712
5.2,58.0,4.55,6.692307692307692,2.901098901098901,9.593406593406593,3.7912087912087906,0.301438246295025,3,True,True,True,True,2.0,19.604000000000003,5.6931875,25.297187500000003,0.003632752286327298,0.0018482593261234677,0.0017844929602038304,0.0009241296630617339,0.003632752286327298,0.005481011612450766,0.0018482593261234677,1.0,0.9927344954273454,1377.736465026428,False,9.817210070512763,physical_offset,1377.736465026428,1,2.0,0.0,1.0,1.0,fast_charge,1.304651208490561
4.95,72.0,4.6,8.727272727272727,1.0434782608695652,9.770750988142291,7.683794466403161,0.18577593196275055,1,True,True,True,True,2.0,22.05225,2.115999999999999,24.16825,0.0026222752557845826,0.0018426323333473418,0.0007796429224372408,0.0009213161666736709,0.0026222752557845826,0.004464907589131924,0.0018426323333473418,1.0,0.9947554494884308,1431.6620739123748,False,9.994554465248461,physical_offset,1431.6620739123748,16,2.0,0.43617134921482464,0.34754300477572625,0.5577020584903923,ideal_point_compromise,1.304651208490561
4.8,80.0,4.8,10.0,0.0,10.0,10.0,0.0,1,True,True,True,True,2.0,23.04,0.0,23.04,0.002098291481366613,0.001840183593298726,0.0002581078880678873,0.000920091796649363,0.002098291481366613,0.003938475074665339,0.001840183593298726,1.0,0.9958034170372667,1460.3865236213405,False,10.22380347710617,physical_offset,1460.3865236213405,26,2.0,1.0,0.0,1.0,longevity,1.304651208490561
5.2,58.0,4.55,6.692307692307692,2.901098901098901,9.593406593406593,3.7912087912087906,0.301438246295025,3,True,True,True,True,2.5,44.703998067287,12.143983975253382,56.84798204254039,0.003507527052201789,0.0018526755560565652,0.001654851496145224,0.0009263377780282826,0.003507527052201789,0.005360202608258355,0.0018526755560565652,1.0,0.9929849458955964,1382.7572730837912,False,9.817210070512763,physical_offset,1382.7572730837912,1,2.5,0.0,1.0,1.0,fast_charge,1.3050723079736608
4.95,72.0,4.6,8.727272727272727,1.0434782608695652,9.770750988142291,7.683794466403161,0.18577593196275055,1,True,True,True,True,2.5,49.06315892611661,4.538314400743957,53.601473326860564,0.002586403458505928,0.0018514214783149155,0.0007349819801910123,0.0009257107391574577,0.002586403458505928,0.004437824936820843,0.0018514214783149155,1.0,0.9948271930829882,1430.7023917361353,False,9.994554465248461,physical_offset,1430.7023917361353,15,2.5,0.43617134921482464,0.3373211714329837,0.5513900784134594,ideal_point_compromise,1.3050723079736608
4.8,80.0,4.8,10.0,0.0,10.0,10.0,0.0,1,True,True,True,True,2.5,50.4781108996761,0.0,50.4781108996761,0.00212591805384708,0.0018514376715754047,0.0002744803822716754,0.0009257188357877024,0.00212591805384708,0.003977355725422484,0.0018514376715754047,1.0,0.9957481638923058,1455.1077339488547,False,10.22380347710617,physical_offset,1455.1077339488547,25,2.5,1.0,0.0,1.0,longevity,1.3050723079736608
5.2,58.0,4.55,6.692307692307692,2.901098901098901,9.593406593406593,3.7912087912087906,0.301438246295025,3,True,True,True,True,3.0,101.9408,25.904003125,127.844803125,0.0034024687962004195,0.0018569531093626974,0.001545515686837722,0.0009284765546813487,0.0034024687962004195,0.005259421905563117,0.0018569531093626974,1.0,0.9931950624075992,1386.8031332522326,False,9.817210070512763,physical_offset,1386.8031332522326,1,3.0,0.0,1.0,1.0,fast_charge,1.3068217540750933
4.95,72.0,4.6,8.727272727272727,1.0434782608695652,9.770750988142291,7.683794466403161,0.18577593196275055,1,True,True,True,True,3.0,109.15863750000001,9.733599999999996,118.89223750000001,0.0025971225556596853,0.0018587766963726925,0.0007383458592869927,0.0009293883481863463,0.0025971225556596853,0.004455899252032378,0.0018587766963726925,1.0,0.9948057548886806,1427.7691902797228,False,9.994554465248461,physical_offset,1427.7691902797228,15,3.0,0.43617134921482464,0.3242158218620519,0.5434715678134103,ideal_point_compromise,1.3068217540750933
4.8,80.0,4.8,10.0,0.0,10.0,10.0,0.0,1,True,True,True,True,3.0,110.59199999999998,0.0,110.59199999999998,0.0022138319718385782,0.0018604476142121604,0.00035338435762641784,0.0009302238071060802,0.0022138319718385782,0.004074279586050738,0.0018604476142121604,1.0,0.9955723360563228,1447.423163067621,False,10.22380347710617,physical_offset,1447.423163067621,25,3.0,1.0,0.0,1.0,longevity,1.3068217540750933
