C1,Q1,C2,cycle,predicted_soh,eol_median
5.2,58.0,4.55,0,1.0,1354.2705078125
5.2,58.0,4.55,5,0.9998890036760445,1354.2705078125
5.2,58.0,4.55,10,0.9997733684278294,1354.2705078125
5.2,58.0,4.55,15,0.9996530942553543,1354.2705078125
5.2,58.0,4.55,20,0.9995281811586194,1354.2705078125
5.2,58.0,4.55,25,0.9993986291376247,1354.2705078125
5.2,58.0,4.55,30,0.9992644381923703,1354.2705078125
5.2,58.0,4.55,35,0.9991256083228561,1354.2705078125
5.2,58.0,4.55,40,0.998982139529082,1354.2705078125
5.2,58.0,4.55,45,0.9988340318110481,1354.2705078125
5.2,58.0,4.55,50,0.9986812851687545,1354.2705078125
5.2,58.0,4.55,55,0.9985238996022011,1354.2705078125
5.2,58.0,4.55,60,0.9983618751113879,1354.2705078125
5.2,58.0,4.55,65,0.9981952116963149,1354.2705078125
5.2,58.0,4.55,70,0.998023909356982,1354.2705078125
5.2,58.0,4.55,75,0.9978479680933894,1354.2705078125
5.2,58.0,4.55,80,0.997667387905537,1354.2705078125
5.2,58.0,4.55,85,0.9974821687934248,1354.2705078125
5.2,58.0,4.55,90,0.9972923107570527,1354.2705078125
5.2,58.0,4.55,95,0.9970978137964209,1354.2705078125
5.2,58.0,4.55,100,0.9968986779115293,1354.2705078125
5.2,58.0,4.55,105,0.996694903102378,1354.2705078125
5.2,58.0,4.55,110,0.9964864893689667,1354.2705078125
5.2,58.0,4.55,115,0.9962734367112956,1354.2705078125
5.2,58.0,4.55,120,0.9960557451293649,1354.2705078125
5.2,58.0,4.55,125,0.9958334146231743,1354.2705078125
5.2,58.0,4.55,130,0.9956064451927239,1354.2705078125
5.2,58.0,4.55,135,0.9953748368380136,1354.2705078125
5.2,58.0,4.55,140,0.9951385895590438,1354.2705078125
5.2,58.0,4.55,145,0.994897703355814,1354.2705078125
5.2,58.0,4.55,150,0.9946521782283243,1354.2705078125
5.2,58.0,4.55,155,0.9944020141765749,1354.2705078125
5.2,58.0,4.55,160,0.9941472112005658,1354.2705078125
5.2,58.0,4.55,165,0.9938877693002968,1354.2705078125
5.2,58.0,4.55,170,0.993623688475768,1354.2705078125
5.2,58.0,4.55,175,0.9933549687269795,1354.2705078125
5.2,58.0,4.55,180,0.993081610053931,1354.2705078125
5.2,58.0,4.55,185,0.9928036124566229,1354.2705078125
5.2,58.0,4.55,190,0.9925209759350548,1354.2705078125
5.2,58.0,4.55,195,0.9922337004892271,1354.2705078125
5.2,58.0,4.55,200,0.9919417861191395,1354.2705078125
5.2,58.0,4.55,205,0.9916452328247921,1354.2705078125
5.2,58.0,4.55,210,0.991344040606185,1354.2705078125
5.2,58.0,4.55,215,0.991038209463318,1354.2705078125
5.2,58.0,4.55,220,0.9907277393961913,1354.2705078125
5.2,58.0,4.55,225,0.9904126304048047,1354.2705078125
5.2,58.0,4.55,230,0.9900928824891583,1354.2705078125
5.2,58.0,4.55,235,0.9897684956492522,1354.2705078125
5.2,58.0,4.55,240,0.9894394698850862,1354.2705078125
5.2,58.0,4.55,245,0.9891058051966605,1354.2705078125
5.2,58.0,4.55,250,0.988767501583975,1354.2705078125
5.2,58.0,4.55,255,0.9884245590470296,1354.2705078125
5.2,58.0,4.55,260,0.9880769775858245,1354.2705078125
5.2,58.0,4.55,265,0.9877247572003595,1354.2705078125
5.2,58.0,4.55,270,0.9873678978906347,1354.2705078125
5.2,58.0,4.55,275,0.9870063996566503,1354.2705078125
5.2,58.0,4.55,280,0.9866402624984059,1354.2705078125
5.2,58.0,4.55,285,0.9862694864159017,1354.2705078125
5.2,58.0,4.55,290,0.9858940714091379,1354.2705078125
5.2,58.0,4.55,295,0.9855140174781141,1354.2705078125
5.2,58.0,4.55,300,0.9851293246228305,1354.2705078125
5.2,58.0,4.55,305,0.9847399928432873,1354.2705078125
5.2,58.0,4.55,310,0.9843460221394841,1354.2705078125
5.2,58.0,4.55,315,0.9839474125114211,1354.2705078125
5.2,58.0,4.55,320,0.9835441639590984,1354.2705078125
5.2,58.0,4.55,325,0.983136276482516,1354.2705078125
5.2,58.0,4.55,330,0.9827237500816737,1354.2705078125
5.2,58.0,4.55,335,0.9823065847565715,1354.2705078125
