C1,Q1,C2,phase1_ideal_minutes,phase2_ideal_minutes,T_ideal_physical,T_ideal_as_written_minus,nearest_observed_distance_normalized,nearest_observed_index,inside_rectangle,inside_convex_hull,inside_trust_region,inside_main_domain,predicted_R100_raw,predicted_A_raw,predicted_d1,predicted_d2,predicted_R100,predicted_R200,predicted_A,predicted_a_ref,predicted_SOH200,predicted_eol_a1,projection_applied,predicted_charge_time,charge_time_model,nearest_strategy,nearest_strategy_code,bootstrap_valid_n,eol_median,eol_p10,eol_p90,eol_ci95_low,eol_ci95_high,eol_a_distribution_median,eol_a_distribution_p10,bootstrap_valid_iterations,life_interval_width_ratio,risk_grade,pareto_rank,domain
5.2,58.0,4.55,6.692307692307692,2.901098901098901,9.593406593406593,3.7912087912087906,0.301438246295025,3,True,True,True,True,0.004029106940430245,0.0018555697039191461,0.002173537236511099,0.0009277848519595731,0.004029106940430245,0.005884676644349392,0.0018555697039191461,1.0,0.9919417861191395,1355.750095772514,False,9.817210070512763,physical_offset,5_3C_54PER_4C_NEWSTRUCTURE,S5,1000,1354.2705,1239.7183,1473.3835,1173.3287,1528.3927,1350.5742,1229.6055,1000,0.17253959,supported_model_region,1,rectangle
5.25,55.0,4.5,6.285714285714286,3.3333333333333335,9.619047619047619,2.952380952380952,0.2649780053117279,3,True,True,True,True,0.0039252850124019125,0.0018689119693563198,0.0020563730430455925,0.0009344559846781599,0.0039252850124019125,0.005794196981758232,0.0018689119693563198,1.0,0.9921494299751962,1357.0719010257349,False,9.842851096153789,physical_offset,5_3C_54PER_4C_NEWSTRUCTURE,S5,1000,1354.2957,1244.5458,1468.9526,1181.8684,1518.1426,1350.6533,1234.992,1000,0.16570005,supported_model_region,2,rectangle
5.2,58.0,4.5,6.692307692307692,2.933333333333333,9.625641025641025,3.7589743589743585,0.2762645110059046,3,True,True,True,True,0.003922360220594121,0.0018594779100465006,0.00206288231054762,0.0009297389550232503,0.003922360220594121,0.005781838130640621,0.0018594779100465006,1.0,0.9921552795588118,1359.9279131876342,False,9.849444502747195,physical_offset,5_3C_54PER_4C_NEWSTRUCTURE,S5,1000,1358.1824,1245.5474,1472.7516,1178.0626,1524.2588,1354.4102,1235.4414,1000,0.1672855,supported_model_region,3,rectangle
5.15,61.0,4.5,7.106796116504854,2.533333333333333,9.640129449838188,4.573462783171521,0.29182114923371744,2,True,True,True,True,0.00391943542878633,0.0018500438507366816,0.0020693915780496484,0.0009250219253683408,0.00391943542878633,0.005769479279523012,0.0018500438507366816,1.0,0.9921611291424274,1362.8038646339232,False,9.863932926944358,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1361.6737,1246.8245,1478.7561,1181.324,1529.4758,1356.8169,1234.8672,1000,0.17032835,supported_model_region,4,rectangle
5.2,58.0,4.45,6.692307692307692,2.9662921348314604,9.658599827139152,3.7260155574762313,0.2513248601004078,3,True,True,True,True,0.003815613500757997,0.0018633861161738553,0.0019522273845841416,0.0009316930580869277,0.003815613500757997,0.0056789996169318525,0.0018633861161738553,1.0,0.992368772998484,1364.1114280567747,False,9.882403304245322,physical_offset,5_3C_54PER_4C_NEWSTRUCTURE,S5,1000,1361.8271,1251.8071,1472.937,1184.4576,1522.2616,1358.0449,1241.3307,1000,0.16237734,supported_model_region,5,rectangle
5.15,61.0,4.45,7.106796116504854,2.561797752808989,9.668593869313842,4.544998363695865,0.26833130343522266,2,True,True,True,True,0.0038126887089502057,0.0018539520568640361,0.0019587366520861698,0.0009269760284320181,0.0038126887089502057,0.0056666407658142424,0.0018539520568640361,1.0,0.9923746225820995,1367.0039528047257,False,9.892397346420012,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1364.3733,1252.1898,1477.993,1184.773,1523.4855,1361.5458,1240.2644,1000,0.1654996,supported_model_region,6,rectangle
5.1,64.0,4.45,7.529411764705882,2.157303370786517,9.686715135492399,5.3721083939193655,0.24755397507870008,2,True,True,True,True,0.0038097639171424166,0.0018445179975542171,0.0019652459195881994,0.0009222589987771086,0.0038097639171424166,0.005654281914696633,0.0018445179975542171,1.0,0.9923804721657152,1369.9167942031359,False,9.910518612598569,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1367.4847,1254.8643,1485.1218,1187.5413,1530.1622,1363.56,1242.3062,1000,0.16838035,supported_model_region,7,rectangle
5.1,64.0,4.4,7.529411764705882,2.1818181818181817,9.711229946524064,5.347593582887701,0.2225086905980756,2,True,True,True,True,0.0037030171973062927,0.0018484262036815716,0.001854590993624721,0.0009242131018407858,0.0037030171973062927,0.005551443400987864,0.0018484262036815716,1.0,0.9925939656053874,1374.1392360805771,False,9.935033423630234,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1370.277,1259.9175,1483.5054,1192.6055,1526.1073,1366.9429,1249.7109,1000,0.16316985,supported_model_region,8,rectangle
5.05,67.0,4.4,7.960396039603961,1.7727272727272727,9.733123312331234,6.187668766876689,0.21216467758680407,2,True,True,True,True,0.0037000924054985014,0.0018389921443717526,0.0018611002611267488,0.0009194960721858763,0.0037000924054985014,0.005539084549870254,0.0018389921443717526,1.0,0.992599815189003,1377.0895080270316,False,9.956926789437404,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1373.3942,1260.1008,1490.301,1197.7378,1532.7811,1369.906,1248.5736,1000,0.16761407,supported_model_region,9,rectangle
5.15,61.0,4.3,7.106796116504854,2.6511627906976747,9.757958907202529,4.455633325807179,0.20208476810536308,2,True,True,True,True,0.003492448549441832,0.0018656766752460998,0.001626771874195732,0.0009328383376230499,0.003492448549441832,0.0053581252246879315,0.0018656766752460998,1.0,0.9930151029011163,1379.63761102983,False,9.981762384308698,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1373.9216,1269.3364,1477.1584,1204.3876,1521.5905,1369.772,1258.4219,1000,0.15126193,supported_model_region,10,rectangle
5.1,64.0,4.3,7.529411764705882,2.2325581395348837,9.761969904240766,5.296853625170998,0.17354980747387339,2,True,True,True,True,0.0034895237576340428,0.0018562426159362808,0.001633281141697762,0.0009281213079681404,0.0034895237576340428,0.005345766373570324,0.0018562426159362808,1.0,0.993020952484732,1382.600680587912,False,9.985773381346936,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1377.283,1271.0208,1483.1788,1205.405,1526.6196,1372.8501,1259.3507,1000,0.15404102,supported_model_region,11,rectangle
5.1,64.0,4.25,7.529411764705882,2.2588235294117647,9.788235294117648,5.270588235294118,0.15000602368692595,2,True,True,True,True,0.003382777037797919,0.0018601508220636353,0.0015226262157342835,0.0009300754110318177,0.003382777037797919,0.005242927859861554,0.0018601508220636353,1.0,0.9932344459244041,1386.8395034221169,False,10.012038771223818,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1379.7466,1276.7089,1480.5762,1212.3198,1524.8486,1376.2676,1264.0642,1000,0.14775707,supported_model_region,12,rectangle
5.05,66.0,4.25,7.841584158415842,1.9764705882352942,9.818054746651136,5.865113570180548,0.13518241426767372,2,True,True,True,True,0.003418824484366624,0.0018527077680704598,0.0015661167162961643,0.0009263538840352299,0.003418824484366624,0.005271532252437084,0.0018527077680704598,1.0,0.9931623510312668,1387.25259979607,False,10.041858223757306,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1381.7827,1274.8557,1485.0747,1208.8768,1528.3593,1377.4286,1262.4451,1000,0.15213607,supported_model_region,13,rectangle
5.2,59.0,4.15,6.8076923076923075,3.0361445783132526,9.84383688600556,3.771547729379055,0.1253849835861616,3,True,True,True,True,0.003136160943364755,0.001884844347621339,0.0012513165957434161,0.0009424221738106695,0.003136160943364755,0.005021005290986094,0.001884844347621339,1.0,0.9937276781132706,1391.8978480129817,False,10.06764036311173,physical_offset,5_3C_54PER_4C_NEWSTRUCTURE,S5,1000,1382.1044,1288.2075,1472.947,1224.2778,1516.2865,1379.9669,1276.7175,1000,0.13366538,supported_model_region,14,rectangle
5.15,61.0,4.15,7.106796116504854,2.746987951807229,9.853784068312082,4.359808164697625,0.14879580826881578,2,True,True,True,True,0.0031722083899334602,0.0018774012936281636,0.0012948070963052967,0.0009387006468140818,0.0031722083899334602,0.005049609683561624,0.0018774012936281636,1.0,0.993655583220133,1392.3194906013348,False,10.077587545418252,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1383.196,1286.156,1475.4414,1222.2267,1520.4076,1380.8568,1276.0137,1000,0.13684641,supported_model_region,15,rectangle
