C1,Q1,C2,phase1_ideal_minutes,phase2_ideal_minutes,T_ideal_physical,T_ideal_as_written_minus,nearest_observed_distance_normalized,nearest_observed_index,inside_rectangle,inside_convex_hull,inside_trust_region,inside_main_domain,predicted_R100_raw,predicted_A_raw,predicted_d1,predicted_d2,predicted_R100,predicted_R200,predicted_A,predicted_a_ref,predicted_SOH200,predicted_eol_a1,projection_applied,predicted_charge_time,charge_time_model,nearest_strategy,nearest_strategy_code,bootstrap_valid_n,eol_median,eol_p10,eol_p90,eol_ci95_low,eol_ci95_high,eol_a_distribution_median,eol_a_distribution_p10,bootstrap_valid_iterations,life_interval_width_ratio,risk_grade,pareto_rank,domain,normalized_time,normalized_life_harm,distance_to_ideal,recommendation_type
5.2,58.0,4.55,6.692307692307692,2.901098901098901,9.593406593406593,3.7912087912087906,0.301438246295025,3,True,True,True,True,0.004029106940430245,0.0018555697039191461,0.002173537236511099,0.0009277848519595731,0.004029106940430245,0.005884676644349392,0.0018555697039191461,1.0,0.9919417861191395,1355.750095772514,False,9.817210070512763,physical_offset,5_3C_54PER_4C_NEWSTRUCTURE,S5,1000,1354.2705,1239.7183,1473.3835,1173.3287,1528.3927,1350.5742,1229.6055,1000,0.17253959,supported_model_region,1,rectangle,0.0,1.0,1.0,fast_charge
5.1,64.0,4.3,7.529411764705882,2.2325581395348837,9.761969904240766,5.296853625170998,0.17354980747387339,2,True,True,True,True,0.0034895237576340428,0.0018562426159362808,0.001633281141697762,0.0009281213079681404,0.0034895237576340428,0.005345766373570324,0.0018562426159362808,1.0,0.993020952484732,1382.600680587912,False,9.985773381346936,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1377.283,1271.0208,1483.1788,1205.405,1526.6196,1372.8501,1259.3507,1000,0.15404102,supported_model_region,11,rectangle,0.4250280212222134,0.48091406,0.6418155100274003,ideal_point_compromise
5.0,67.0,4.0,8.040000000000001,1.9500000000000002,9.990000000000002,6.090000000000001,0.0,2,True,True,True,True,0.0029601105701312033,0.0018667967500307007,0.0010933138201005025,0.0009333983750153504,0.0029601105701312033,0.004826907320161904,0.0018667967500307007,1.0,0.9940797788597375,1406.4039485304568,False,10.213803477106172,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1398.6031,1298.8763,1493.8721,1237.1501,1532.0469,1396.4336,1289.143,1000,0.13942178,supported_model_region,24,rectangle,1.0,0.0,1.0,longevity
5.2,58.0,4.55,6.692307692307692,2.901098901098901,9.593406593406593,3.7912087912087906,0.301438246295025,3,True,True,True,True,0.004029106940430245,0.0018555697039191461,0.002173537236511099,0.0009277848519595731,0.004029106940430245,0.005884676644349392,0.0018555697039191461,1.0,0.9919417861191395,1355.750095772514,False,9.817210070512763,physical_offset,5_3C_54PER_4C_NEWSTRUCTURE,S5,1000,1354.2705,1239.7183,1473.3835,1173.3287,1528.3927,1350.5742,1229.6055,1000,0.17253959,supported_model_region,1,convex_hull,0.0,1.0,1.0,fast_charge
5.1,64.0,4.3,7.529411764705882,2.2325581395348837,9.761969904240766,5.296853625170998,0.17354980747387339,2,True,True,True,True,0.0034895237576340428,0.0018562426159362808,0.001633281141697762,0.0009281213079681404,0.0034895237576340428,0.005345766373570324,0.0018562426159362808,1.0,0.993020952484732,1382.600680587912,False,9.985773381346936,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1377.283,1271.0208,1483.1788,1205.405,1526.6196,1372.8501,1259.3507,1000,0.15404102,supported_model_region,11,convex_hull,0.4250280212222134,0.48091406,0.6418155100274003,ideal_point_compromise
5.0,67.0,4.0,8.040000000000001,1.9500000000000002,9.990000000000002,6.090000000000001,0.0,2,True,True,True,True,0.0029601105701312033,0.0018667967500307007,0.0010933138201005025,0.0009333983750153504,0.0029601105701312033,0.004826907320161904,0.0018667967500307007,1.0,0.9940797788597375,1406.4039485304568,False,10.213803477106172,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1398.6031,1298.8763,1493.8721,1237.1501,1532.0469,1396.4336,1289.143,1000,0.13942178,supported_model_region,24,convex_hull,1.0,0.0,1.0,longevity
5.2,58.0,4.55,6.692307692307692,2.901098901098901,9.593406593406593,3.7912087912087906,0.301438246295025,3,True,True,True,True,0.004029106940430245,0.0018555697039191461,0.002173537236511099,0.0009277848519595731,0.004029106940430245,0.005884676644349392,0.0018555697039191461,1.0,0.9919417861191395,1355.750095772514,False,9.817210070512763,physical_offset,5_3C_54PER_4C_NEWSTRUCTURE,S5,1000,1354.2705,1239.7183,1473.3835,1173.3287,1528.3927,1350.5742,1229.6055,1000,0.17253959,supported_model_region,1,trust_region,0.0,1.0,1.0,fast_charge
5.1,64.0,4.3,7.529411764705882,2.2325581395348837,9.761969904240766,5.296853625170998,0.17354980747387339,2,True,True,True,True,0.0034895237576340428,0.0018562426159362808,0.001633281141697762,0.0009281213079681404,0.0034895237576340428,0.005345766373570324,0.0018562426159362808,1.0,0.993020952484732,1382.600680587912,False,9.985773381346936,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1377.283,1271.0208,1483.1788,1205.405,1526.6196,1372.8501,1259.3507,1000,0.15404102,supported_model_region,11,trust_region,0.4250280212222134,0.48091406,0.6418155100274003,ideal_point_compromise
5.0,67.0,4.0,8.040000000000001,1.9500000000000002,9.990000000000002,6.090000000000001,0.0,2,True,True,True,True,0.0029601105701312033,0.0018667967500307007,0.0010933138201005025,0.0009333983750153504,0.0029601105701312033,0.004826907320161904,0.0018667967500307007,1.0,0.9940797788597375,1406.4039485304568,False,10.213803477106172,physical_offset,5C_67PER_4C_NEWSTRUCTURE,S4,1000,1398.6031,1298.8763,1493.8721,1237.1501,1532.0469,1396.4336,1289.143,1000,0.13942178,supported_model_region,24,trust_region,1.0,0.0,1.0,longevity
5.2,58.0,4.55,6.692307692307692,2.901098901098901,9.593406593406593,3.7912087912087906,0.301438246295025,3,True,True,True,True,0.004029106940430245,0.0018555697039191461,0.002173537236511099,0.0009277848519595731,0.004029106940430245,0.005884676644349392,0.0018555697039191461,1.0,0.9919417861191395,1355.750095772514,False,9.817210070512763,physical_offset,5_3C_54PER_4C_NEWSTRUCTURE,S5,1000,1354.2705,1239.7183,1473.3835,1173.3287,1528.3927,1350.5742,1229.6055,1000,0.17253959,supported_model_region,1,convex_hull_intersection_trust,0.0,1.0,1.0,fast_charge
